,intc,msft,Ratio,Spread
0,46.154998779296875,290.6600036621094,6.297476142334702,53.23530906179371
1,46.720001220703125,294.5799865722656,6.305222150587784,53.61832020611313
2,46.7400016784668,295.5450134277344,6.323170791923452,52.80561455235402
3,47.180599212646484,295.8900146484375,6.271434012841573,55.81615382325145
4,47.47999954223633,296.9800109863281,6.2548444365958025,57.00635619552326
5,47.380001068115234,295.82000732421875,6.243562698509377,57.40478290138315
6,47.3650016784668,296.1099853515625,6.251662089271725,57.000571235831835
7,47.540000915527344,296.8299865722656,6.243794296506126,57.61334421471462
8,47.72999954223633,297.3399963378906,6.229624956831901,58.55034228688316
9,47.290000915527344,294.7799987792969,6.233453014853039,57.75936056476103
10,47.775001525878906,297.8299865722656,6.234013125272978,58.403082019429455
11,47.39500045776367,295.6300048828125,6.237577846344044,57.709018980996966
12,47.189998626708984,295.4200134277344,6.260225090587948,56.35773990777539
13,46.974998474121094,293.5304870605469,6.248653466636198,56.6098496719577
14,47.205501556396484,295.135009765625,6.2521316379411145,56.76081211151131
15,47.709999084472656,299.1300048828125,6.269754991048933,56.60801254025164
16,47.06999969482422,299.25,6.357552622480797,51.61385517755064
17,46.78499984741211,297.1863098144531,6.35217079798477,51.50701908025797
18,46.43000030517578,295.8999938964844,6.373034502511062,50.08969903555276
19,46.23500061035156,294.30999755859375,6.365523816878692,50.194599972147834
20,46.670501708984375,295.2200012207031,6.325623046899266,52.60132293067124
21,46.59000015258789,293.7749938964844,6.305537517371447,53.433239596931166
22,46.849998474121094,295.010009765625,6.2969054295398115,54.17834124541843
23,48.060001373291016,296.85009765625,6.176656037742483,61.553497218284626
24,48.23500061035156,298.0299987792969,6.178708303267598,61.70637029482372
25,48.42499923706055,299.2699890136719,6.180072147211002,61.9133878982422
26,48.65999984741211,300.0199890136719,6.165638922204557,62.95312570295703
27,48.70000076293945,300.0,6.160164174541431,63.27775712004813
28,48.915000915527344,300.3900146484375,6.14106120875249,64.52515907461583
29,48.86000061035156,300.17999267578125,6.143675581784266,64.31630500564523
30,48.099998474121094,298.3399963378906,6.202494923121555,60.36821188776462
31,47.970001220703125,297.3500061035156,6.1986658023094625,60.36815788947501
32,48.0099983215332,296.0199890136719,6.165798778645291,62.00278833043938
33,48.54499816894531,298.1300048828125,6.141312516796613,63.9672701870607
34,48.230201721191406,297.80999755859375,6.174761600214122,61.88982372385208
35,48.03499984741211,295.760009765625,6.157177281256078,62.45317634369797
36,47.93000030517578,295.95001220703125,6.174629883636214,61.46350938254016
37,47.939998626708984,289.95001220703125,6.048185659427415,67.53965545724566
38,47.80500030517578,287.8999938964844,6.0223824298420485,68.56154197162584
39,47.834999084472656,291.7699890136719,6.099508614987745,64.92001413085347
40,47.816001892089844,290.3800048828125,6.072862501932638,66.1653178145425
41,47.67490005493164,289.4049987792969,6.070385012781163,66.06570844408577
42,47.78969955444336,288.70001220703125,6.041050998408896,67.64499489127974
43,48.099998474121094,289.67999267578125,6.022453261233173,69.028215549874
44,47.900001525878906,280.2300109863281,5.850313195395796,76.95504332682816
45,48.150001525878906,282.4700012207031,5.866458821790184,76.6190245353755
46,48.0099983215332,281.8163146972656,5.869950521761772,76.20646264684564
47,47.79999923706055,282.5849914550781,5.911819999276963,73.83845684953002
48,47.935001373291016,282.8900146484375,5.901533462895893,74.56159450463593
49,47.97999954223633,281.5,5.867027984279122,76.29431006769613
50,47.65999984741211,278.8999938964844,5.851867284712725,76.457235048455
51,46.91999816894531,273.95001220703125,5.838662039598055,75.77144848384654
52,47.2599983215332,271.2200012207031,5.7388914695988555,81.09086179464106
53,48.31999969482422,280.05999755859375,5.79594369468906,80.32371483356877
54,48.16999816894531,280.8599853515625,5.830599876016395,78.38133255392717
55,47.86000061035156,278.80999755859375,5.825532678708123,78.07041435114326
56,47.92499923706055,277.42999267578125,5.788836663376382,79.94544135028809
57,47.4900016784668,275.739990234375,5.806274594414316,78.32255207448054
58,47.369998931884766,284.79998779296875,6.012243914180664,68.34862730562901
59,47.189998626708984,284.6700134277344,6.032422583428822,67.1077399077754
60,47.557098388671875,285.92999267578125,6.012351517726109,68.64355051365231
61,47.63999938964844,286.8324890136719,6.020833179859295,68.37241872955792
62,47.665000915527344,287.6499938964844,6.03482614856679,67.74532261195708
63,47.830299377441406,288.7550048828125,6.037072914893783,67.89920582980244
64,47.63999938964844,288.4800109863281,6.055415925320334,66.72489675690167
65,46.369998931884766,283.45001220703125,6.112788844860775,62.082717119877024
66,46.25,281.1199951171875,6.078270164695946,63.49883605176165
67,46.459999084472656,282.67999267578125,6.084373617008,63.53816753267102
68,46.380001068115234,283.79998779296875,6.119016413478959,61.80891666094367
69,46.62900161743164,285.67498779296875,6.126551671356672,61.830276401625376
70,46.57500076293945,285.4599914550781,6.129038900246753,61.63400840012985
71,46.650001525878906,285.54998779296875,6.121114221926896,62.115209305575654
72,46.54499816894531,285.760009765625,6.139435406751896,61.105493760869244
73,46.369998931884766,285.4800109863281,6.156567124482451,60.05271834058015
74,46.41999816894531,283.75,6.112667195015681,62.163517805033045
75,46.505001068115234,285.65399169921875,6.142435977602179,60.90689847615487
76,46.44499969482422,285.2200012207031,6.141027087841444,60.88392534954158
77,46.150001525878906,282.4049987792969,6.1192847116361735,61.45225543340279
78,45.83000183105469,280.0199890136719,6.1099711504687,61.40018407627104
79,45.349998474121094,284.29998779296875,6.2690186848673015,53.46453456054041
80,45.06999969482422,281.9150085449219,6.255047935518327,53.71707508924981
81,44.810001373291016,280.29998779296875,6.25529969209154,53.35197832357505
