,tsla,nflx,Ratio,Spread
0,310.8566589355469,586.72998046875,1.8874615151493435,-244.3581636888359
1,299.9800109863281,593.739990234375,1.9792651793103484,-263.3861747187944
2,312.84332275390625,604.9199829101562,1.9336196073649554,-260.35302950429633
3,336.2900085449219,614.239990234375,1.8265187029852668,-243.7659466297287
4,355.6666564941406,614.0900268554688,1.7265886909631785,-222.20602490340875
5,364.64666748046875,613.1199951171875,1.6814084696112779,-211.3136546016943
6,362.8233337402344,610.7100219726562,1.6832159488669984,-210.91834877909403
7,362.0633239746094,610.5399780273438,1.6862795472489212,-211.58806708101352
8,356.7799987792969,612.0900268554688,1.715595125706881,-218.9758527903539
9,352.260009765625,602.4400024414062,1.7102140059617827,-214.32012753304443
10,399.9266662597656,597.3699951171875,1.4936988340986892,-156.5815093750734
11,383.1966552734375,591.1500244140625,1.5426805434724784,-168.8471322228959
12,362.7066650390625,567.52001953125,1.5646804270060206,-167.85725780055188
13,354.8999938964844,553.2899780273438,1.5590025008248518,-162.25308927697674
14,342.32000732421875,541.0599975585938,1.5805678487443593,-163.92319045439658
15,352.7066650390625,539.8499755859375,1.5305919311906078,-151.23657512945138
16,354.79998779296875,540.8400268554688,1.5243518756011267,-149.91363846183876
17,368.739990234375,537.219970703125,1.456907265093928,-130.89076999564557
18,343.85333251953125,519.2000122070312,1.5099461401251364,-140.36897869944815
19,349.8699951171875,525.6900024414062,1.5025295389086697,-140.21094106316886
20,343.5033264160156,510.79998779296875,1.4870306879483919,-132.355688673978
21,331.8833312988281,515.8599853515625,1.5543413504159436,-150.25503863801012
22,332.0899963378906,508.25,1.5304586274946759,-142.41670161851252
23,314.6333312988281,397.5,1.2633753657283942,-50.955201484463274
24,310.0,387.1499938964844,1.2488709480531754,-45.7247305233342
25,306.1333312988281,366.4200134277344,1.1969294943256543,-29.26717199527782
26,312.4700012207031,359.70001220703125,1.1511505450181398,-15.545555250351711
27,276.3666687011719,386.70001220703125,1.3992281125086035,-82.4374316714824
28,282.1166687011719,384.3599853515625,1.3624150147565028,-73.74402208334176
29,312.239990234375,427.1400146484375,1.367986254188055,-83.23970514025571
30,310.4166564941406,457.1300048828125,1.4726336210358648,-115.24436269656168
31,301.88665771484375,429.4800109863281,1.422653171350178,-97.01947261818118
32,297.0466613769531,405.6000061035156,1.3654420629518806,-78.48735454569028
33,307.7733459472656,410.1700134277344,1.3327015442656738,-71.20506056071925
34,302.4466552734375,402.1000061035156,1.3294906691561295,-69.02070620161074
35,307.3333435058594,403.5299987792969,1.3130042909633184,-65.05122050594504
36,310.6666564941406,412.8900146484375,1.3290451550478024,-70.72813843033141
37,301.51666259765625,406.2699890136719,1.3474213514886189,-74.2182716174748
38,286.6666564941406,391.30999755859375,1.36503492364342,-75.6665883985964
39,291.9200134277344,396.57000732421875,1.3584885896231667,-75.12197429805504
40,307.4766540527344,407.4599914550781,1.3251737524930784,-68.82286418104361
41,307.7966613769531,398.0799865722656,1.2933213271106412,-59.08927164466242
42,292.1166687011719,386.6700134277344,1.3236834965528388,-65.00468888530163
43,285.6600036621094,391.2900085449219,1.3697752696515264,-76.75888646680671
44,273.84332275390625,377.3800048828125,1.3780872985606853,-75.90556044637931
45,254.67999267578125,367.4599914550781,1.4428302262552313,-87.15980274366252
46,266.92333984375,390.0299987792969,1.461206048926296,-96.20169346143258
47,269.9566650390625,390.79998779296875,1.4476397081599015,-93.62005188058676
48,290.1433410644531,394.5199890136719,1.3597416627460435,-75.03506546828841
49,288.1233215332031,386.239990234375,1.3405370595447095,-68.9870592471661
50,293.2966613769531,380.0299987792969,1.2957188022364552,-57.06085769930105
51,279.7633361816406,368.07000732421875,1.3156477626690999,-60.054326176663224
52,279.42999267578125,361.7300109863281,1.2945282198322872,-54.08265312123787
53,268.1933288574219,350.260009765625,1.3059982187395562,-55.02844770512668
54,274.79998779296875,341.760009765625,1.2436682130535726,-39.22851156569085
55,286.3233337402344,358.7900085449219,1.2530938497329476,-43.5259490990813
56,279.4333190917969,356.7699890136719,1.2767625212813976,-49.11895567135112
57,265.1166687011719,340.32000732421875,1.2836612989725398,-48.487958222158355
58,255.4566650390625,331.010009765625,1.2957579702021456,-49.851647700850336
59,267.2966613769531,343.75,1.286024293117635,-49.50919823295534
60,280.07666015625,357.5299987792969,1.2765433527372005,-49.16811465260828
61,290.5333251953125,371.3999938964844,1.2783387022704154,-51.48416279579341
62,301.7966613769531,380.6000061035156,1.2611140374019405,-48.23890794043963
63,307.0533447265625,374.5899963378906,1.2199508742413177,-36.42059883141776
64,331.32666015625,382.9200134277344,1.1557174820980405,-17.93015277070937
65,333.03668212890625,374.489990234375,1.1244706974633614,-7.61066452107805
66,337.97332763671875,375.7099914550781,1.1116557453874638,-3.3759877719275697
67,336.8800048828125,373.8500061035156,1.109742343519508,-2.724054230087703
68,363.9466552734375,378.510009765625,1.0400150799057237,22.52286197268357
69,366.5233459472656,391.82000732421875,1.0690178720036916,12.059943028791778
70,364.663330078125,381.4700012207031,1.0460881853379047,20.354750400917155
71,359.20001220703125,374.5899963378906,1.0428451659461222,21.19813799237231
72,361.5299987792969,373.4700012207031,1.0330263117354619,24.892619449662376
73,381.8166809082031,391.5,1.0253611735054733,29.278108660103996
74,363.7533264160156,380.1499938964844,1.0450763368737315,20.66926180278567
75,348.586669921875,368.3500061035156,1.0566956165767039,15.71106290319112
76,352.4200134277344,362.1499938964844,1.0276090463027725,26.146674838661838
77,341.8299865722656,355.8800048828125,1.041102357494832,20.715360589365602
78,325.30999755859375,348.0,1.0697488629666827,10.341832786370716
