,ma,adbe,Ratio,Spread
0,364.489990234375,454.1549987792969,1.2460012920718764,-64.16275016062133
1,363.2099914550781,458.0299987792969,1.2610611204398712,-69.40730656969077
2,363.18170166015625,460.20001220703125,1.2671343575499268,-71.60758914343779
3,364.6600036621094,461.2900085449219,1.2649865735545514,-71.11585117496662
4,366.6400146484375,463.9800109863281,1.2654920151888704,-71.6873072706934
5,368.0480041503906,466.54998779296875,1.2676335220726493,-72.75078182319777
6,367.54998779296875,466.42999267578125,1.269024644719915,-73.16364775647406
7,365.114990234375,461.6700134277344,1.2644509970170732,-71.00903545594292
8,363.1000061035156,458.5350036621094,1.2628339189049376,-70.02999214530752
9,363.4949951171875,461.3399963378906,1.2691784000744186,-72.4123596249276
10,362.385009765625,463.07281494140625,1.2778475998245673,-75.33282588623297
11,361.0799865722656,459.2843017578125,1.2719738529897517,-72.94064440807364
12,360.4849853515625,458.20001220703125,1.2710654557780605,-72.49298650757078
13,362.239990234375,460.1600036621094,1.2703180655575288,-72.57518071465125
14,358.2699890136719,460.45001220703125,1.2852039699854962,-77.11295941667765
15,362.3399963378906,463.0400085449219,1.2779158062173355,-75.34818237040514
16,361.8800048828125,461.19000244140625,1.274427976728787,-73.99035192799869
17,362.375,461.0199890136719,1.2722179758914711,-73.2907100770446
18,362.6600036621094,461.5050048828125,1.2725555622968479,-73.4707814428283
19,361.6578063964844,460.4049987792969,1.2730404007222127,-73.44309330593023
20,357.4200134277344,455.44000244140625,1.274243146245895,-73.01239544905002
21,366.45001220703125,460.2522888183594,1.255975640569315,-68.16288143829593
22,366.94000244140625,457.5799865722656,1.2470158160129543,-64.96630582825543
23,365.57000732421875,455.7250061035156,1.2466148671199377,-64.57717487708749
24,363.3599853515625,454.2799987792969,1.2502202143688617,-65.49681805550307
25,364.010009765625,454.9800109863281,1.2499107133874585,-65.50132561305338
26,362.32000732421875,454.55999755859375,1.2545815532395783,-66.88955896836853
27,363.9599914550781,458.19000244140625,1.2589021134152831,-68.76483500806103
28,368.45001220703125,465.1400146484375,1.2624236646437572,-70.910673338403
29,368.7650146484375,466.0,1.2636773595354798,-71.433616483771
30,369.5400085449219,469.4501037597656,1.2703634055977961,-74.05450237623296
31,366.92999267578125,467.5,1.2740850007676594,-74.89702937453575
32,367.2900085449219,466.79998779296875,1.270930264730782,-73.81181208065351
33,365.8550109863281,468.3194885253906,1.2800685366118754,-76.86671279560557
34,367.0400085449219,468.9800109863281,1.2777353968727632,-76.25932701525926
35,363.9549865722656,460.3500061035156,1.264854234967626,-70.93019372944343
36,365.0,461.1400146484375,1.263397300406678,-70.6020724287232
37,363.3399963378906,457.25140380859375,1.2584670237717774,-68.48961066909146
38,365.36749267578125,459.6300048828125,1.2579937024957983,-68.69885764013816
39,363.8699951171875,458.44500732421875,1.2599142921267046,-69.1161329993862
40,363.2300109863281,457.7699890136719,1.2602757899068593,-69.12587656697383
41,363.6499938964844,458.5899963378906,1.261075220775149,-69.49651605146687
42,354.3800048828125,444.260009765625,1.253626061415441,-65.08511148960883
43,356.19000244140625,445.6000061035156,1.2510177238251303,-64.48847023309975
44,354.7850036621094,441.6400146484375,1.2448102656251143,-62.03178105771423
45,353.9200134277344,443.5799865722656,1.2533340013077237,-64.89726395735869
46,351.95001220703125,442.3699951171875,1.2569114356415125,-65.79510872941404
47,353.3800048828125,444.17498779296875,1.2569329946674985,-66.07005648193814
48,353.55999755859375,444.04998779296875,1.255939560072484,-65.75247026491286
49,349.9599914550781,445.0,1.271573925207166,-70.55437007645202
50,348.2799987792969,443.1700134277344,1.2724532415901633,-70.52192016868997
51,347.1499938964844,443.32000732421875,1.277027265212659,-71.88098196005609
52,348.32000732421875,447.2950134277344,1.284149644069653,-74.60411234730645
53,349.7900085449219,449.92608642578125,1.2862748375730102,-75.6623326007126
54,350.2200012207031,454.2650146484375,1.297084726929022,-79.54118286509714
55,349.8500061035156,452.7099914550781,1.2940116723082968,-78.38204222433438
56,352.1300048828125,451.75,1.2829068631920209,-74.98252739520126
57,355.19500732421875,450.54998779296875,1.2684581103408101,-70.5030638282654
58,355.510009765625,452.7200012207031,1.2734381277173186,-72.33603504980528
59,354.9750061035156,448.80999755859375,1.264342530718105,-68.9984676322992
60,353.67999267578125,446.739990234375,1.2631192023460087,-68.31408189496892
61,354.57000732421875,446.9800109863281,1.2606255513811964,-67.60181637474068
62,352.7699890136719,445.3999938964844,1.2625790395090057,-67.94775941355113
63,346.92999267578125,432.7799987792969,1.2474562820048412,-61.576367453543014
64,347.1449890136719,432.2699890136719,1.2452145434732098,-60.83631870878219
65,349.1600036621094,432.4599914550781,1.238572536714658,-58.87032204239841
66,349.79998779296875,436.1600036621094,1.2468839876582651,-61.885572371295154
67,350.30010986328125,435.6199951171875,1.2435622566239153,-60.81044973267876
68,349.44500732421875,436.0527038574219,1.2478435654192868,-62.15808994138524
69,347.5799865722656,434.29998779296875,1.2494965319376152,-62.40088447053438
70,352.9599914550781,438.7250061035156,1.2429879213643198,-61.069475285011094
71,353.3900146484375,437.6300048828125,1.2383768265727013,-59.51436345323589
72,348.9200134277344,433.4800109863281,1.2423477997948293,-60.14712319634879
73,348.3500061035156,433.4800109863281,1.2443806613785886,-60.75701220306263
74,346.4100036621094,429.25,1.2391385798970556,-58.60273974103046
75,345.1400146484375,426.0899963378906,1.2345424414839568,-56.80158236944453
76,345.75,426.75,1.2342733188720174,-56.80892185625697
77,351.8475036621094,428.9049987792969,1.2190082189447287,-52.4397931482186
78,354.43499755859375,431.5199890136719,1.2174869637198702,-52.286250391253645
79,355.1199951171875,430.07391357421875,1.2110664549662908,-50.10725019300946
80,355.4949951171875,430.92999267578125,1.2121970733616851,-50.56209168270237
81,356.2699890136719,430.6300048828125,1.208718158032354,-49.432886022429955
82,355.20001220703125,432.8349914550781,1.2185669385698013,-52.78271243110174
83,355.1400146484375,431.9700012207031,1.2163371723919132,-51.981917602401836
84,359.3999938964844,428.0,1.1908736985768398,-43.45387931476472
85,359.7799987792969,426.30999755859375,1.1849185585775406,-41.35728420221591
86,358.75,423.5339050292969,1.180582313670514,-39.683256340742105
87,359.56500244140625,422.8800048828125,1.1760877783196486,-38.157330505570485
88,360.9100036621094,423.8699951171875,1.1744478978588313,-37.70821386592792
89,359.6499938964844,421.7900085449219,1.1727791344445924,-36.97639611844022
90,357.79998779296875,420.4599914550781,1.175125784795627,-37.62582444437976
91,359.010009765625,425.3522033691406,1.1847920442297033,-41.22335282079348
92,355.9200134277344,423.010009765625,1.1884973977489257,-42.18735322074701
93,353.2300109863281,419.8399963378906,1.1885739695943918,-41.89555354104772
94,355.0299987792969,424.3599853515625,1.1952792350242052,-44.48961507886588
95,356.54998779296875,428.489990234375,1.201766946864063,-46.993281929908505
96,355.6300048828125,424.8999938964844,1.1947810591417836,-44.38763691423634
97,356.95001220703125,425.4700012207031,1.1919596208724326,-43.54528000800207
98,361.6650085449219,432.6700134277344,1.1963281025402077,-45.7004018934627
99,360.6700134277344,435.5899963378906,1.207724457595274,-49.68499670933147
100,363.4800109863281,434.5799865722656,1.1956090388382097,-45.66838238432115
101,361.20001220703125,435.3420104980469,1.2052657690623754,-48.8699296841574
102,360.95001220703125,434.3900146484375,1.203463083412456,-48.1854255757944
103,363.8800048828125,437.1199951171875,1.201275116114066,-47.780410673808944
104,363.9599914550781,436.5799865722656,1.1995274118643082,-47.1548191389204
105,369.55499267578125,434.9200134277344,1.176874949729875,-39.508379519183165
106,370.3550109863281,431.3500061035156,1.1646933167037374,-35.082379031295716
107,368.510009765625,429.2200012207031,1.1647444841286403,-34.92646450499353
108,367.41400146484375,431.88519287109375,1.1754728756912085,-38.764348830569986
109,365.6700134277344,428.7900085449219,1.1726146328639595,-37.535174091435124
