,tsm,asml,Ratio,Spread
0,122.95999908447266,806.9600219726562,6.562784872975482,-44.65490446065784
1,122.73999786376953,809.1400146484375,6.592309179820183,-48.210004201540904
2,122.77999877929688,809.969970703125,6.596921149666128,-48.789936454649514
3,122.9800033569336,810.1699829101562,6.587818838797251,-47.73982965378631
4,122.9937973022461,813.2999877929688,6.612528482183194,-50.783616143836106
5,122.46499633789062,810.4600219726562,6.617891203267037,-51.248895357137066
6,122.69999694824219,811.1900024414062,6.611165628501081,-50.510015796088545
7,122.22000122070312,806.7188720703125,6.600547079144199,-49.039075669613375
8,122.4800033569336,807.2750244140625,6.591076112738877,-47.970097146682555
9,122.36000061035156,807.2000122070312,6.5969271672162995,-48.64515634438809
10,122.22000122070312,806.6649780273438,6.600106119870508,-48.985181626644625
11,122.23999786376953,807.375,6.604834866733062,-49.570215542093514
12,122.41999816894531,808.0399169921875,6.600554885461236,-49.110049270757976
13,122.05999755859375,804.77001953125,6.593233128199333,-48.09031833686655
14,121.31500244140625,796.8900146484375,6.568767247342935,-44.86686965786422
15,121.76290130615234,798.6799926757812,6.559304879469279,-43.85727734012065
16,121.27999877929688,798.5167236328125,6.584075953743524,-46.71236735130723
17,121.2490005493164,802.989990234375,6.622652447413532,-51.37938690076502
18,121.27999877929688,802.280029296875,6.615105849043168,-50.47567301536973
19,121.41000366210938,801.6900024414062,6.603162657605654,-49.0730568829786
20,121.40010070800781,801.1500244140625,6.599253375752899,-48.594976794686694
21,121.06999969482422,800.5900268554688,6.61262103637136,-50.098259766879586
22,121.41500091552734,803.5999755859375,6.618621830304396,-50.951794934998965
23,121.2249984741211,806.6799926757812,6.654402993026145,-55.21941316055146
24,120.80999755859375,806.280029296875,6.673951209260005,-57.413393074966656
25,120.9800033569336,806.3099975585938,6.664820426394728,-56.38074825818402
26,120.71499633789062,804.2000122070312,6.661972717590225,-55.92717655297728
27,120.41999816894531,800.219970703125,6.645241511965833,-53.7910069376558
28,120.9000015258789,800.1199951171875,6.618031307021283,-50.690793419935666
29,121.05500030517578,800.5499877929688,6.613109625994861,-50.15197366907618
30,120.58000183105469,798.1654052734375,6.619384584118281,-50.73634630165274
31,120.5999984741211,799.0599975585938,6.625704872874105,-51.50595052960163
32,120.61000061035156,798.27001953125,6.618605550879478,-50.653454630072055
33,120.58999633789062,798.5499877929688,6.622025143407821,-51.058458636162335
34,120.30999755859375,796.1500244140625,6.617488492810575,-50.408614181144266
35,129.2803955078125,797.3599853515625,6.167679037641693,4.450466486319065
36,129.1300048828125,793.6201171875,6.145900156262851,7.250325270880658
37,128.91000366210938,792.6699829101562,6.149018387958874,6.8253524831224786
38,128.1699981689453,792.8250122070312,6.185730073601008,2.0449543877840233
39,128.6656036376953,795.9879760742188,6.186486159235002,1.979748703042751
40,128.375,795.77001953125,6.19879275194742,0.381301163970611
41,128.80999755859375,797.489990234375,6.191211903964277,1.3802618113744165
42,133.74000549316406,778.540283203125,5.821296928561282,51.14474668871727
43,131.02000427246094,769.1099853515625,5.870172189524356,43.57380753022752
44,131.7899932861328,770.2218017578125,5.84431171557588,47.27477047750582
45,131.47000122070312,773.7000122070312,5.8849928122248585,41.796464989984166
46,132.89959716796875,771.1749877929688,5.8026886779671605,53.25711022034553
47,133.22000122070312,777.8300170898438,5.838687959484605,48.60475106863688
48,133.375,779.2999877929688,5.842923994698922,48.10359279215262
49,129.2050018310547,763.239990234375,5.907201574381532,38.0992170474885
50,129.05999755859375,760.5,5.892608200730284,39.93286504024453
51,129.69009399414062,765.3499755859375,5.901375749026104,39.02127696618921
52,129.27000427246094,763.25,5.90430861587431,38.495501920324806
53,128.25,754.6950073242188,5.88456146061769,40.675006873754306
54,127.69999694824219,747.7838745117188,5.855786158043538,44.1483720234996
55,127.0999984741211,745.6699829101562,5.866797732983313,42.512001975706845
56,126.7300033569336,735.9099731445312,5.806911967577633,49.95937502926423
57,128.07000732421875,745.3599853515625,5.819941771882844,48.88499327005169
58,128.1199951171875,752.7100219726562,5.875039421318859,41.847402948394425
59,128.02999877929688,756.844970703125,5.911465890176286,37.14993642974624
60,128.0,760.0900268554688,5.93820333480835,33.71737434800931
61,127.91000366210938,763.4299926757812,5.968493243831649,29.814890739517374
62,128.8000030517578,762.8200073242188,5.922515444488633,35.98777453650913
63,124.69000244140625,755.8099975585938,6.061512412863737,17.308422857662514
64,124.13999938964844,754.3499755859375,6.07660688975998,15.330677167564055
65,123.88999938964844,760.9600219726562,6.142223147320783,7.158017786350306
66,124.5,760.5399780273438,6.108754843593123,11.390841253203767
67,124.55000305175781,759.4450073242188,6.097510949145661,12.79835363009348
68,124.45999908447266,760.7000122070312,6.112003999700611,10.980783271937376
69,123.51000213623047,756.0999755859375,6.121771212925458,9.642909588815733
70,125.19270324707031,708.3499755859375,5.658077165951075,67.91055207541395
71,124.7300033569336,711.0399780273438,5.700633038488713,62.32846619049152
72,123.47000122070312,704.469970703125,5.705596207485915,61.02289067004923
73,123.73999786376953,708.77001953125,5.7278974605411275,58.4104428936267
74,124.16000366210938,717.4000244140625,5.778028376725923,52.405664083810585
75,124.01000213623047,718.9400024414062,5.797435610489055,49.92810872233698
76,125.0199966430664,727.0599975585938,5.815549648704269,48.12103576815124
77,128.3000030517578,706.6900024414062,5.5081058895713255,88.99255343033151
78,128.0,713.4500122070312,5.573828220367432,80.3573889964468
79,128.0800018310547,718.1599731445312,5.607120259818765,76.14747566210458
80,128.33999633789062,725.635009765625,5.654005224179605,70.29752222052748
81,128.6199951171875,727.0900268554688,5.653009286720986,70.59262405457191
