,nue,shw,Ratio,Spread
0,120.79000091552734,269.29998779296875,2.229489078167154,-53.4451367357985
1,120.7300033569336,267.6400146484375,2.2168475706670043,-51.8932758207945
2,120.93000030517578,267.19000244140625,2.2094600328051976,-51.08288035017894
3,123.51499938964844,268.44000244140625,2.1733393010396087,-47.67485724226326
4,122.97000122070312,267.7950134277344,2.1777263622784173,-48.011924307437866
5,122.80999755859375,268.8699951171875,2.189316834640496,-49.375223605950666
6,122.91010284423828,268.69000244140625,2.186069299623906,-49.01484683001341
7,123.91000366210938,270.7950134277344,2.185416878577183,-49.31809272356297
8,123.11000061035156,269.2099914550781,2.186743482417316,-49.174631300724556
9,122.91999816894531,268.05999755859375,2.1807679917970972,-48.36701112806345
10,124.91000366210938,264.9800109863281,2.1213674102765885,-41.7011464687546
11,123.77999877929688,263.8900146484375,2.1319277528751686,-42.647355438562144
12,122.73999786376953,262.19500732421875,2.1361822705523577,-42.826371330010446
13,122.29499816894531,261.69000244140625,2.139825882984132,-43.1232308942523
14,119.4000015258789,260.1499938964844,2.1788106413055544,-46.79984364012388
15,119.54000091552734,263.25,2.2021917181180632,-49.64757870958242
16,118.68000030517578,261.5799865722656,2.2040780746514526,-49.5272380611931
17,118.51000213623047,262.07501220703125,2.2114168212212917,-50.32859084477941
18,117.4000015258789,261.8699951171875,2.230579145771668,-52.12373248763127
19,120.05999755859375,263.9930114746094,2.1988423858310586,-49.4535854502284
20,119.22000122070312,262.45001220703125,2.2013924636787836,-49.42421238699275
21,118.33000183105469,261.3800048828125,2.208907300246619,-49.957933956882655
22,118.7249984741211,260.32501220703125,2.1926722725018624,-48.19117952381329
23,117.98999786376953,259.4100036621094,2.1985762213643096,-48.6006007815612
24,115.75,256.69000244140625,2.2176242111568576,-49.91694985351158
25,117.02149963378906,254.8800048828125,2.1780613449703035,-45.815781396068544
26,116.33000183105469,253.97000122070312,2.1831857407648125,-46.151817921577546
27,116.41999816894531,253.14999389648438,2.174454542845126,-45.16964225306795
28,118.11499786376953,255.1300048828125,2.1600136265258385,-44.095359025589076
29,119.97000122070312,257.30999755859375,2.144786154375649,-42.932739878503654
