,pfe,tmo,Ratio,Spread
0,48.494998931884766,538.0,11.093927453337312,3.5436180315359156
1,48.279998779296875,539.6900024414062,11.178335047366089,-0.5978416817561634
2,48.61989974975586,543.9500122070312,11.187806124790757,-0.9822602176861306
3,48.39500045776367,544.0750122070312,11.24238055709635,-3.6715886526198442
4,48.529998779296875,543.4249877929688,11.19771278512367,-1.4822973448761427
5,48.66999816894531,543.531005859375,11.167680836408657,0.007974254944487669
6,48.650001525878906,547.0800170898438,11.245220964665947,-3.7690410744441447
7,48.4900016784668,529.1799926757812,10.913177446037848,12.30664607884029
8,48.14500045776367,528.2999877929688,10.97310172956447,9.252906073000135
9,47.7952995300293,526.89501953125,11.02399241582757,6.6705428283879105
10,47.9375,533.0601196289062,11.119898193041069,2.126829376179616
11,47.89360046386719,534.5900268554688,11.162034628379724,0.09637442539536956
12,48.09000015258789,534.114990234375,11.106570774374024,2.810783620486008
13,47.97999954223633,534.739990234375,11.145060344647327,0.9315435982703679
14,46.915000915527344,525.1699829101562,11.194073807133659,-1.6416898918488965
15,47.35499954223633,523.47998046875,11.054376212206565,5.065229142788953
16,48.0099983215332,530.3400268554688,11.046449602094723,5.673556621187631
17,48.040000915527344,531.530029296875,11.06432179781819,4.82564731942381
18,47.80500030517578,527.4000244140625,11.03231923537843,6.276147335799296
19,47.724998474121094,527.0300903320312,11.04306143912846,5.733891039625918
20,47.43000030517578,523.8400268554688,11.04448710699892,5.560350361729265
21,48.2672004699707,533.989990234375,11.063206173861177,4.956242682490656
22,48.525001525878906,538.3599853515625,11.094486726897872,3.5257258196157313
23,48.915000915527344,538.767578125,11.014363038762127,7.564952400847632
24,48.86280059814453,539.2899780273438,11.03682088267004,6.447358280720609
25,48.915000915527344,538.2100219726562,11.002964569133013,8.122508553191382
26,49.11000061035156,541.5999755859375,11.028303173585735,6.955964617244776
27,48.7599983215332,541.7000122070312,11.1095166294911,2.8651603349528063
28,48.380001068115234,537.2050170898438,11.103865341662589,3.0273816425621494
29,48.42499923706055,536.125,11.071244366477835,4.620473198422532
30,48.81999969482422,539.85498046875,11.0580701319829,5.3943348568874985
31,48.76499938964844,539.5700073242188,11.064698330310154,5.0521879903108715
32,49.064998626708984,538.3099975585938,10.971364773779078,9.732824682940704
33,49.165000915527344,535.0050048828125,10.881826399271898,14.178055331477653
34,49.20000076293945,538.260009765625,10.940243931278074,11.322122865221845
35,50.03499984741211,534.6749877929688,10.686019574768181,24.427903558324658
36,50.435001373291016,537.0800170898438,10.648954148225055,26.58373916121019
37,50.560001373291016,535.9299926757812,10.59988089634217,29.159028419494064
38,50.82500076293945,537.4299926757812,10.574126603214223,30.68058292994209
39,50.71500015258789,535.4500122070312,10.558020518505476,31.406323376476337
40,50.4900016784668,532.5145263671875,10.546930256773921,31.776349894974317
41,50.27000045776367,529.8099975585938,10.539287701095896,31.972398659136672
42,52.52000045776367,544.9000244140625,10.375095576251345,42.53713899965072
43,52.584999084472656,548.469970703125,10.430160316672472,39.70831477115604
44,52.185001373291016,541.6749877929688,10.379897931174632,41.94247627718295
45,52.08000183105469,536.3300170898438,10.298195050562317,46.09022973063787
46,52.15999984741211,535.5900268554688,10.268213735089606,47.7423668475862
47,52.26499938964844,535.9000244140625,10.253516323970386,48.629586538662636
48,52.25,535.4199829101562,10.247272400194378,48.938603220563266
49,51.40999984741211,547.0599975585938,10.641120388685078,27.720807079133635
50,51.98500061035156,547.3900146484375,10.529768360518936,33.94701697183399
51,52.09000015258789,548.5700073242188,10.531196116668953,33.964241545722814
52,52.16999816894531,549.4849853515625,10.53258586615494,33.9614104009525
53,52.05820083618164,546.530029296875,10.498442522374383,35.64163999111378
54,52.209999084472656,549.9000244140625,10.532465697315128,34.00246652755476
55,52.25,551.1300048828125,10.547942677183014,33.228581247907016
56,52.685001373291016,564.4005126953125,10.712736034613426,24.918010751724353
57,52.529998779296875,559.7000122070312,10.654864367284551,27.851153256141913
58,52.84000015258789,558.1300048828125,10.562641999831213,32.955833052456626
59,52.869998931884766,556.3800048828125,10.523548631041708,35.04788269646775
60,52.43000030517578,553.4600219726562,10.556170489246018,32.9509490133924
61,52.90999984741211,558.9149780273438,10.56350367868468,32.96900474103887
62,52.93000030517578,562.8800048828125,10.634422853531914,29.232025480121195
63,53.8911018371582,566.614990234375,10.514073212800614,36.45563393065271
64,53.94499969482422,566.0399780273438,10.492909096849115,37.64519591136565
65,54.01499938964844,568.239990234375,10.52004066750529,36.243328537447894
66,53.935001373291016,568.280029296875,10.5363866659377,35.291142592374456
67,53.95500183105469,569.2949829101562,10.551292069134712,34.50423657364439
68,53.875,570.239990234375,10.584500978828306,32.647038871221014
69,54.2400016784668,572.6699829101562,10.558074579439134,34.3788386786436
70,53.7599983215332,579.4349975585938,10.778181094669138,22.140768752240945
71,54.040000915527344,580.5900268554688,10.743708679113798,24.178362283450895
72,54.0,583.2949829101562,10.80175894278067,21.017311039661024
73,54.060001373291016,587.5999755859375,10.86940363779288,17.396461147533216
74,54.154998779296875,586.1300048828125,10.823193021784101,19.94960355523716
75,54.27000045776367,588.1824951171875,10.838077946488099,19.20837611562348
76,54.5,588.8900146484375,10.8053213696961,21.123338678264815
77,54.6150016784668,585.6400146484375,10.723061368674083,25.684601473026134
78,54.29999923706055,589.6900024414062,10.859852867897173,18.042918435415856
79,54.38999938964844,587.4000244140625,10.799779941270915,21.359088890424175
80,53.959999084472656,586.1699829101562,10.863046568857902,17.686215850558767
81,54.244998931884766,588.9000244140625,10.856300783663798,18.20577645165173
