,ecl,alb,Ratio,Spread
0,226.74000549316406,225.4199981689453,0.9941783219006822,102.21815312099928
1,226.80499267578125,226.4499969482422,0.9984347975617691,101.28247648156294
2,226.88499450683594,225.18499755859375,0.9925072305820076,102.66359021243905
3,226.6649932861328,225.0800018310547,0.9930073390156137,102.44927703823852
4,225.97999572753906,223.6199951171875,0.9895565950306637,102.91508100436734
5,226.52000427246094,224.9250030517578,0.9929586738891959,102.39383933644724
6,226.85000610351562,225.24000549316406,0.9929027967069267,102.55780024765029
7,229.6999969482422,224.30999755859375,0.9765346127067518,107.62427362404397
8,229.17999267578125,225.80499267578125,0.9852735836117484,105.37454636214967
9,228.7449951171875,226.89999389648438,0.991934244420264,103.6481914050898
10,228.2949981689453,227.94000244140625,0.9984450131172985,101.9550590689902
11,228.69000244140625,228.1199951171875,0.9975075109618542,102.34837403222487
12,229.11000061035156,228.27000427246094,0.9963336548572613,102.80794855848707
13,228.24000549316406,227.89999389648438,0.9985102892196965,101.9152514617502
14,229.91000366210938,229.1300048828125,0.9966073734640829,103.10906921386608
15,230.6999969482422,230.89999389648438,1.0008669135279056,102.48567333167996
16,230.72000122070312,231.59500122070312,1.00379247570809,101.8197001294047
17,231.46499633789062,232.82000732421875,1.0058540643629332,101.67597699291163
18,231.8800048828125,232.83050537109375,1.0040991050037351,102.26782070699603
19,231.17999267578125,232.2899932861328,1.0048014562052014,101.79233784285141
20,231.75,233.02000427246094,1.0054800615855919,101.8896332328156
21,233.67999267578125,233.51499938964844,0.9992939349054083,104.19582185315245
22,233.6300048828125,231.6739959716797,0.9916277495601905,105.96427318608177
23,233.7449951171875,232.0500030517578,0.9927485417834084,105.7551624774497
24,233.97000122070312,232.9499969482422,0.9956404484885275,105.18174154982724
25,233.9149932861328,234.00999450683594,1.0004061356622271,104.04190569252553
26,234.0050048828125,234.0449981689453,1.0001709078237573,104.13754450588864
27,234.17999267578125,232.6699981689453,0.9935519918265328,105.76652109661889
28,234.42999267578125,229.22999572753906,0.9778185509077167,109.56937254940682
29,234.625,232.19000244140625,0.9896217472196324,106.89239869475945
30,235.35000610351562,230.0,0.9772678735297653,110.13467212779098
31,235.57000732421875,231.5800018310547,0.9830623365916334,108.87397919847582
32,235.34970092773438,232.0800018310547,0.9861070607534629,108.05422736581421
33,236.00999450683594,232.0050048828125,0.9830304236378116,109.08757180365104
34,235.69000244140625,232.52000427246094,0.9865501373155046,108.10813719563807
35,235.36000061035156,235.34500122070312,0.9999362704384367,104.80417689478652
36,234.91000366210938,235.7550048828125,1.0035971274425526,103.74104944149936
37,234.73500061035156,236.6999969482422,1.0083711263031985,102.54205863879328
38,234.19500732421875,236.3000030517578,1.0089882177745357,102.15830841517358
39,234.47000122070312,235.22999572753906,1.0032413293934372,103.62744079329373
40,234.69000244140625,235.3090057373047,1.0026375358535051,103.86773968526764
41,234.08999633789062,234.36000061035156,1.00115342080689,103.9458983262863
42,234.4600067138672,235.72000122070312,1.0053740274279426,103.122929312431
43,234.06500244140625,235.85000610351562,1.007626102336919,102.41961679060252
44,234.07000732421875,234.35000610351562,1.0011962180994383,103.9268808577249
45,234.6300048828125,234.4219970703125,0.9991134645690184,104.66766813297558
46,234.83999633789062,233.7449951171875,0.9953372456234941,105.64945085359535
47,234.85000610351562,234.38999938964844,0.9980412744223458,105.01897471537923
48,234.5,233.7899932861328,0.9969722528193297,105.11098334434207
49,231.16000366210938,231.75999450683594,1.0025955651290073,102.29332464675095
50,229.27000427246094,231.27000427246094,1.0087233391317219,100.04017724094241
51,229.61500549316406,238.16000366210938,1.0372144588311747,93.65091125872438
52,229.1750030517578,236.50790405273438,1.0319969495072745,94.66439306462026
53,230.3000030517578,237.00999450683594,1.0291358721934976,95.79512316173619
54,229.88999938964844,237.08999633789062,1.0313193134427683,95.12004363684453
55,229.8699951171875,236.55999755859375,1.0291034175121276,95.62100829419792
56,233.83999633789062,247.82000732421875,1.0597845159308312,90.12304260103748
57,233.82000732421875,239.82000732421875,1.0256607638869855,98.09403062564014
58,233.7449951171875,240.27000427246094,1.0279150753666497,97.53516125674658
59,233.7050018310547,242.68499755859375,1.0384244909487674,95.06212187327294
60,233.48500061035156,242.32000732421875,1.0378397185719497,95.10780320590841
61,233.80999755859375,243.7519989013672,1.0425217118454566,94.1475109142469
62,233.4600067138672,242.4499969482422,1.038507624328964,94.94153753936526
63,235.72000122070312,246.5800018310547,1.046071612735923,94.09167974668641
64,236.4949951171875,243.33999633789062,1.0289435352207403,98.45650831651518
65,237.2100067138672,244.3300018310547,1.030015576559449,98.50426782727773
66,235.97000122070312,240.33999633789062,1.0185192825129505,100.69453425123216
67,236.02499389648438,240.27499389648438,1.0180065675665857,100.83935284480022
68,234.52000427246094,235.75,1.0052447369313113,103.18001075241831
69,233.22999572753906,235.7100067138672,1.0106333277526844,101.34769073775591
70,232.3022003173828,231.80999755859375,0.9978811963118878,103.90110130367079
71,229.1300048828125,232.42999267578125,1.0144022507862143,98.67699427711024
72,231.32000732421875,232.7946014404297,1.0063746933664244,101.49094639561254
73,230.36749267578125,231.41000366210938,1.004525425763067,101.49306817988447
74,230.8699951171875,231.35000610351562,1.0020791397603854,102.28239579480272
75,230.92999267578125,233.55999755859375,1.0113887540216786,100.15948455900885
76,230.47000122070312,233.3800048828125,1.012626388018815,99.67184745591364
77,228.39999389648438,235.44000244140625,1.0308231555737806,94.60744945273758
78,229.8800048828125,236.67999267578125,1.0295805970442502,95.51554131125523
79,230.74000549316406,238.4600067138672,1.033457575786232,94.98372875818406
