,tsm,adi,Ratio,Spread
0,124.69000244140625,169.6199951171875,1.3603335616012562,54.087129595726054
1,124.13999938964844,168.14999389648438,1.3545190488417689,54.56238913267546
2,123.88999938964844,168.61000061035156,1.3609653841393083,53.65022961684903
3,124.5,168.0800018310547,1.3500401753498368,55.283482336815155
4,124.55000305175781,167.97999572753906,1.3486952357418533,55.47392452016601
5,124.45999908447266,169.35000610351562,1.3606781885686463,53.94113196020771
6,123.51000213623047,168.83999633789062,1.3670147633198286,52.73296659783094
7,125.19270324707031,166.3699951171875,1.3289112767926496,58.24631990703878
8,124.7300033569336,167.47000122070312,1.342660119566121,56.309469596356934
9,123.47000122070312,167.30999755859375,1.3550659747668299,54.19061927298131
10,123.73999786376953,168.8300018310547,1.3643931206215683,53.15893395524864
11,124.16000366210938,170.47000122070312,1.3729864384075114,52.27856175983419
12,124.01000213623047,169.99000549316406,1.3707765709609658,52.487263046476016
13,125.0199966430664,170.39999389648438,1.3629819106696859,53.90396202807298
14,128.3000030517578,171.02000427246094,1.3329696040885466,59.216208004632875
15,128.0,172.63999938964844,1.3487499952316284,57.0536240056509
16,128.0800018310547,172.08999633789062,1.3436133188449497,57.748319265701696
17,128.33999633789062,172.7449951171875,1.345995013607359,57.56354946544437
18,128.6199951171875,173.13499450683594,1.3460970384044113,57.679959006212925
19,129.2550048828125,173.39999389648438,1.341534078728289,58.56344539575983
20,129.23519897460938,173.66000366210938,1.3437515865644938,58.26761444257724
21,131.83999633789062,174.44000244140625,1.3231189873089555,62.198681368655116
22,131.5800018310547,172.77000427246094,1.313041509866318,63.39845055856091
23,131.97000122070312,173.8699951171875,1.3174963515110676,63.0038169810021
24,131.9149932861328,173.8000030517578,1.317515156709848,62.97432107944795
25,132.36000061035156,173.94500732421875,1.3141810707321417,63.63416204113861
26,132.74000549316406,173.41000366210938,1.306388402033325,64.85644679333544
27,132.25,173.75,1.3137996219281665,63.6302210286066
28,143.2899932861328,174.50999450683594,1.217879842860768,82.83728211351573
29,140.8800048828125,174.3800048828125,1.2377910195834116,78.60853970053685
30,141.57000732421875,171.82000732421875,1.213675202620584,82.41648340809283
31,142.24000549316406,171.1999969482422,1.2035994821194655,84.24825998165417
32,141.4149932861328,171.02000427246094,1.2093484594411192,82.93612633319634
33,140.62100219726562,170.9199981689453,1.2154656523438492,81.60011125446408
34,139.1999969482422,169.8300018310547,1.2200431433500782,80.12006157257571
35,143.7899932861328,170.02999877929688,1.1824883977909932,88.22158344497328
36,142.6999969482422,169.92999267578125,1.1908198760327617,86.35020995527864
37,141.83999633789062,170.57000732421875,1.2025522541461973,84.15478856421262
38,140.88499450683594,169.72999572753906,1.2047414724447714,83.26757314574198
39,140.25,169.76499938964844,1.2104456284466911,82.08411130165419
40,140.38999938964844,170.77000427246094,1.2163972150074143,81.3323108840502
41,140.72000122070312,172.0,1.222285378822857,80.69916016676336
42,135.89939880371094,169.8000030517578,1.2494536734265609,74.18056155510735
43,134.3699951171875,168.24000549316406,1.2520652795025977,72.97446246494758
44,133.7332000732422,168.02000427246094,1.2563821413115124,72.04274903207616
45,133.63999938964844,167.97999572753906,1.2569589680838515,71.9141937760723
46,134.1300048828125,167.77000427246094,1.2508014475883993,73.01041465798863
47,134.02999877929688,167.24000549316406,1.2477804000323323,73.35954127761505
48,133.875,166.50999450683594,1.2437721345048436,73.8092197345058
49,134.11160278320312,167.08999633789062,1.2459026129752429,73.65714034895771
50,132.5399932861328,164.0,1.2373623683981183,73.9047061361039
51,133.1300048828125,164.77999877929688,1.2377374951976021,74.19180894331569
52,132.5,165.3300018310547,1.247773598724941,72.50237199951115
53,131.8000030517578,164.625,1.2490515644021027,71.94135150452334
54,131.36000061035156,164.75999450683594,1.2542630461426196,71.01056365068442
55,131.0399932861328,163.0399932861328,1.2442002567119055,72.15179603821556
56,131.64999389648438,163.9499969482422,1.2453475468989017,72.34504631677544
57,131.8000030517578,164.57000732421875,1.2486343210446829,71.99634418030459
58,131.67999267578125,164.4600067138672,1.2489369369786947,71.88929267960819
59,131.72560119628906,164.00999450683594,1.2450882214038161,72.42179296800273
60,130.93499755859375,163.1300048828125,1.2458854234889445,71.87188799193373
61,129.44500732421875,160.94000244140625,1.2433079171474146,71.36707739588167
62,128.33999633789062,158.6300048828125,1.236013786888189,71.67853969981937
63,124.7300033569336,158.25,1.2687404452892053,65.52947081706006
64,127.52999877929688,162.1999969482422,1.2718575903771876,66.64357697159642
65,126.44999694824219,161.1999969482422,1.2748121853591161,65.6902735554664
66,126.0,160.33999633789062,1.2725396534753224,65.73640464173471
67,125.2300033569336,160.11000061035156,1.2785274799841868,64.57377581062701
68,124.8499984741211,159.50999450683594,1.277613107379406,64.48650082405516
69,124.52999877929688,159.55999755859375,1.2812976722290037,63.857742737733844
70,123.38999938964844,156.27999877929688,1.2665532016560468,65.0759258439852
71,122.37000274658203,155.5399932861328,1.2710630856832048,63.971153976543235
72,120.94999694824219,152.36000061035156,1.259694125296676,64.58290825025352
73,122.44000244140625,154.6199951171875,1.2628225419317596,65.0177543780928
74,123.22000122070312,156.8865966796875,1.2732234631184844,64.16186734992831
75,124.62000274658203,159.58999633789062,1.2806130061032095,63.9905261424187
76,126.02999877929688,161.49000549316406,1.281361636573246,64.64065161491902
77,123.97000122070312,158.33999633789062,1.2772444525187894,64.06492609760295
78,122.44000244140625,157.39999389648438,1.2855275298757711,62.23775559879593
79,122.30999755859375,156.99000549316406,1.2835418904980072,62.41261571398803
80,123.04620361328125,157.22500610351562,1.2777721009390428,63.509125625421746
