,jpm,blk,Ratio,Spread
0,158.27369689941406,916.0,5.787443005025247,-69.52856319521881
1,158.36000061035156,916.5150146484375,5.787541115913126,-69.57907788187585
2,158.1199951171875,914.8300170898438,5.785669398812185,-69.18582712293643
3,158.6199951171875,919.030029296875,5.793910336574536,-70.69476175789863
4,158.72999572753906,917.9400024414062,5.783027954067708,-69.01269455156798
5,158.74000549316406,918.97998046875,5.789214745291947,-69.99879846736145
6,158.33999633789062,915.010009765625,5.778767405128858,-68.18173909699375
7,161.72000122070312,920.5399780273438,5.692183842931469,-55.51999669147166
8,162.0500030517578,914.989990234375,5.646343554477642,-48.19388784591696
9,162.25,912.75,5.62557781201849,-44.877483007748324
10,162.02999877929688,907.767578125,5.602466117163167,-41.07914183447225
11,161.67999267578125,909.1500244140625,5.623144888664063,-44.34537527405111
12,161.62179565429688,909.943115234375,5.630076757597163,-45.451691492919295
13,161.7100067138672,911.22998046875,5.634963469398019,-46.263791119258045
14,166.83999633789062,922.6699829101562,5.530268539694345,-30.09339351635198
15,167.27999877929688,923.3800048828125,5.51996659266531,-28.43525408556026
16,167.89999389648438,926.8099975585938,5.520012097975425,-28.52833685203042
17,167.8800048828125,923.135009765625,5.498778787920653,-24.96093303182205
18,168.33599853515625,919.9650268554688,5.465052245870856,-19.33672154000955
19,168.1605987548828,920.4000244140625,5.473339362662903,-20.71574792828268
20,167.7899932861328,917.969970703125,5.4709458694459085,-20.280350347423692
21,167.48500061035156,923.5999755859375,5.514523522823772,-27.551873129116657
22,167.14999389648438,917.3074951171875,5.487930174172032,-23.062450768727686
23,167.07000732421875,914.5,5.473753276525011,-20.68545579292153
24,165.85499572753906,911.2999877929688,5.49455856783489,-24.02482450114725
25,165.11000061035156,903.6599731445312,5.473078370807518,-20.394489155038073
26,164.52999877929688,896.4199829101562,5.44836801532241,-16.276158759283604
27,163.7899932861328,892.1099853515625,5.446669649672014,-15.94898557241312
28,164.44000244140625,890.3699951171875,5.414558391498728,-10.710545219246354
29,164.30499267578125,885.6300048828125,5.390158816600315,-6.697198489438859
30,164.51499938964844,894.2999877929688,5.435978428172669,-14.236892684251314
31,164.27000427246094,894.010009765625,5.442320487694182,-15.265516387166953
32,164.57000732421875,895.8150024414062,5.443367336531526,-15.455846094672792
33,164.94000244140625,895.760009765625,5.430823308516909,-13.40948229561492
34,165.52000427246094,896.010009765625,5.413303447544088,-10.537822456994503
35,166.0,892.4849853515625,5.376415574407003,-4.42938656879336
36,166.0800018310547,888.7000122070312,5.351035659977073,-0.21383115771062755
37,166.44500732421875,889.72998046875,5.345489148470775,0.7207167732421897
38,166.69000244140625,889.7999877929688,5.338052521210714,1.969311179282828
39,167.0749969482422,891.4299926757812,5.335508059006193,2.411406461902276
40,167.1300048828125,891.4500122070312,5.333871753501679,2.6874481686682987
41,167.19000244140625,892.25,5.3367425502173775,2.210376544320626
42,165.97999572753906,868.719970703125,5.233883558649765,19.227961981713733
43,166.50999450683594,871.0900268554688,5.231457903986099,19.71044148574957
44,166.3000030517578,864.739990234375,5.199879581272411,24.93027151666955
45,166.5,869.8699951171875,5.224444415118243,20.876681237650686
46,166.8699951171875,870.10498046875,5.214268627848301,22.633067009364808
47,166.63999938964844,869.5,5.217834872687912,22.000174790010632
48,167.27000427246094,873.3200073242188,5.221019818363218,21.570951486653243
49,167.27000427246094,871.0250244140625,5.20729958848615,23.865934396809493
50,167.1999969482422,876.1799926757812,5.240311056626444,18.334175854919508
51,166.67999267578125,875.9349975585938,5.255189801108432,15.78042730210767
52,166.69000244140625,879.0175170898438,5.273366753946926,12.751781882407828
53,166.77499389648438,884.489990234375,5.3034928652635385,7.736745935033115
54,167.0749969482422,886.8900146484375,5.308334764915095,6.951384489246026
55,167.47999572753906,888.0499877929688,5.302424232429956,7.971177608077015
56,168.05999755859375,894.6849975585938,5.323604727809566,4.457827681072432
57,167.67990112304688,886.2000122070312,5.28506998317419,10.897075046787892
58,167.75999450683594,886.7100219726562,5.285586856266405,10.818140298734521
59,167.8000030517578,886.3499755859375,5.2821809264958315,11.393518881314082
60,167.85000610351562,885.0800170898438,5.273041316090281,12.932601559648662
61,168.15750122070312,882.7999877929688,5.249840068890609,16.86761728329178
62,168.49000549316406,885.1099853515625,5.253189842097032,16.347209305171518
63,168.4499969482422,884.530029296875,5.250994629395303,16.711833163998207
64,169.36500549316406,884.5317993164062,5.222636144584826,21.634781091448517
65,169.10000610351562,879.1400146484375,5.19893544007483,25.600297931227473
66,169.47999572753906,876.1599731445312,5.169695511162694,30.62550254479048
67,168.89500427246094,871.0999755859375,5.157642047130545,32.53698533415876
68,168.6699981689453,868.1699829101562,5.147151196625788,34.255960252441
69,168.42999267578125,865.0,5.135664891140136,36.134196362942916
70,160.39100646972656,846.1300048828125,5.275420508334534,11.737120517558752
71,158.8699951171875,842.6799926757812,5.304211107038771,7.0008136492295865
72,158.5399932861328,844.4299926757812,5.326290074654884,3.474692596643637
73,157.6300048828125,838.8499755859375,5.3216389621352045,4.157010920451045
74,157.73980712890625,846.2000122070312,5.364530536768754,-2.6020529769913434
75,157.35499572753906,848.4600219726562,5.3920119793449,-6.9331774060076565
76,157.88999938964844,847.9199829101562,5.370321022154285,-3.513665631352991
77,152.7100067138672,834.2000122070312,5.462641448049126,-17.67321915478125
78,151.86019897460938,827.22998046875,5.447312633951314,-15.276984511874742
79,150.97999572753906,826.469970703125,5.474036257058756,-19.254365180356118
80,150.97999572753906,825.5449829101562,5.467909698447389,-18.329377387387368
