,ge,cat,Ratio,Spread
0,89.91000366210938,195.8300018310547,2.178066887495668,30.378198012285335
1,89.22000122070312,194.16000366210938,2.1761936898186836,30.29266582773752
2,89.80000305175781,194.4250030517578,2.165089047265372,31.503329071141447
3,89.27999877929688,193.83999633789062,2.1711469420723173,30.765321213653205
4,89.38999938964844,194.36000061035156,2.1742924481198607,30.52518466163303
5,89.73500061035156,195.39999389648438,2.1775226229166997,30.362956552246796
6,89.95999908447266,195.36000061035156,2.1716318652572246,30.975399480737703
7,92.93000030517578,197.47000122070312,2.1249327512345326,36.42178850029785
8,92.87999725341797,198.52000427246094,2.137381676819068,35.244565789796184
9,93.29499816894531,198.8520050048828,2.1314326481339037,35.96842610976549
10,93.38999938964844,198.39999389648438,2.1244244051090067,36.66214292318048
11,93.12999725341797,197.910400390625,2.1250983166260267,36.49022914336214
12,93.13999938964844,197.9199981689453,2.12497315295175,36.50607917898952
13,93.06999969482422,198.35000610351562,2.131191648800942,35.89797536877458
14,93.19000244140625,203.068603515625,2.1790814271445647,31.484693491053687
15,93.1500015258789,201.40989685058594,2.162210344082821,33.04162831129659
16,93.51499938964844,201.64999389648438,2.1563385041181515,33.73017265904548
17,93.6500015258789,202.69960021972656,2.1644377674004978,33.02404388561601
18,93.07659912109375,201.5800018310547,2.165743094768608,32.6847701515824
19,93.12999725341797,201.72999572753906,2.166111904616591,32.67063380644808
20,93.08999633789062,202.14999389648438,2.171554429573039,32.14886379270661
21,93.91000366210938,206.58999633789062,2.199872093299099,29.79515505312963
22,94.06999969482422,206.01499938964844,2.1900180722652163,30.777219969561823
23,94.08000183105469,206.49000549316406,2.194834199344203,30.32766167999392
24,94.07009887695312,207.00999450683594,2.200592929934219,29.782477195304406
25,94.11000061035156,207.02000427246094,2.1997662621382443,29.873986931545485
26,94.0,206.46499633789062,2.1964361312541554,30.149127145675035
27,94.0199966430664,206.16000366210938,2.1927250693782367,30.50499603835706
28,94.32990264892578,206.39500427246094,2.1880124804179615,31.058470029496984
29,94.52999877929688,206.38999938964844,2.183328065744672,31.572567068225705
30,94.55000305175781,205.74000549316406,2.1759915267325747,32.27345659260547
31,94.4800033569336,205.6699981689453,2.176862731386131,32.16536804117962
32,94.5199966430664,206.125,2.1807554731342713,31.81211864392645
33,94.43000030517578,205.49000549316406,2.1761093384418957,32.218141058217014
34,94.66000366210938,206.3800048828125,2.180223926670125,31.91332492339782
35,96.00499725341797,207.74000549316406,2.163845752162324,33.97530796571826
36,95.86000061035156,206.9199981689453,2.158564540490946,34.426409337171236
37,95.55999755859375,206.4199981689453,2.1601088681733844,34.16313020669736
38,95.2699966430664,206.47999572753906,2.1673139813484643,33.36530133157743
39,95.16000366210938,206.59500122070312,2.1710276720277673,32.97044752896721
40,95.38249969482422,206.9600067138672,2.169790133158961,33.17152487192567
41,95.33000183105469,206.69000244140625,2.1681527165782026,33.30796209040179
42,94.83000183105469,207.66000366210938,2.1898133465405607,31.065841926238644
43,94.87999725341797,207.63999938964844,2.1884486235286897,31.213046446448796
44,94.63999938964844,207.36000061035156,2.191039750080897,30.88243356796337
45,95.05500030517578,207.97999572753906,2.1879963711516024,31.31829950316705
46,94.98500061035156,207.52999877929688,2.184871268576694,31.59020057576461
47,95.05999755859375,207.83999633789062,2.1864086016810673,31.47101309429203
48,94.80999755859375,207.38999938964844,2.1874275364418065,31.284950570804195
49,95.33000183105469,207.92999267578125,2.1811600617010165,32.06797185602679
50,95.16000366210938,207.00999450683594,2.175388677388868,32.5554542428344
51,94.88999938964844,206.6300048828125,2.1775740985551506,32.24848876723243
52,94.87999725341797,206.7200927734375,2.1787531487938634,32.13295306265974
53,95.13500213623047,207.38999938964844,2.1799547457062354,32.11183953064997
54,95.0199966430664,206.60000610351562,2.1742792401855047,32.60923148387087
55,94.70999908447266,206.1199951171875,2.1763277067857145,32.30053493677204
56,94.29499816894531,206.3000030517578,2.187814911265354,31.064665949810543
57,94.3302993774414,206.32000732421875,2.1872082319878556,31.134476349459444
58,93.98999786376953,206.00579833984375,2.1917842645175027,30.582877329774217
59,94.55999755859375,207.09840393066406,2.1901270016672356,30.94048655805855
60,94.71170043945312,207.1999969482422,2.1876916578084256,31.22486175751777
61,94.81999969482422,207.32000732421875,2.1864586373283377,31.380390450181576
62,94.47000122070312,206.7899932861328,2.1889487733045008,31.019925110044422
63,97.33000183105469,207.85000610351562,2.13551836220348,37.23643420213256
64,96.76000213623047,206.80999755859375,2.1373500722687204,36.82622792794976
65,96.08999633789062,206.69500732421875,2.151056459586042,35.236564025732406
66,95.80500030517578,206.27999877929688,2.1531235125746644,34.92647486659928
67,96.36499786376953,206.89500427246094,2.146993294857401,35.73623637859217
68,96.625,207.0399932861328,2.142716618743936,36.25275465059801
69,96.2300033569336,207.02000427246094,2.151304136450959,35.26777823977409
70,99.43460083007812,214.61000061035156,2.158303033539547,35.831040205386074
71,98.47000122070312,214.64230346679688,2.1797735432714584,33.344566477060596
72,98.65039825439453,215.6649932861328,2.186154309585118,32.78084962553032
73,98.86000061035156,216.72000122070312,2.1921909759528218,32.2591199461736
74,98.94000244140625,217.82000732421875,2.2015363043195295,31.362657532250292
75,99.23999786376953,218.19000244140625,2.1986095036088558,31.75592213454203
76,99.41000366210938,218.08999633789062,2.1938435600422044,32.28846343118997
77,100.75,222.9499969482422,2.2129031955160516,30.837732272033886
78,100.37000274658203,220.7949981689453,2.1998106219685662,32.025927642259205
79,100.75,221.9600067138672,2.2030769897158033,31.827722506408886
80,100.76499938964844,221.31500244140625,2.1963479758046014,32.51088879429406
