,tsm,qcom,Ratio,Spread
0,113.86217498779297,173.0627899169922,1.5199322332947358,2.2472114158523366
1,112.5113296508789,172.93556213378906,1.5370502034808913,0.27615695488920555
2,114.95851135253906,175.78404235839844,1.52910854785974,1.228909760089482
3,118.73695373535156,177.54598999023438,1.4952884035239788,5.336056350818171
4,118.13005065917969,178.87725830078125,1.5142400879592022,3.062079120262399
5,120.10736846923828,182.391357421875,1.518569258043388,2.6193685131178084
6,119.48088836669922,180.9132843017578,1.5141608568101386,3.1243235126334694
7,118.8446273803711,182.26409912109375,1.5336334770754416,0.7851978232183001
8,117.87553405761719,178.86746215820312,1.517426526108236,2.676531953499011
9,117.76786804199219,179.00450134277344,1.5199774294882051,2.3722540164878465
10,126.07848358154297,182.27389526367188,1.4457176996880976,12.01182646517238
11,130.58126831054688,183.27232360839844,1.4035115907477809,18.007620914119276
12,124.37522888183594,182.55775451660156,1.4677983402148556,9.082283804953125
13,125.75544738769531,182.01939392089844,1.4474076288699071,11.764552296530088
14,120.89045715332031,176.59649658203125,1.4607976571555297,9.630609227485554
15,122.3685531616211,175.88189697265625,1.4373128751498447,12.641150884878943
16,126.44064331054688,181.48101806640625,1.4353060322595517,13.367250171764471
17,129.4359893798828,182.47946166992188,1.4098046651798002,17.021509065470884
18,136.24893188476562,180.00294494628906,1.3211328885758091,30.08064091007562
19,137.6878662109375,184.70147705078125,1.341450645823932,27.61722060159794
20,131.002197265625,175.07925415039062,1.336460439632118,26.854523737324616
21,128.24176025390625,168.8243408203125,1.3164537081061323,28.821621275655065
22,125.61840057373047,162.9805145263672,1.2974254868872288,30.59055543609428
23,121.89869689941406,161.44371032714844,1.3244088282614321,26.349504865344915
24,123.29847717285156,166.47506713867188,1.3501794260223607,23.4924414486507
25,119.89201354980469,161.9527130126953,1.3508215286201535,22.723499864959894
26,120.47933197021484,163.46995544433594,1.3568298626087114,22.118545301916942
27,113.9208984375,157.7925567626953,1.3851063231323133,17.608660321108477
28,115.12491607666016,163.28396606445312,1.4183199573906702,13.987464259072187
29,120.0388412475586,172.04476928710938,1.4332425030019897,12.859512594990594
30,120.4499740600586,173.38584899902344,1.4394843199598368,12.157049797159107
31,121.52672576904297,184.22183227539062,1.5158956279748488,2.993596255024033
32,117.30779266357422,175.31419372558594,1.4944803729140796,5.347921718111183
33,118.46285247802734,175.67637634277344,1.4829659481258746,6.7799056375263715
34,119.72559356689453,171.3889617919922,1.4315148222358294,13.028749178988381
35,121.09601593017578,174.81495666503906,1.4436061774801718,11.73144575070042
36,122.8677749633789,180.06167602539062,1.465491469012591,9.236818298075367
37,122.07489013671875,170.39053344726562,1.3957869079909504,17.67636455056142
38,118.45307922363281,161.1598358154297,1.3605373272835644,21.28126526621104
39,117.23927307128906,161.6394805908203,1.3787144559701683,18.916202650802592
40,121.88890075683594,169.34312438964844,1.3893235835105446,18.434874351729963
41,120.98833465576172,168.9515838623047,1.3964287081313163,17.427556099356668
42,117.22948455810547,163.27418518066406,1.3927740601788305,17.266293460662542
43,116.78899383544922,164.09642028808594,1.4050675059268931,15.759839489087756
44,114.43971252441406,162.3834228515625,1.4189429461990333,13.823673600401992
45,113.45104217529297,158.20367431640625,1.3944664701445941,16.4677101023557
46,109.5159912109375,164.42922973632812,1.5014175365460818,4.129798705946729
47,108.87973022460938,167.31687927246094,1.536712838352013,0.2538382997346844
48,104.74888610839844,168.35447692871094,1.6072197345801924,-7.20024289138463
49,105.76691436767578,160.22991943359375,1.514934234316311,2.5056285870054067
50,107.29395294189453,166.36349487304688,1.5505393389983655,-1.2559818029477412
51,106.49127960205078,162.530029296875,1.5262285316153252,1.3306828472888867
52,102.84009552001953,159.49270629882812,1.5508805733049928,-1.303416722558137
53,97.19200897216797,147.54010009765625,1.5180270647549432,1.8759573453593987
54,97.88700866699219,148.1888427734375,1.5138765071223108,2.30676499225392
55,102.73241424560547,154.43055725097656,1.503231072539333,3.591469871215298
56,101.76333618164062,152.07147216796875,1.494364059532517,4.445275823250472
57,99.26721954345703,149.7418975830078,1.5084727694770785,2.897606227738822
58,97.2018051147461,138.88034057617188,1.4287835540937182,10.550933317958727
59,99.93284606933594,141.7505645751953,1.4184581961855183,11.922863906519513
60,103.95573425292969,147.88412475585938,1.4225682288583488,12.038098177176114
61,104.74259948730469,150.22354125976562,1.4342162787164114,10.920927703013394
62,104.96882629394531,151.36376953125,1.4419878251032783,10.132099905407745
63,105.1655502319336,152.9364776611328,1.4542450196270977,8.864965133779453
64,105.28358459472656,154.92201232910156,1.4714735723090235,7.062774480763397
65,103.62130737304688,150.26284790039062,1.4501153450943214,9.13990624902151
66,106.1491470336914,155.7575225830078,1.4673459649522276,7.571751450721126
67,104.97867584228516,155.27587890625,1.4791182843602344,6.23528993725306
68,104.58523559570312,155.74769592285156,1.4891939099791103,5.152338054961109
69,107.45732116699219,158.32302856445312,1.4733572998568796,7.038246084870525
70,104.97867584228516,150.12525939941406,1.4300548010812684,11.385909444088998
71,102.54920196533203,150.21372985839844,1.4647966730075574,7.523711705324405
72,101.10331726074219,144.483154296875,1.4290644284623977,11.008379375065676
73,103.07050323486328,151.18682861328125,1.4668292466640716,7.36035568547415
74,100.81807708740234,142.97923278808594,1.4181904368611669,12.069234327908976
75,99.51974487304688,136.90463256835938,1.3756529695991766,16.12712148806752
76,98.87055969238281,136.84564208984375,1.3840888785864394,15.177725809752577
77,97.66075134277344,134.3588104248047,1.3757708043144887,15.785349463733514
78,95.96897888183594,133.05149841308594,1.3864011054750174,14.464813550193856
