,dow,lin,Ratio,Spread
0,60.33000183105469,328.44000244140625,5.444057557981752,-0.16229862973827291
1,60.150001525878906,325.45001220703125,5.410640132187026,1.831735342293002
2,60.249900817871094,327.3999938964844,5.434033740340569,0.4345045238240184
3,59.93000030517578,327.0,5.456365732268469,-0.9355370173245481
4,60.04499816894531,327.42999267578125,5.453076903333554,-0.7292372020148994
5,60.369998931884766,328.3699951171875,5.439291053950259,0.1290158917566666
6,60.7400016784668,328.6400146484375,5.410602659975644,1.9062515147848282
7,60.369998931884766,321.20001220703125,5.320523735132743,7.298998801912917
8,60.26499938964844,320.17999267578125,5.3128680978760245,7.738047364633901
9,59.72999954223633,319.55999755859375,5.350075339153924,5.397845009585439
10,59.7599983215332,318.8399963378906,5.3353414540342055,6.283831905002928
11,60.11280059814453,320.07501220703125,5.324573285925242,7.000899597148732
12,60.209999084472656,319.9200134277344,5.313403392996188,7.693705471018547
13,60.220001220703125,321.17999267578125,5.333443808788272,6.489068852562327
14,59.619998931884766,323.2900085449219,5.422509465561672,1.059191739932971
15,59.91999816894531,324.3900146484375,5.413718700955482,1.6191057046472972
16,60.119998931884766,326.260009765625,5.426813299435911,0.8557310019560598
17,59.880001068115234,326.29998779296875,5.449231495867762,-0.5121746371601423
18,59.650001525878906,324.9200134277344,5.447108216531548,-0.40480636113639346
19,59.875,324.19000244140625,5.41444680486691,1.5701393996070303
20,59.84000015258789,322.19000244140625,5.384191203540172,3.3764824100973394
21,58.810001373291016,325.260009765625,5.530692096078477,-5.3925915542882015
22,59.31999969482422,326.17999267578125,5.4986512871516595,-3.490712459156412
23,59.47999954223633,327.3500061035156,5.503530743490788,-3.7754337766995425
24,59.099998474121094,326.18499755859375,5.5192048389210155,-4.713001908617655
25,58.8650016784668,326.0400085449219,5.5387751507393475,-5.868269191922905
26,58.400001525878906,324.2200012207031,5.551712204614085,-6.621145360920678
27,57.81999969482422,321.67999267578125,5.563472749457254,-7.290333907335053
28,56.90999984741211,318.760009765625,5.60112476928991,-9.405453831459425
29,57.63999938964844,321.5,5.577723861977316,-8.106297493897586
30,57.2599983215332,319.42999267578125,5.57858892838382,-8.138866846518823
31,57.04010009765625,317.760009765625,5.570817884639049,-7.68559861323294
32,56.900001525878906,317.0,5.571177354992232,-7.7007655883962505
33,56.599998474121094,315.8699951171875,5.580742113652371,-8.230701880842531
34,56.689998626708984,315.9200134277344,5.572764527796116,-7.782742060217543
35,55.61000061035156,309.5899963378906,5.567164052148235,-7.428441437407428
36,55.459999084472656,308.9200134277344,5.5701409759709835,-7.588429114880596
37,54.88999938964844,305.2300109863281,5.560758141379952,-7.052281135219942
38,55.150001525878906,308.07000732421875,5.586038056221235,-8.453664602156806
39,55.435001373291016,308.3999938964844,5.56327205297182,-7.206723943549632
40,56.0,312.07000732421875,5.572678702218192,-7.750554224333739
41,56.630001068115234,316.3500061035156,5.586261701160947,-8.544706085427464
42,55.470001220703125,310.4599914550781,5.596898947591961,-9.073064512633692
43,55.939998626708984,309.70001220703125,5.536289235072712,-5.712551563603738
44,56.279998779296875,310.8949890136719,5.524075972937609,-5.026279997709394
45,56.599998474121094,311.2699890136719,5.499469918819735,-3.6306957773269053
46,57.17499923706055,314.2799987792969,5.496808097473172,-3.4591797664109825
47,57.025001525878906,313.79998779296875,5.502849266046245,-3.809118260683447
48,57.189998626708984,313.5799865722656,5.48312631757639,-2.676174722022579
49,57.47999954223633,314.94000244140625,5.47912325938674,-2.431592045495079
50,57.54999923706055,315.0249938964844,5.473935674591935,-2.129269521553822
51,57.5,314.6600036621094,5.472347889775815,-2.0409291140456665
52,57.71500015258789,313.55999755859375,5.432903001465798,0.24869024132337447
53,57.93000030517578,313.3299865722656,5.408768943926123,1.6683144795049154
54,57.0,307.7900085449219,5.399824711314419,2.06252552041562
55,57.25,308.8699951171875,5.395109085016376,2.3658091895131017
56,60.07500076293945,311.5899963378906,5.1866831856973015,15.276765917618917
57,60.65999984741211,311.79998779296875,5.140125100186113,18.30362176164354
58,60.70000076293945,310.7799987792969,5.119934017678702,19.544939079620434
59,60.0,307.5799865722656,5.12633310953776,18.871790389429208
60,59.630001068115234,307.6300048828125,5.158980368479406,16.774538031633
61,60.20000076293945,310.1400146484375,5.151827420563207,17.418382727753595
62,60.16999816894531,311.3599853515625,5.174671677358639,16.032405242885403
63,60.22999954223633,306.6099853515625,5.090652294236729,21.11439769934296
64,60.040000915527344,308.5799865722656,5.139573315570382,18.093118693734226
65,59.96500015258789,309.57501220703125,5.162595037426528,16.683107765153892
66,59.82500076293945,309.56500244140625,5.174508959357613,15.918489572740185
67,59.165000915527344,308.29998779296875,5.210850722932349,13.531671628260227
68,59.459999084472656,312.0199890136719,5.247561281835818,11.443919160991726
69,60.040000915527344,314.94000244140625,5.245502958677629,11.733102824593601
70,59.65999984741211,314.44000244140625,5.2705330748512536,10.130526147753613
71,59.332000732421875,312.5199890136719,5.267309127549711,10.235693915650273
72,59.68000030517578,315.7149963378906,5.290130608637247,8.96619640342172
73,59.5,315.30999755859375,5.299327690060399,8.37523892037487
74,59.540000915527344,316.95001220703125,5.3233121822874265,6.956552576242388
75,59.54999923706055,317.3500061035156,5.329135351290063,6.611880202319839
76,59.720001220703125,318.7099914550781,5.336737859017172,6.192529590539238
77,60.94960021972656,317.5450134277344,5.20996056221809,14.160978434518967
78,60.88999938964844,316.3999938964844,5.196255494630104,14.976221747338542
79,60.80500030517578,318.06500244140625,5.230902077872899,12.840906386040132
80,60.93000030517578,319.9200134277344,5.250615654445653,11.67753052039356
