,vz,chtr,Ratio,Spread
0,54.08000183105469,624.864990234375,11.554455789155595,-101.82297971173664
1,54.1349983215332,619.3099975585938,11.440103754695263,-95.72606024697136
2,54.09000015258789,623.25,11.52246252989114,-100.10946758557229
3,53.91999816894531,623.5999755859375,11.56528183906901,-102.134616047356
4,54.084999084472656,617.219970703125,11.412036260537233,-94.12871802930617
5,54.209999084472656,611.9000244140625,11.287585957353922,-87.57704135102055
6,54.25080108642578,610.3300170898438,11.250156769437195,-85.60497750082736
7,54.1150016784668,606.7000122070312,11.211309126660282,-83.31311867898755
8,54.095001220703125,606.6900024414062,11.215269225453222,-83.50019028636966
9,54.29999923706055,602.9450073242188,11.103959775246183,-77.73517687735902
10,54.154998779296875,605.25,11.176253598797668,-81.4689813153705
11,53.98500061035156,605.010009765625,11.2070019991741,-82.9041263674133
12,53.87009811401367,604.5250244140625,11.221903162949733,-83.55137218814666
13,53.880001068115234,604.9400024414062,11.22754251019111,-83.86876805941056
14,53.38999938964844,608.7999877929688,11.40288433700575,-92.55715307607629
15,53.37910079956055,605.7100219726562,11.34732531833213,-89.57458025265127
16,53.33000183105469,608.3200073242188,11.406712665252279,-92.6683791369192
17,53.364601135253906,608.780029296875,11.407937403184311,-92.78746499415028
18,53.595001220703125,609.7100219726562,11.376247935173707,-91.44713137451224
19,53.67499923706055,611.4400024414062,11.391523262830905,-92.3888239406621
20,53.59000015258789,612.0900268554688,11.421720938844047,-93.87641599793362
21,53.38999938964844,618.5399780273438,11.58531532306535,-102.29714331045129
22,53.525001525878906,620.7249755859375,11.596916541624422,-103.15185099860416
23,53.60499954223633,623.7050170898438,11.635202358287785,-105.34360459991039
24,53.58300018310547,621.0599975585938,11.590616341680915,-102.9153633021396
25,53.459999084472656,618.0800170898438,11.561541856991235,-101.14741636214062
26,53.45000076293945,613.7249755859375,11.482225759133666,-96.89089675002371
27,53.459999084472656,614.1199951171875,11.487467370637448,-97.18739438948437
28,53.56999969482422,612.4299926757812,11.432331457245695,-94.41346319125323
29,53.79499816894531,616.75,11.464820540807015,-96.51637085064162
30,53.7400016784668,619.1849975585938,11.52186412764286,-99.49329519821951
31,53.82500076293945,624.3800048828125,11.60018571356383,-103.85073487922925
32,53.59560012817383,624.969970703125,11.660844718755083,-106.701178564725
33,53.59000015258789,620.5399780273438,11.579398698646534,-102.32636716980862
34,53.529998779296875,619.0800170898438,11.565104263168367,-101.45765035132995
35,53.34000015258789,612.52001953125,11.483314918992036,-96.7698694521611
36,53.44499969482422,609.1699829101562,11.398072530425146,-92.38518381485135
37,53.51499938964844,608.6199951171875,11.37288614516764,-91.14543001107192
38,53.34989929199219,602.4400024414062,11.29224254284267,-86.59230779566592
39,53.255001068115234,600.77001953125,11.281006618755702,-85.85743709537
40,53.24470138549805,605.2999877929688,11.368267114703563,-90.48889681372036
41,53.279998779296875,607.7100219726562,11.405969142191411,-92.55111601258868
42,52.70000076293945,587.719970703125,11.152181445819465,-78.27627420255003
43,53.189998626708984,587.344970703125,11.042394921367677,-73.07291212687521
44,53.07080078125,586.969970703125,11.060130279973134,-73.87246899552922
45,53.20000076293945,586.530029296875,11.025000392583971,-72.15941123940745
46,53.44499969482422,587.6799926757812,10.995977098540315,-70.89519358047635
47,53.42499923706055,586.5,10.97800670801225,-69.9122822777022
48,53.43000030517578,582.75,10.906793873694753,-66.11300253709332
49,52.9900016784668,577.6749877929688,10.901584629081354,-65.37366776793333
50,53.529998779296875,574.9000244140625,10.739772791409242,-57.277657675548696
51,53.5,587.739990234375,10.985794209988319,-70.41322676065765
52,53.49700164794922,586.0900268554688,10.955567766440163,-68.79280867245966
53,53.529998779296875,583.35498046875,10.897720787813036,-65.7326137302362
54,53.650001525878906,581.530029296875,10.839329221945409,-62.725174320318544
55,53.5,581.3400268554688,10.866168726270445,-64.0132633817514
56,53.595001220703125,586.530029296875,10.94374504968395,-68.26713869873099
57,53.78499984741211,583.4099731445312,10.847075853856348,-63.27486588696222
58,53.729400634765625,579.9400024414062,10.79371806850486,-60.35276110250565
59,53.7067985534668,575.1500244140625,10.709072964784573,-55.78550043832563
60,53.70500183105469,575.989990234375,10.725071605924631,-56.6431708794061
61,53.619998931884766,572.239990234375,10.67213729267899,-53.730776112043415
62,53.38999938964844,572.1599731445312,10.71661321755821,-55.91713842763879
63,53.439998626708984,572.9000244140625,10.720434864078207,-56.164505059366476
64,53.470001220703125,575.8499755859375,10.769589722077159,-58.818815377016605
65,53.502899169921875,572.7249755859375,10.70455964950607,-55.369644146649804
66,53.34320068359375,574.3900146484375,10.767820589833805,-58.60832703893611
67,53.290000915527344,573.969970703125,10.770687949751654,-58.71250526183967
68,53.125,569.47998046875,10.719623161764705,-55.848408162702
69,53.150001525878906,569.47998046875,10.714580698393176,-55.60204704908601
70,53.13999938964844,577.447509765625,10.866532111366764,-63.66813582717877
71,53.062400817871094,572.3099975585938,10.78560315284195,-59.295267772295276
72,52.724998474121094,564.3400268554688,10.703462175204475,-54.650006830706204
73,52.50519943237305,566.469970703125,10.78883571202774,-58.945815952307996
74,52.390098571777344,567.3699951171875,10.829718030399563,-60.980026188942176
75,52.6150016784668,573.4500122070312,10.898983064020717,-64.84388334966518
76,52.9900016784668,577.1300048828125,10.891299992491547,-64.82868485777708
77,52.439998626708984,568.5850219726562,10.842582701424059,-61.70334573174527
78,52.70000076293945,564.0999755859375,10.703984201507508,-54.65627908536253
79,52.630001068115234,564.5650024414062,10.72705664038901,-55.81107195164195
80,52.70000076293945,564.64501953125,10.714326591211908,-55.20132303067503
