,cl,cost,Ratio,Spread
0,76.16000366210938,566.5599975585938,7.439075240492208,-65.94671917695132
1,75.9000015258789,569.6436767578125,7.505186631170046,-70.73943875886272
2,75.83000183105469,566.3870239257812,7.4691680106729015,-67.94290639724449
3,75.91999816894531,565.906005859375,7.453978128398533,-66.87032636146586
4,75.86499786376953,568.3099975585938,7.491069841972522,-69.6358448695355
5,76.05000305175781,569.1699829101562,7.484154636033253,-69.27975814621573
6,76.20999908447266,569.97998046875,7.479070821625034,-69.03807326502402
7,75.66000366210938,574.8300170898438,7.59754149176336,-77.50332782525714
8,76.0199966430664,575.5499877929688,7.571034112186629,-75.8570005015224
9,75.9800033569336,576.4949951171875,7.5874568260936925,-77.06489082366
10,76.02410125732422,575.6099853515625,7.571414536072635,-75.89001769901728
11,76.20500183105469,576.0800170898438,7.559608992163064,-75.17095772351513
12,76.08999633789062,575.4299926757812,7.562492053758106,-75.27688491392189
13,76.37000274658203,576.47998046875,7.548513287104086,-74.48634067586852
14,75.66000366210938,580.1500244140625,7.667856150324274,-82.8233351494759
15,75.58000183105469,585.3400268554688,7.744641607232157,-88.53920388545993
16,75.79499816894531,583.1699829101562,7.6940431030855585,-84.95595069151102
17,75.91500091552734,585.1799926757812,7.708357842568252,-86.1771610152694
18,76.0770034790039,584.6199951171875,7.684582309797911,-84.55229173256123
19,75.93499755859375,581.27001953125,7.65483687653673,-82.13574637177874
20,75.83000183105469,575.5999755859375,7.590662820612143,-77.15585805740074
21,75.4800033569336,579.4299926757812,7.676602635213778,-83.28647749930957
22,75.7699966430664,578.0621948242188,7.629170125839201,-80.01250209130035
23,75.63999938964844,575.3099975585938,7.605896380233534,-78.11479994233662
24,75.88500213623047,573.989990234375,7.563945102141991,-75.18434589698728
25,76.16000366210938,576.2299194335938,7.566043746401182,-75.61664105195132
26,76.12000274658203,573.6599731445312,7.536257914419084,-73.30962791017771
27,76.43000030517578,575.5700073242188,7.530681735261508,-73.18199288508902
28,75.6500015258789,575.8101196289062,7.611501758290499,-78.54917618848441
29,76.0999984741211,579.6649780273438,7.617148352827724,-79.44612444131968
30,76.38999938964844,578.2249755859375,7.569380549887692,-76.09989429409666
31,76.41999816894531,574.125,7.512758620207693,-71.80273138503497
32,76.51499938964844,573.239990234375,7.491864272456983,-70.29326166327019
33,76.49500274658203,572.8150024414062,7.488266970053817,-69.9997153692608
34,76.58999633789062,575.1900024414062,7.50998864008103,-71.75030556249106
35,77.41999816894531,580.8200073242188,7.502196087072463,-71.92456047514207
36,77.70999908447266,580.72998046875,7.473040629398057,-69.92830591385655
37,77.69999694824219,579.6080932617188,7.459563912824983,-68.87216453099
38,77.47000122070312,579.6635131835938,7.482425507290222,-70.43938736306347
39,77.55000305175781,578.5999755859375,7.460992299378414,-68.84998347082944
40,77.5250015258789,576.5399780273438,7.43682640025343,-66.95432539796252
41,77.44999694824219,575.3300170898438,7.42840593621097,-66.23738291764295
42,77.73999786376953,576.8049926757812,7.41966823418964,-65.80613079776367
43,78.11000061035156,579.4249877929688,7.418064054094761,-65.99403191455656
44,78.1449966430664,579.9000244140625,7.420820901212688,-66.23903337512888
45,78.19000244140625,583.6699829101562,7.464764863609575,-69.71316073716639
46,78.33999633789062,582.844970703125,7.439941255412352,-67.9022119145144
47,78.4749984741211,584.2000122070312,7.444409347770608,-68.36986031499191
48,78.80999755859375,584.780029296875,7.420124951305855,-66.74786871433275
49,79.03500366210938,599.9199829101562,7.590560575854915,-80.40881710544272
50,79.58999633789062,597.1500244140625,7.502827640284432,-73.9907928328123
51,80.0999984741211,601.1400146484375,7.504869239699865,-74.62844812596677
52,80.12999725341797,607.02001953125,7.575440413550711,-80.31126568565514
53,80.2699966430664,607.5880737304688,7.569304835431947,-79.95907894404786
54,80.26000213623047,607.5499877929688,7.569772883406295,-79.98668868134246
55,80.44000244140625,607.739990234375,7.55519606898399,-78.9935170346339
56,79.91010284423828,598.3699951171875,7.488039356970137,-73.10664641581536
57,80.30999755859375,601.4650268554688,7.489292057525503,-73.57309892175897
58,80.23999786376953,604.3300170898438,7.531530822269808,-76.89820962654699
59,80.08499908447266,602.7449951171875,7.52631581454374,-76.33202225627883
60,80.30999755859375,601.8599243164062,7.494209221925233,-73.96799638269647
61,80.28500366210938,601.8699951171875,7.496667717052629,-74.1423565198345
62,80.29000091552734,600.1099853515625,7.474280464673737,-72.34949891681208
63,80.30999755859375,586.3223266601562,7.300738942650055,-58.43039872644647
64,80.52999877929688,589.7899780273438,7.323854302341929,-60.451942858230154
65,80.75,589.7050170898438,7.302848508852554,-58.92087468532645
66,80.58000183105469,587.8900146484375,7.295730966611505,-58.22330050787036
67,80.75,589.0700073242188,7.294984610826238,-58.28586491970145
68,80.47000122070312,584.47998046875,7.263327595406777,-55.53631994588466
69,80.46499633789062,584.6699829101562,7.266140676313405,-55.75922037405837
70,80.44000244140625,586.6300048828125,7.292764632996163,-57.883531683071396
71,80.63999938964844,589.7952880859375,7.313929719122098,-59.734199299122
72,80.83999633789062,586.559814453125,7.255811986945845,-55.18411007923521
73,81.05999755859375,585.6900024414062,7.225388848772709,-52.868190832112646
74,81.1500015258789,583.8400268554688,7.194578137737692,-50.42660312743271
75,80.99500274658203,579.2708129882812,7.151932753193546,-46.87622386263331
76,81.01000213623047,581.1799926757812,7.1741757480568875,-48.68680988857125
77,81.02999877929688,585.510009765625,7.225842510011521,-52.885385479455636
78,81.19000244140625,588.8699951171875,7.252986542797153,-55.19363824186257
79,81.1500015258789,588.530029296875,7.2523723749923965,-55.11660556883896
