,unp,noc,Ratio,Spread
1082,227.82000732421875,483.4599914550781,2.1221138438778513,-14.984508073832485
1083,227.4499969482422,480.6000061035156,2.11299192152937,-12.888744502291031
1084,227.35000610351562,477.8900146484375,2.1020013275515264,-10.385274772829503
1085,228.14999389648438,472.0899963378906,2.0692088931288164,-2.93295659495031
1086,227.22500610351562,470.2250061035156,2.069424550435694,-2.9784420216283087
1087,227.52000427246094,472.7550048828125,2.0778612693619523,-4.899149709616422
1088,228.05499267578125,476.2200012207031,2.088180555194994,-7.259177602238465
1089,227.6699981689453,475.489990234375,2.0885052666514796,-7.32433671495407
1090,228.0399932861328,476.7799987792969,2.0907736047030046,-7.8501549954547
1091,228.6199951171875,477.5799865722656,2.0889685800555835,-7.452203323687611
1092,230.11000061035156,475.8599853515625,2.0679674246637494,-2.6547352962183317
1093,228.76499938964844,472.05999755859375,2.0635149556010024,-1.6327215649318254
1094,228.49000549316406,466.8900146484375,2.043371716153273,2.969287205278891
1095,228.91000366210938,467.3900146484375,2.0418068549697153,3.3367540903083346
1096,228.91000366210938,469.1600036621094,2.0495391033876764,1.5667650766364596
1097,228.27999877929688,469.7749938964844,2.0578894182957614,-0.349441243082635
1098,227.85000610351562,470.0199890136719,2.0628482616767405,-1.482545963181264
1099,229.36000061035156,481.5,2.099319840942958,-9.843804706979752
1100,229.25999450683594,478.6243896484375,2.0876925809843643,-7.174747596633706
1101,229.02999877929688,478.7850036621094,2.090490355909608,-7.810396246383659
1102,229.47000122070312,474.7099914550781,2.068723532181901,-2.8266002029597366
1103,228.91000366210938,474.04998779296875,2.0709011410995686,-3.3232190542229154
1104,229.0800018310547,474.57000732421875,2.071634378954701,-3.492123287884835
1105,228.49000549316406,473.7300109863281,2.0733073639866544,-3.870709132611734
1106,233.22500610351562,473.14520263671875,2.028707000769531,6.493799543760149
1107,235.8699951171875,472.1700134277344,2.0018231364830688,12.931965856641812
1108,234.72000122070312,471.614990234375,2.00926630786323,11.111784354011052
1109,235.4199981689453,471.739990234375,2.0038229288228884,12.432562495726772
1110,236.00999450683594,472.1300048828125,2.0004661491958022,13.261130029906797
1111,236.0800018310547,472.07000732421875,1.9996187888122983,13.46572116047203
1112,235.67999267578125,473.1400146484375,2.00755273825608,11.569532386987321
1113,239.89500427246094,470.9800109863281,1.9632756105725828,22.435247765213166
1114,241.4499969482422,470.70001220703125,1.9494720155574559,25.926938290907078
1115,240.8249969482422,469.92999267578125,1.951333950506716,25.406078853553783
1116,240.4250030517578,470.2200012207031,1.9557866080986424,24.28992037496575
1117,239.8300018310547,470.1199951171875,1.960221788466473,23.16100717912305
1118,239.25999450683594,469.1300048828125,1.9607540568985882,22.973700666643953
1119,239.3699951171875,470.1700134277344,1.9641977817543712,22.160888080820218
1120,239.6999969482422,470.3500061035156,1.9622445227025893,22.6624832823335
1121,239.41000366210938,472.4100036621094,1.9732258319867197,20.00353174917173
1122,239.25999450683594,473.2300109863281,1.9778902526590478,18.87369456312833
1123,239.3300018310547,473.3299865722656,1.9777294236031209,18.918312549162312
1124,239.36500549316406,478.4700012207031,1.9989137519701792,13.850594686710524
1125,239.6199951171875,477.510009765625,1.9927803167348204,15.337243330370898
1126,239.8800048828125,479.1600036621094,1.9974987239815643,14.224275254809372
1127,237.57000732421875,481.010009765625,2.024708485651459,7.603185525831991
1128,237.60499572753906,486.1650085449219,2.04610600486871,2.520452016921029
1129,237.88999938964844,488.375,2.0529446435454117,0.899108935269981
1130,237.88999938964844,487.6400146484375,2.0498550418242454,1.634094286832481
1131,237.55279541015625,488.6300048828125,2.0569322454789423,-0.05235918795180572
1132,237.61000061035156,488.29998779296875,2.0550481315545093,0.39580988561489727
1133,238.17999267578125,486.82000732421875,2.0439164593765637,3.053055585619193
1134,240.2100067138672,485.0299987792969,2.019191479216991,9.035868014916405
1135,240.57000732421875,484.42999267578125,2.013675761429852,10.379421664971533
1136,240.80999755859375,486.8900146484375,2.0218845545645077,8.415077046275046
1137,241.5,486.94000244140625,2.016314709902303,9.790224677140332
1138,241.9250030517578,486.0400085449219,2.0090524022477236,11.568022575394894
1139,241.66000366210938,484.8450012207031,2.006310493558614,12.215698477549852
1140,241.3800048828125,485.3500061035156,2.0107299539543386,11.132382338051075
1141,238.86500549316406,493.1400146484375,2.0645134419346762,-1.8521219159064635
1142,238.8000030517578,495.93499755859375,2.0767796952293347,-4.781361281293455
1143,238.98500061035156,493.3699951171875,2.0644391650402905,-1.8342637076765818
1144,239.52999877929688,494.9849853515625,2.0664843145916016,-2.323611263301513
1145,240.8249969482422,494.489990234375,2.053316709231186,0.8460812949600318
1146,240.3000030517578,494.17999267578125,2.056512635871006,0.07175312616694152
1147,240.89999389648438,492.510009765625,2.044458373781688,2.980960936822458
1148,241.13999938964844,493.95001220703125,2.048395178971852,2.036667364975829
1149,240.49000549316406,492.760009765625,2.048983319515254,1.8841682852745572
1150,240.5,492.5249938964844,2.0479209725425545,2.1398268722969243
1151,240.97999572753906,491.17999267578125,2.038260442294669,4.4762143165194335
1152,241.11500549316406,491.9700012207031,2.040395620398877,3.965055798799727
1153,241.8300018310547,493.30999755859375,2.039904039297928,4.101817437247307
1154,241.94000244140625,493.1700134277344,2.038397984835814,4.468997527204879
1155,240.1699981689453,489.70001220703125,2.0389724609256,4.283220684455516
1156,239.0500030517578,488.75,2.044551322989017,2.919987864741602
1157,239.39999389648438,489.5450134277344,2.044883149159192,2.847847750065187
1158,239.17999267578125,490.94000244140625,2.052596443996453,0.998466818196976
1159,239.02999877929688,490.2799987792969,2.051123295331588,1.3486721340814989
1160,238.88999938964844,488.55999755859375,2.0451253665152964,2.779517726441457
1161,238.4499969482422,490.7200012207031,2.057957674569476,-0.2892697720605901
1162,236.77000427246094,491.04998779296875,2.0739535369011417,-4.089123884443934
1163,236.75999450683594,491.57000732421875,2.0762376192318492,-4.629817649175477
1164,237.31500244140625,489.239990234375,2.061563682031311,-1.1534836471001149
1165,236.4499969482422,485.1400146484375,2.0517657894266432,1.159904100674526
1166,236.86000061035156,484.95001220703125,2.0474120195786125,2.196730709228478
1167,237.35000610351562,485.1099853515625,2.043859165270007,3.0488180216981555
1168,237.5449981689453,484.5,2.0396135626287397,4.061541223352963
1169,238.4907989501953,483.260009765625,2.0263255936617726,7.254994396934665
1170,237.99000549316406,481.25,2.022143740880006,8.230662176486435
