,mrk,unh,Ratio,Spread
1329,86.79000091552734,513.969970703125,5.921995221585164,-18.985491234406304
1330,86.36000061035156,508.1650085449219,5.88426360529704,-15.661511416305977
1331,86.23580169677734,507.6400146484375,5.886650377918481,-15.853110758311566
1332,86.29499816894531,508.3900146484375,5.891303382997116,-16.261563554094828
1333,86.06999969482422,508.1600036621094,5.904031665666049,-17.32973127630583
1334,86.1500015258789,508.05999755859375,5.897388143469455,-16.768136825913466
1335,86.41999816894531,509.7846984863281,5.898920496269083,-16.93503210729846
1336,86.36000061035156,508.5199890136719,5.88837407850502,-16.016491885055977
1337,86.86000061035156,512.0800170898438,5.895464120326249,-16.69165882247983
1338,86.3949966430664,511.80499267578125,5.924011951644146,-19.0995781575865
1339,85.77999877929688,507.3500061035156,5.91454900120569,-18.192958460524373
1340,86.0999984741211,506.6549987792969,5.884494863627451,-15.651641768286417
1341,86.1500015258789,508.2950134277344,5.900116127972973,-17.00315269505409
1342,86.02999877929688,508.4649963378906,5.910322021999758,-17.86551812552539
1343,85.87999725341797,508.7099914550781,5.923497993996871,-18.975980388234795
1344,86.48999786376953,504.0799865722656,5.828188218552652,-10.826441394590738
1345,86.55999755859375,508.739990234375,5.877310588993505,-15.082566258054946
1346,86.63999938964844,511.8299865722656,5.907548363088031,-17.710974249068833
1347,86.83999633789062,513.989990234375,5.918816350872039,-18.717051063474052
1348,86.47000122070312,512.8499755859375,5.930958347935678,-19.71180548523801
1349,86.94000244140625,514.841796875,5.921805640872633,-18.9918502607594
1350,86.77999877929688,513.760009765625,5.920258319802983,-18.83323984513782
1351,86.31999969482422,507.4200134277344,5.878359768554998,-15.14731047255679
1352,86.52999877929688,508.5,5.876574681307675,-15.0156606488868
1353,86.9000015258789,507.6000061035156,5.841196745576027,-11.980853662713393
1354,86.64990234375,505.9200134277344,5.838668016274181,-11.743863809644772
1355,86.55999755859375,504.0849914550781,5.823532875146577,-10.427567478758071
1356,86.47000122070312,507.2950134277344,5.866716852853184,-14.156843327034885
1357,86.70999908447266,509.2200012207031,5.872679121177505,-14.69711009886111
1358,86.68000030517578,513.3499755859375,5.9223577962457,-19.000169089302396
1359,87.06999969482422,515.52001953125,5.92075366185966,-18.920024867950467
1360,86.83499908447266,512.0999755859375,5.897391385790989,-16.855869179408494
1361,86.83499908447266,513.0800170898438,5.908677635739042,-17.835910683314744
1362,86.4000015258789,508.42999267578125,5.884606292784545,-15.695701373726983
1363,86.47000122070312,508.67999267578125,5.882733728399558,-15.54182257508176
1364,86.16999816894531,505.760009765625,5.869328310464038,-14.352773955969376
1365,86.75,513.760009765625,5.922305588076369,-19.006324470344673
1366,86.86000061035156,514.4099731445312,5.922288389705886,-19.02161487716733
1367,86.36000061035156,509.8550109863281,5.903832878449681,-17.351513857712227
1368,86.45999908447266,511.69000244140625,5.91822817325591,-18.609541888938274
1369,87.19999694824219,515.5700073242188,5.912500290914423,-18.219964611860227
1370,87.79000091552734,516.4500122070312,5.88278855018997,-15.695810460816567
1371,87.56999969482422,515.4199829101562,5.885805466556601,-15.935127108108695
1372,88.2300033569336,521.0900268554688,5.906041108798378,-17.79713322091981
1373,88.37000274658203,523.8400268554688,5.927803672901094,-19.739375623629364
1374,88.52999877929688,521.1500244140625,5.886705428668047,-16.126240507957327
1375,88.18000030517578,519.47998046875,5.891131534031746,-16.475590555870887
1376,88.05000305175781,519.0900268554688,5.895400441387102,-16.83568499164857
1377,88.12999725341797,521.0700073242188,5.912515869322916,-18.354121133009464
1378,88.4000015258789,523.1699829101562,5.9182123742045345,-18.89624705311001
1379,88.23210144042969,523.1300048828125,5.929021255784168,-19.825005889176104
1380,88.33999633789062,521.72998046875,5.905931651538575,-17.8024578816051
1381,88.48999786376953,523.5999755859375,5.91705264127162,-18.806985853270696
1382,88.58000183105469,525.9450073242188,5.937514071486857,-20.63271969644375
1383,88.48400115966797,526.3699951171875,5.948758964542768,-21.611604701767014
1384,88.56500244140625,528.0449829101562,5.96223077235848,-22.81923759498465
1385,88.4000015258789,526.9500122070312,5.96097288587453,-22.67627634998501
1386,87.5999984741211,521.6849975585938,5.95530829504193,-22.02705713133934
1387,87.7699966430664,524.239990234375,5.97288379041756,-23.60120758462329
1388,87.87000274658203,524.9213256835938,5.973839868851172,-23.705535590502386
1389,87.87000274658203,522.9600219726562,5.951519353890067,-21.744231879564886
1390,87.7300033569336,520.3300170898438,5.9310383811665535,-19.921984594042833
1391,87.5999984741211,520.1724853515625,5.938042173656345,-20.51454492430809
1392,87.41999816894531,519.1300048828125,5.938343808696462,-20.51061622628685
1393,87.63999938964844,512.1799926757812,5.8441350552573965,-12.291258075088471
1394,88.08999633789062,506.7850036621094,5.753036947784764,-4.299911644338459
1395,88.18000030517578,506.42999267578125,5.743138930858634,-3.4256027629021384
1396,87.9800033569336,506.1449890136719,5.752954872714076,-4.294525948496919
1397,87.3499984741211,502.45831298828125,5.7522418061305745,-4.242803130400824
1398,87.21499633789062,502.3399963378906,5.759789226977799,-4.9034113129287045
1399,87.6500015258789,504.9100036621094,5.760524756100926,-4.96355951318514
1400,91.0999984741211,498.9750061035156,5.477222990791379,20.87696229497471
1401,90.18000030517578,496.8550109863281,5.509592030438391,17.688823481542904
1402,90.16500091552734,497.989990234375,5.523096380833242,16.467301920892574
1403,90.2125015258789,498.6000061035156,5.526950230511945,16.131351381492046
1404,90.45999908447266,499.010009765625,5.516360986248113,17.149339896826923
1405,90.87000274658203,500.2349853515625,5.504951801824153,18.289971574016768
1406,90.47989654541016,498.92999267578125,5.514263518475374,17.344159810307424
1407,90.36000061035156,497.760009765625,5.508632208979889,17.82237647297479
1408,91.18000030517578,502.0,5.505593313444026,18.313556745367073
1409,91.3949966430664,502.6199951171875,5.499425718894846,18.934030788487185
1410,91.83000183105469,505.70001220703125,5.506914974665891,18.36387282260575
1411,91.58000183105469,503.80999755859375,5.501310193114151,18.811456901669153
1412,91.1500015258789,498.760009765625,5.4718595876712,21.38046235453516
1413,91.08000183105469,499.5400085449219,5.484628881228222,20.196584776593063
1414,91.36000061035156,506.4599914550781,5.5435637923769185,14.892117061017707
1415,91.08000183105469,506.6499938964844,5.562691959935125,13.086599425030563
1416,90.9386978149414,503.1549987792969,5.532903053034783,15.766309612549612
1417,90.68000030517578,502.4599914550781,5.541023266035421,14.96870415154087
