,nvda,nflx,Ratio,Spread
0,277.7502746582031,586.72998046875,2.112437084682542,-157.3364043660194
1,276.9310302734375,593.739990234375,2.143999499254833,-165.61751775208722
2,290.4783630371094,604.9199829101562,2.082495840947975,-155.77806367490268
3,293.725341796875,614.239990234375,2.091205295657298,-160.06020130628264
4,296.12310791015625,614.0900268554688,2.0737659792554375,-156.18996929417864
5,309.16094970703125,613.1199951171875,1.98317412240516,-134.9909946190349
6,302.9367370605469,610.7100219726562,2.0159655375524688,-142.2382365576633
7,299.729736328125,610.5399780273438,2.0369683218850314,-147.04403415310242
8,295.5835876464844,612.0900268554688,2.0707848894084186,-155.02706524894893
9,293.8352355957031,602.4400024414062,2.0502646703349146,-148.08970711967584
10,300.9286193847656,597.3699951171875,1.9850886776355212,-132.01391692634724
11,292.6263427734375,591.1500244140625,2.020153137312567,-138.67539412181992
12,275.7821044921875,567.52001953125,2.0578565841908243,-141.18016985031937
13,281.5167236328125,553.2899780273438,1.9653893768279649,-118.05254505251645
14,272.2154235839844,541.0599975585938,1.9876169778883415,-120.25405338826158
15,273.7440185546875,539.8499755859375,1.972097795729876,-116.67233056835772
16,277.91015625,540.8400268554688,1.946096659990161,-111.19838549412384
17,279.7283935546875,537.219970703125,1.9205056872358484,-104.75723216517423
18,265.5017395019531,519.2000122070312,1.9555427892148023,-108.810725510184
19,269.1683044433594,525.6900024414062,1.9530159894885628,-109.61183455321145
20,258.7879943847656,510.79998779296875,1.973816401364864,-110.82745326907525
21,250.43582153320312,515.8599853515625,2.05984903514759,-128.84631554203963
22,241.27438354492188,508.25,2.106522841474263,-135.450815162136
23,233.52163696289062,397.5,1.702197728526404,-36.729636393074365
24,233.5016632080078,387.1499938964844,1.6580181424729452,-26.410620690735126
25,223.03146362304688,366.4200134277344,1.6429072718055306,-21.925742229013732
26,227.5072479248047,359.70001220703125,1.5810485841133233,-8.261310584276425
27,219.23500061035156,386.70001220703125,1.763860748194659,-48.09616634420711
28,228.18661499023438,384.3599853515625,1.6844107414802214,-31.867207616068296
29,244.63124084472656,427.1400146484375,1.7460566899529963,-49.13247739896382
30,246.1498260498047,457.1300048828125,1.8571209747282909,-76.76629749898024
31,252.1842041015625,429.4800109863281,1.7030408883712758,-39.753627542281485
32,239.2562713623047,405.6000061035156,1.69525339417046,-35.93203552782614
33,242.96279907226562,410.1700134277344,1.6882008891646638,-34.75115718347734
34,247.0489959716797,402.1000061035156,1.6276123872594492,-20.341186144800584
35,250.84544372558594,403.5299987792969,1.6086798021364153,-15.88077715955256
36,266.8005065917969,412.8900146484375,1.5475608345832592,-0.4856179542422814
37,257.9987487792969,406.2699890136719,1.5746975166969222,-7.52201332128862
38,239.26626586914062,391.30999755859375,1.6354582880171198,-21.626519944882485
39,242.44329833984375,396.57000732421875,1.6357227031630655,-21.95718560895403
40,264.7024841308594,407.4599914550781,1.53931306233471,1.6892056973698624
41,264.8623046875,398.0799865722656,1.502969579011795,11.317181139327777
42,244.841064453125,386.6700134277344,1.579269450945238,-8.33692307927185
43,236.19912719726562,391.2900085449219,1.6566107300562949,-26.365368639125958
44,233.6814727783203,377.3800048828125,1.614933355203604,-16.361647041874217
45,223.6608428955078,367.4599914550781,1.642933947211993,-21.9892030085943
46,237.25814819335938,390.0299987792969,1.643905601342856,-23.462228389738296
47,241.34432983398438,390.79998779296875,1.6192631832775675,-17.8922773638194
48,243.6221923828125,394.5199890136719,1.6193926553035372,-18.078047057851844
49,234.55067443847656,386.239990234375,1.6467229998764599,-23.873017257752107
50,242.01495361328125,380.0299987792969,1.5702748656868186,-6.08177793631881
51,236.9588165283203,368.07000732421875,1.553307923785265,-1.9666668046960984
52,229.1847686767578,361.7300109863281,1.578333556260504,-7.688541812367356
53,213.35687255859375,350.260009765625,1.6416626545246806,-20.776409322796663
54,214.9756317138672,341.760009765625,1.5897616257293197,-9.764813685212056
55,229.96417236328125,358.7900085449219,1.5601995948226692,-3.539250828800556
56,226.4069061279297,356.7699890136719,1.5757911060013399,-7.038529415081195
57,220.83114624023438,340.32000732421875,1.541086993924293,0.7603480229865391
58,213.13702392578125,331.010009765625,1.5530385273695553,-1.867516809541707
59,229.5544891357422,343.75,1.497465814300546,10.865111206431044
60,244.77285766601562,357.5299987792969,1.4606603125381434,20.697264912742074
61,247.47080993652344,371.3999938964844,1.500783037772208,11.013294091351957
62,264.327880859375,380.6000061035156,1.4398783997591178,27.96797305895524
63,267.1357421875,374.5899963378906,1.4022458891890608,38.33453718888291
64,265.037353515625,382.9200134277344,1.4447775317268996,26.74875236047888
65,256.1441650390625,374.489990234375,1.4620281909496728,21.380494747710888
66,281.284912109375,375.7099914550781,1.3356919453574774,59.16777293711244
67,276.7084655761719,373.8500061035156,1.351060963476749,53.927144765663975
68,281.97442626953125,378.510009765625,1.3423558113877254,57.437574525998805
69,286.341064453125,391.82000732421875,1.3683682013005893,50.90266106629441
70,276.6884460449219,381.4700012207031,1.378698701277788,46.27608822269844
71,272.6515197753906,374.5899963378906,1.3738782627966886,46.892575537270325
72,266.9159240722656,373.4700012207031,1.3992046466271857,39.11347216905978
73,273.3909606933594,391.5,1.4320151588300465,31.129855940101496
74,259.11187744140625,380.1499938964844,1.4671268552034973,20.32506335878401
75,243.88352966308594,368.3500061035156,1.5103521201795567,8.497415302990253
