,qcom,nvda,Ratio,Spread
0,165.9499969482422,234.02639770507812,1.4102223682358255,-14.350263403050722
1,168.0399932861328,237.50999450683594,1.4134134967644991,-15.050457205672561
2,167.8000030517578,238.34010314941406,1.420381995320335,-16.200178627475427
3,170.1199951171875,241.35000610351562,1.4187045205195379,-16.120376228597284
4,170.50999450683594,240.6013946533203,1.4110691596067955,-14.852373690901661
5,170.0,239.30499267578125,1.4076764275045957,-14.235169190475265
6,170.0,238.14999389648438,1.4008823170381435,-13.08017041117839
7,170.17999267578125,240.00999450683594,1.410330266990265,-14.700461437111418
8,170.9499969482422,241.60000610351562,1.4132787974056755,-15.265001284171493
9,170.25,242.11500549316406,1.4221145697102147,-16.712238481992248
10,172.4499969482422,245.00999450683594,1.420759633764281,-16.677328532296773
11,170.1649932861328,241.92999267578125,1.421737738201978,-16.640435404758282
12,170.39999389648438,240.44000244140625,1.4110329287187076,-14.837477443218976
13,168.5,238.05650329589844,1.4127982391447977,-14.984340965787485
14,170.1999969482422,240.3592987060547,1.4122168214794266,-15.023124464308072
15,172.02999877929688,243.88999938964844,1.417717846423653,-16.116676100012658
16,170.93710327148438,242.02499389648438,1.4158716233309356,-15.70716054194472
17,169.36619567871094,238.2987060546875,1.4070027675814487,-14.072966751137447
18,167.27999877929688,235.11000061035156,1.405487818783088,-13.66260431216671
19,165.10000610351562,231.86000061035156,1.4043609451169752,-13.315862103511936
20,166.4499969482422,233.26499938964844,1.4014118574131451,-12.922978035889376
21,164.25,233.2924041748047,1.4203494926928748,-15.880281784412976
22,163.6999969482422,234.8800048828125,1.434819848879262,-18.200362313577646
23,167.9499969482422,238.41000366210938,1.4195296695097954,-16.07032115315528
24,168.77000427246094,239.6999969482422,1.420276061386314,-16.26824992024328
25,169.82000732421875,240.5063934326172,1.41624298115501,-15.676279531729737
26,169.89999389648438,242.4803924560547,1.4271948273511514,-17.5437545095991
27,169.80999755859375,242.4499969482422,1.4277722185620059,-17.633213793995854
28,169.8000030517578,242.8300018310547,1.4300942135851207,-18.02652910218936
29,169.16000366210938,242.13999938964844,1.431425834402994,-18.18886127414925
30,167.0500030517578,238.15499877929688,1.4256509693418462,-17.013904834955756
31,166.7899932861328,237.88999938964844,1.4262846031868448,-17.095179717814265
32,166.1300048828125,237.5800018310547,1.4300848422814576,-17.664137623348612
33,168.13999938964844,240.8300018310547,1.432318322262831,-18.23727899104094
34,167.64999389648438,238.4550018310547,1.4223382672968596,-16.51485561739162
35,166.30999755859375,236.86590576171875,1.4242433361726614,-16.71033196959414
36,165.36000061035156,237.14999389648438,1.4341436442982134,-18.25960143839794
37,163.89999389648438,231.3300018310547,1.4114094597047857,-14.384008505379175
38,162.9199981689453,228.7700958251953,1.404186707564068,-13.12923543096105
39,163.75999450683594,229.9575958251953,1.4042354881466246,-13.19805006115428
40,162.98500061035156,228.80999755859375,1.4038715016826002,-13.082568596232765
41,161.2458038330078,226.4302978515625,1.404255443980807,-13.019086118094837
