,qcom,asml,Ratio,Spread
0,188.19000244140625,733.4500122070312,3.8973909489979097,33.26219750251381
1,187.7449951171875,733.135009765625,3.9049510177782025,31.754492831153705
2,189.0800018310547,733.8150024414062,3.880976281653937,36.542558995141924
3,186.50999450683594,729.7000122070312,3.91239093720678,30.131046911967935
4,187.14999389648438,733.6300048828125,3.9200108405485437,28.822430056744686
5,187.63999938964844,740.4199829101562,3.945960271363138,24.039467305503884
6,188.74000549316406,744.530029296875,3.944738834522504,24.43493990655498
7,185.5500030517578,737.530029296875,3.9748316743015435,18.368997340551694
8,183.64999389648438,727.9400024414062,3.96373551121224,20.176769807920557
9,182.82000732421875,727.5499877929688,3.979597192022363,17.167239445666503
10,181.1699981689453,722.9199829101562,3.9902853133332608,15.03896584682412
11,181.1999053955078,722.1199951171875,3.9852117667556453,15.961450757507244
12,180.22000122070312,719.7100219726562,3.9935080296180696,14.357830839538913
13,178.8800048828125,715.239990234375,3.9984345410932964,13.339366718921845
14,178.38999938964844,721.3099975585938,4.043444139394115,5.26234411860026
15,173.8000030517578,707.760009765625,4.072266958216643,0.012149268885315756
16,175.8560028076172,714.1099853515625,4.060765478291827,2.083350537575263
17,174.75999450683594,716.0999755859375,4.097619581682502,-4.395784069854806
18,173.0399932861328,707.9949951171875,4.091510763910352,-3.335762837328951
19,174.03199768066406,706.5250244140625,4.059742080938955,2.197362262146391
20,172.30999755859375,698.8099975585938,4.055539478032692,2.8592425740336074
21,172.71609497070312,722.3400268554688,4.182239223148226,-19.00745086016274
22,174.0050048828125,725.4600219726562,4.169190549784664,-16.848195195037526
23,174.55499267578125,726.6799926757812,4.1630432996294635,-15.815468902806963
24,173.1999969482422,726.1099853515625,4.192321005459069,-20.795393491932025
25,171.89999389648438,723.0,4.205933831710197,-23.01009535358957
26,168.9499969482422,715.3599853515625,4.234152105789697,-27.452983901497525
27,166.49000549316406,706.2100219726562,4.2417562536608395,-28.378908442833897
28,166.21499633789062,707.5599975585938,4.256896267772545,-30.85529502497854
29,171.7949981689453,717.0700073242188,4.173986524444928,-17.510155058927005
30,168.39999389648438,709.1500244140625,4.211104810668685,-23.49578245788245
31,167.26499938964844,707.0,4.226825711175977,-25.99458615960986
32,166.4199981689453,703.6563110351562,4.228195642213759,-26.11194075843263
33,165.63999938964844,697.5413818359375,4.211189232107241,-23.19181138743999
34,164.86000061035156,694.7100219726562,4.213939217521969,-23.55525135238485
35,163.82000732421875,669.3599853515625,4.0859477196019265,-2.4649270027494987
36,164.10000610351562,667.5999755859375,4.0682507663333665,0.44193077821160553
37,159.39999389648438,652.530029296875,4.0936640795647286,-3.7389199727160696
38,163.25999450683594,657.0499877929688,4.0245621089094,7.551312026642683
39,164.75,658.0,3.9939301972685888,12.704218721494392
40,167.79559326171875,672.9000244140625,4.01023657018518,10.27865079075719
41,170.22000122070312,688.0700073242188,4.042239468862909,5.0388092301751675
42,167.9600067138672,657.5999755859375,3.9152176071665066,26.252121273663995
43,166.88999938964844,653.3900146484375,3.9150938764337058,26.079435332285136
44,166.44000244140625,649.4199829101562,3.9018263241060627,28.206322938671185
45,167.2949981689453,651.9500122070312,3.8970083944090783,29.178273742249992
46,169.40499877929688,660.2000122070312,3.897169605172919,29.57063289258725
47,167.5,656.4199829101562,3.9189252711054103,25.5479707822334
48,165.38999938964844,648.6599731445312,3.9220023915492566,24.665621397521257
49,170.13999938964844,665.7100219726562,3.912719080526569,27.071114791851763
50,169.63999938964844,664.0599975585938,3.9145248759009084,26.673187393024257
51,170.72999572753906,671.27001953125,3.9317638161398545,23.92768537282121
52,171.639892578125,672.989990234375,3.920941572065197,25.934564479097055
53,171.96499633789062,670.760009765625,3.900561300554805,29.496138616225842
54,166.88999938964844,653.9500122070312,3.918449365442285,25.519437773691386
55,167.0,653.77001953125,3.9147905361152695,26.149982348249644
56,165.841796875,650.0,3.919397957861761,25.176113500422282
57,165.0800018310547,646.25,3.914768553621545,25.8058744178253
58,163.5399932861328,642.2899780273438,3.9274183954721122,23.458169807603674
59,161.70840454101562,632.0599975585938,3.9086403662975875,26.186139294290122
60,162.33689880371094,633.6199951171875,3.9031175277244072,27.200393665052168
61,161.3800048828125,635.9749755859375,3.9408536147198427,20.926067916207337
62,161.14999389648438,634.9349975585938,3.94002495567234,21.023943110680428
63,160.47999572753906,625.7899780273438,3.8994889997990914,27.42471471248121
64,164.00999450683594,632.8499755859375,3.8586061629284445,34.82325195300894
65,163.5050048828125,632.864990234375,3.870615402188837,32.73984847255259
66,163.5679931640625,633.8300170898438,3.875024721090131,32.03281554663727
67,161.47000122070312,629.1500244140625,3.8963895439259777,28.119635414755415
68,164.33999633789062,636.0700073242188,3.870451633797225,32.954875911058714
69,166.86000061035156,644.969970703125,3.865336020279942,34.376607168706535
70,170.76100158691406,661.2000122070312,3.872078554601902,34.12468970887449
71,171.5449981689453,658.2000122070312,3.836894221531344,40.33586415181549
72,171.55999755859375,670.1500244140625,3.906213767490774,28.447287999229736
73,171.92999267578125,666.4193725585938,3.8761088870357887,33.69340419670778
74,173.69500732421875,670.2999877929688,3.859063067609008,37.04211886042288
75,173.5500030517578,668.510009765625,3.851973483205617,38.238173362440314
76,175.85000610351562,677.2999877929688,3.851577846373632,38.86878617409673
77,174.44500732421875,669.5999755859375,3.8384588120738656,40.81405878678925
78,175.41000366210938,671.875,3.8303117608630033,42.491566371957454
79,176.1199951171875,675.8800048828125,3.837610854083277,41.39461806427233
80,176.1300048828125,678.010009765625,3.8494861237114972,39.30561221677659
