,rtx,noc,Ratio,Spread
0,81.58999633789062,379.1499938964844,4.647015699403899,20.68614955040424
1,82.81999969482422,380.2749938964844,4.591584101638791,25.66364143539055
2,82.37000274658203,378.6600036621094,4.597061928322225,25.046033921607705
3,82.875,379.04998779296875,4.573755508814102,27.16152396165329
4,82.5999984741211,378.6099853515625,4.583656081666666,26.23714428932401
5,82.61000061035156,378.6700134277344,4.583827752451131,26.226740431521012
6,82.27999877929688,377.45001220703125,4.587384757011013,25.80948311574149
7,80.61599731445312,373.5299987792969,4.633447593810628,21.473782948409156
8,79.87999725341797,371.5350036621094,4.651164452139636,19.817215348716264
9,80.38999938964844,367.9750061035156,4.577372918240108,25.90751811349337
10,80.125,369.4924011230469,4.611449624000585,23.075365198595524
11,80.51000213623047,368.8299865722656,4.581169752649748,25.64791470860654
12,80.7750015258789,369.0799865722656,4.569235278244084,26.712672603973136
13,81.02999877929688,369.9200134277344,4.565222991491008,27.137779425502163
14,82.7699966430664,374.489990234375,4.524465451524768,31.200561857843287
15,83.4800033569336,377.2149963378906,4.518626990526592,31.99815606694965
16,83.80229949951172,379.2300109863281,4.525293616657115,31.582169245191142
17,83.61080169677734,379.8500061035156,4.543073363667513,30.01208421110083
18,83.5,378.79998779296875,4.536526799915793,30.51237519642142
19,83.5999984741211,378.9649963378906,4.533074201612595,30.843495278624847
20,83.69999694824219,378.5,4.522102912788087,31.804620243640773
21,83.81999969482422,379.6700134277344,4.529587387378367,31.22998387976951
22,84.13999938964844,380.2200012207031,4.518897123589483,32.26763040491453
23,84.33399963378906,380.44000244140625,4.511110632644299,33.01013461875344
24,84.53929901123047,380.5299987792969,4.501220180791256,33.93870280572092
25,84.22000122070312,379.8900146484375,4.51068640634325,32.99453501975556
26,84.1500015258789,379.8299865722656,4.5137252487803625,32.70726927172096
27,84.06999969482422,379.7900085449219,4.517545021096315,32.350329256489246
28,84.8550033569336,382.2099914550781,4.504271714507538,33.82503366625194
29,84.98999786376953,381.5299987792969,4.489116465102768,35.1747829551678
30,84.94999694824219,381.20001220703125,4.487345802252194,35.30631050614572
31,85.09449768066406,380.94000244140625,4.476670205763103,36.28324071105918
32,85.12809753417969,382.0,4.487355069184104,35.38994418808453
33,85.02999877929688,381.8399963378906,4.490650380096926,35.06324441786175
34,84.87000274658203,381.2900085449219,4.492635751213966,34.819433977867604
35,84.7645034790039,382.0400085449219,4.507075401433252,33.54601392324882
36,84.87000274658203,383.05999755859375,4.513491047035705,33.04944496419573
37,84.94000244140625,383.8999938964844,4.5196607353679825,32.556742450511635
38,84.98300170898438,383.7799987792969,4.515961910753781,32.89007249884115
39,85.27549743652344,384.3800048828125,4.50750821088946,33.74124357597172
40,85.25,384.0400085449219,4.504868135424304,33.95473790181897
41,85.23999786376953,384.2099914550781,4.507390909008727,33.73513077329379
42,86.2300033569336,386.0899963378906,4.4774438282199815,36.76690149992929
43,86.08999633789062,387.7300109863281,4.5037754382581765,34.43226135089087
44,85.96070098876953,386.7850036621094,4.499556183384795,34.735787646354524
45,86.12000274658203,387.1300048828125,4.49523911444809,35.18114010951318
46,85.96499633789062,385.8550109863281,4.488513085834398,35.68709110393722
47,85.9749984741211,386.0400085449219,4.490142662359243,35.551717763712404
48,86.02999877929688,385.510009765625,4.481111417362917,36.354592965756396
49,85.4800033569336,384.3299865722656,4.4961391141673515,34.80588978383257
50,85.7300033569336,384.7799987792969,4.48827695920272,35.59621807070856
51,85.7699966430664,384.79998779296875,4.486417195447981,35.77465022613647
52,85.91000366210938,385.44000244140625,4.486555534991842,35.82926107829995
53,85.85240173339844,385.3949890136719,4.489041438939092,35.588490487204965
54,85.97000122070312,385.7250061035156,4.486739567599612,35.84192702202817
55,85.9000015258789,384.989990234375,4.48183915478034,36.22964906696227
56,86.19539642333984,385.8500061035156,4.476457236862777,36.835194209879134
57,86.05000305175781,385.32000732421875,4.477861634617891,36.643843843900456
58,85.98979949951172,385.5799865722656,4.484020067687855,36.08517298094203
59,86.01799774169922,385.5,4.48162024367977,36.30506123977629
60,86.19999694824219,386.4800109863281,4.483526968317478,36.228014196385104
61,86.26000213623047,386.70001220703125,4.48295852805934,36.30572043370749
62,85.80999755859375,384.6600036621094,4.482694494886234,36.11309337828355
63,85.77999877929688,385.4599914550781,4.493588213341283,35.16427078239603
64,85.7300033569336,384.6300048828125,4.486527351240384,35.746211967192934
65,85.62000274658203,385.010009765625,4.496729705851297,34.8204542388862
66,85.9000015258789,386.3999938964844,4.49825363251099,34.81964540485289
67,86.08999633789062,386.9700012207031,4.494947353719271,35.19227111651587
68,86.22000122070312,387.8299865722656,4.498144062646336,34.97728704718541
69,86.05999755859375,387.2099914550781,4.499302840340509,34.80344607922204
70,87.08999633789062,386.17999267578125,4.434263508032371,40.943641637066705
71,86.72000122070312,384.2200012207031,4.430581132521666,41.067953386562394
72,86.5,383.7749938964844,4.436705131751264,40.421455019792674
73,86.68000030517578,383.29998779296875,4.422011841756782,41.789507793009065
74,87.05500030517578,384.2015075683594,4.413319237511013,42.74849875847927
75,87.08999633789062,384.5849914550781,4.415949105830368,42.53864285776983
76,86.97000122070312,385.54998779296875,4.43313766104891,40.97830730820401
77,88.80999755859375,391.69000244140625,4.410426902477762,43.967180525873616
78,89.36000061035156,393.7900085449219,4.406781623268082,44.59593864982905
79,89.55000305175781,395.60699462890625,4.417721732519145,43.72162345391432
80,89.66000366210938,396.5635986328125,4.4229710287241675,43.310772295502304
81,89.8949966430664,396.70001220703125,4.41292649225132,44.340243961543464
