,goog,nflx,Ratio,Spread
0,142.80299377441406,586.72998046875,4.10866722721239,-232.13817625666348
1,142.40150451660156,593.739990234375,4.16947835101809,-240.15214790285347
2,144.2205047607422,604.9199829101562,4.194410385081523,-246.78355834307104
3,146.94900512695312,614.239990234375,4.1799533770488395,-249.2806923139442
4,147.1425018310547,614.0900268554688,4.17343744474694,-248.6468721165732
5,148.06399536132812,613.1199951171875,4.140912134789822,-245.37255860840747
6,146.447998046875,610.7100219726562,4.170149337085376,-247.0035396643595
7,146.50450134277344,610.5399780273438,4.167380335972589,-246.6922038809605
8,146.00250244140625,612.0900268554688,4.192325587714586,-249.49754846420512
9,144.67950439453125,602.4400024414062,4.16396230386989,-243.15580585663798
10,145.07449340820312,597.3699951171875,4.1176776226013665,-237.09809112742136
11,144.41650390625,591.1500244140625,4.093368890842392,-232.52348543697963
12,137.65350341796875,567.52001953125,4.122815659896733,-225.8050032321853
13,137.55099487304688,553.2899780273438,4.022435305088156,-211.83129404485078
14,137.00450134277344,541.0599975585938,3.9492132904809334,-200.96787236115836
15,138.57400512695312,539.8499755859375,3.89575212963903,-195.83315765997395
16,140.0175018310547,540.8400268554688,3.8626601659273074,-193.21360882828412
17,141.6479949951172,537.219970703125,3.792640839862532,-185.5163502318216
18,139.13099670410156,519.2000122070312,3.7317350159666134,-173.79038413640882
19,139.7864990234375,525.6900024414062,3.7606636271308695,-178.64122879358746
20,136.29049682617188,510.79998779296875,3.7478767756232862,-172.49329845283336
21,135.65199279785156,515.8599853515625,3.8028190718900565,-179.14993575345517
22,133.50650024414062,508.25,3.8069307417284817,-176.90495755226516
23,130.0919952392578,397.5,3.0555300444807583,-74.69325041862533
24,130.3719940185547,387.1499938964844,2.969579446958407,-63.64308087225595
25,126.7354965209961,366.4200134277344,2.8912185100961834,-52.00650650410904
26,129.24000549316406,359.70001220703125,2.7831940337240004,-39.02374360632041
27,129.12100219726562,386.70001220703125,2.99486532497825,-66.32132260854473
28,133.2895050048828,384.3599853515625,2.883647781102362,-53.55756003302781
29,135.69850158691406,427.1400146484375,3.147713568339271,-90.31366542232917
30,137.8784942626953,457.1300048828125,3.3154554474018108,-114.85237768647926
31,148.0364990234375,429.4800109863281,2.901176492415778,-61.80133167231776
32,142.65049743652344,405.6000061035156,2.8433129459222486,-51.38953341447433
33,143.01600646972656,410.1700134277344,2.8680007472769042,-55.045550814435956
34,138.93800354003906,402.1000061035156,2.894096617615775,-57.17297570184218
35,139.21299743652344,403.5299987792969,2.8986517509853442,-57.91532011783545
36,141.4530029296875,412.8900146484375,2.9189201084240968,-61.67399028810024
37,138.6024932861328,406.2699890136719,2.931188172603524,-62.18193374995309
38,134.1300048828125,391.30999755859375,2.9173934489935776,-58.40582276198211
39,135.3000030517578,396.57000732421875,2.931042116625189,-60.74014139367273
40,136.42550659179688,407.4599914550781,2.9866848336085146,-68.81569742053568
41,137.4875030517578,398.0799865722656,2.8953903281115414,-56.780069896896066
42,132.30850219726562,386.6700134277344,2.922488026137791,-58.32067845821928
43,130.46749877929688,391.2900085449219,2.9991378098452013,-67.54427682920453
44,129.40249633789062,377.3800048828125,2.916327084582765,-56.2974125489709
45,127.58499908447266,367.4599914550781,2.8801190899549782,-50.922222986275926
46,132.67349243164062,390.0299987792969,2.9397733611351033,-60.76797119108636
47,134.51950073242188,390.79998779296875,2.905154908137257,-56.92184176789476
48,134.89100646972656,394.5199890136719,2.924731598783152,-59.712857738289415
49,134.16799926757812,386.239990234375,2.8787787873625272,-53.24080688339245
50,134.75149536132812,380.0299987792969,2.8202284342765105,-45.571728231871475
51,134.30799865722656,368.07000732421875,2.740492085386416,-34.72074225180933
