,adm,pg,Ratio,Spread
0,67.02999877929688,162.94000244140625,2.4308519380688467,-47.14493535914125
1,67.13999938964844,162.6199951171875,2.4221030175085176,-46.63202286620784
2,66.94000244140625,162.7899932861328,2.4318791058997307,-47.15275040765186
3,67.38999938964844,163.1199951171875,2.4205371211539712,-46.6936044608505
4,67.36000061035156,163.18499755859375,2.4225801080755374,-46.81121497018477
5,67.54000091552734,163.40499877929688,2.419381056622555,-46.71555440385189
6,67.5999984741211,163.57000732421875,2.419674719176766,-46.77534681291774
7,67.88999938964844,160.5399932861328,2.3647075376260975,-43.23676581908115
8,67.62999725341797,161.05999755859375,2.3814875661621278,-44.212728979364734
9,67.56999969482422,161.60499572753906,2.3916678475272777,-44.86294328416607
10,67.66000366210938,161.66000366210938,2.38929936317224,-44.76011363548441
11,67.69000244140625,161.97999572753906,2.392967792662617,-45.02749763298609
12,67.79000091552734,162.08999633789062,2.391060542097792,-44.9621335570883
13,67.93000030517578,162.9199981689453,2.398351206197948,-45.54662215150032
14,69.16999816894531,163.07000732421875,2.357525106852337,-43.522079762452385
15,69.30000305175781,163.9600067138672,2.3659451586374542,-44.184093018455535
16,69.1050033569336,163.92999267578125,2.372187030063048,-44.4960448013696
17,69.08999633789062,164.0800018310547,2.3748735059791755,-44.67237137007498
18,69.30000305175781,164.3000030517578,2.370851310483316,-44.52408935634616
19,69.18000030517578,164.08309936523438,2.371828543530063,-44.51763132100269
20,69.13999938964844,163.47000122070312,2.3643332754379176,-43.974681726864766
21,69.6500015258789,164.72999572753906,2.3651111574826396,-44.34029894052072
22,68.83000183105469,164.74000549316406,2.3934331121699426,-45.78832054053907
23,69.45999908447266,164.80999755859375,2.3727325040439857,-44.75350304107672
24,69.22000122070312,164.67999267578125,2.3790810426412827,-45.04437608115625
25,68.93000030517578,164.72079467773438,2.3896821985849592,-45.59374503886003
26,68.83999633789062,164.77000427246094,2.3935213979924184,-45.800792216838566
27,68.62000274658203,164.2100067138672,2.3930341029029836,-45.626591616206206
28,69.05000305175781,164.02999877929688,2.375524859229114,-44.69250348924255
29,69.05000305175781,163.3699951171875,2.3659665155225302,-44.03249982713317
30,69.3499984741211,163.17999267578125,2.3529920153736428,-43.31640332697889
31,69.5,163.1300048828125,2.3471943148606114,-43.00336181490214
32,69.62000274658203,163.27000427246094,2.3451594057927068,-42.9329155533706
33,69.40499877929688,162.89999389648438,2.3470931022489485,-42.93995196332468
34,69.2300033569336,162.85000610351562,2.352303888588584,-43.196849026425305
35,69.51000213623047,162.8699951171875,2.3431159561466237,-42.725811566811835
36,69.0999984741211,162.82000732421875,2.356295382339221,-43.39483638077372
37,69.36000061035156,163.36000061035156,2.3552479696196986,-43.478870779083884
38,69.54000091552734,163.07000732421875,2.344981380174348,-42.873215705915065
39,69.74019622802734,163.27000427246094,2.3411176495492225,-42.7221354154922
40,69.66000366210938,163.19000244140625,2.342664281686957,-42.7827651719226
41,69.80000305175781,162.72999572753906,2.3313751950250228,-42.07724522141273
42,69.6500015258789,161.11000061035156,2.3131370722294973,-40.72030382333322
43,69.72000122070312,161.25999450683594,2.3129660310297058,-40.74754110149626
44,69.38500213623047,161.24000549316406,2.323845219123659,-41.31503114546707
45,69.28500366210938,161.2899932861328,2.327920686454971,-41.540383624685155
46,69.7300033569336,161.19000244140625,2.3116304988013217,-40.66000855360125
47,69.69999694824219,160.25999450683594,2.2992826617459077,-39.78262206642689
48,69.94000244140625,160.52000427246094,2.2951100753383593,-39.62174052969193
49,70.05999755859375,157.74000549316406,2.2514988722521765,-36.631309478683015
50,69.79000091552734,157.0500030517578,2.2503224099659853,-36.4147930280968
51,70.12000274658203,157.8800048828125,2.2515687207457833,-36.6660793530075
52,70.06999969482422,158.1699981689453,2.2573140981564563,-37.04376167199894
53,70.37110137939453,157.82000732421875,2.2426820702060275,-36.16573674567349
54,70.44000244140625,158.58999633789062,2.251419517905465,-36.81489578440695
55,70.48999786376953,158.6699981689453,2.250957624876005,-36.80722196207093
56,70.29499816894531,158.8000030517578,2.2590512438751573,-37.279192665883436
57,70.33999633789062,158.8343963623047,2.2580950331489293,-37.234673874538295
58,69.9800033569336,158.9600067138672,2.2715061315886245,-37.99159442070485
59,70.30500030517578,158.69000244140625,2.2571652336615333,-37.15165157306655
60,70.45999908447266,158.6519012451172,2.251659144288571,-36.841733106170814
61,70.37999725341797,158.4600067138672,2.2514920843673614,-36.79013567570747
62,70.43000030517578,159.0,2.2575606887838586,-37.24243992898163
63,70.80500030517578,158.3699951171875,2.2367063686829867,-35.95480743813312
64,71.0999984741211,158.5850067138672,2.2304502126197483,-35.65248852756347
65,71.13099670410156,158.27000427246094,2.2250497196159036,-35.28312530792946
66,71.08000183105469,158.39999389648438,2.2284748145192053,-35.50254329564334
67,70.94000244140625,158.02999877929688,2.2276570812049754,-35.37806141509852
68,70.9000015258789,158.3699951171875,2.2337093329875537,-35.78820630338247
69,70.94000244140625,158.33999633789062,2.2320269366874275,-35.68805897369227
70,71.29000091552734,158.52000427246094,2.223593803292187,-35.25428381665589
71,70.84500122070312,159.11500549316406,2.245959527863847,-36.62966926371637
72,70.83059692382812,160.19000244140625,2.2615932859308816,-37.729926647423476
73,70.93000030517578,159.7899932861328,2.252784331011386,-37.15559640439978
74,71.27999877929688,159.50999450683594,2.2377945740532934,-36.261814533496214
75,71.50499725341797,159.8300018310547,2.23522841717772,-36.187247968786956
76,71.54000091552734,159.8000030517578,2.233715418042078,-36.09586419059544
77,70.5999984741211,156.35499572753906,2.214660044006262,-34.29931435195001
