,ko,cl,Ratio,Spread
0,62.04499816894531,79.20500183105469,1.2765735219361853,-3.1656212989326953
1,62.20000076293945,79.21499633789062,1.2735529801647398,-2.9825401798906945
2,62.11000061035156,79.1500015258789,1.274351968251106,-3.0296521097227505
3,62.473899841308594,79.38999938964844,1.2707706672916022,-2.8163667737531632
4,62.529998779296875,79.33999633789062,1.2688309273429794,-2.6964852942602455
5,62.459999084472656,79.0999984741211,1.2664104968548595,-2.543681035069742
6,62.404998779296875,79.08000183105469,1.2672062074823693,-2.5921943315575966
7,62.52000045776367,79.21499633789062,1.2670344810922627,-2.5839394870450754
8,62.51499938964844,79.3499984741211,1.269295357095697,-2.7251710955154955
9,62.54999923706055,79.55000305175781,1.2717826382422217,-2.881578870862686
10,62.2151985168457,79.11000061035156,1.2715542583848114,-2.858613699183085
11,62.57500076293945,79.43000030517578,1.2693567612742058,-2.730433514775971
12,62.5,79.31999969482422,1.2691199951171874,-2.7138559812434018
13,62.13999938964844,79.0199966430664,1.2716446317865577,-2.862279896860688
14,62.04140090942383,78.76000213623047,1.2694749148429876,-2.7251024525617744
15,62.29499816894531,78.86000061035156,1.2659122389968072,-2.509212989962979
16,62.279998779296875,78.8499984741211,1.266056519261404,-2.5178945187572914
17,61.67499923706055,79.0999984741211,1.2825293790452106,-3.52149910215903
18,61.60499954223633,79.48999786376953,1.2903173192830115,-3.9986920963865096
19,61.89780044555664,79.22000122070312,1.2798516368991584,-3.3639743463408855
20,61.625,79.08000183105469,1.2832454658183317,-3.563782926406933
21,61.69499969482422,78.99500274658203,1.2804117535834783,-3.391590237355235
22,61.53499984741211,78.80999755859375,1.2807345048186938,-3.4058853957897703
23,61.61000061035156,78.66000366210938,1.276740835624876,-3.162468422486402
24,59.974998474121094,76.94999694824219,1.2830345795080882,-3.4890667268319397
25,59.61000061035156,76.01000213623047,1.275121646669317,-3.003723602740198
26,59.78499984741211,76.33999633789062,1.2769088656474274,-3.1157337929527564
27,59.24589920043945,75.62000274658203,1.276375306428316,-3.067259252669718
28,59.810001373291016,75.94000244140625,1.2696873549198464,-2.6845972869636974
29,60.0,75.61000061035156,1.2601666768391928,-2.1179277794366307
30,60.5099983215332,75.58999633789062,1.2492149799149974,-1.4626551376576806
31,61.779998779296875,77.18000030517578,1.2492716385588472,-1.4707105263451616
32,62.244998931884766,77.73999786376953,1.2489356445943725,-1.451490710695257
33,62.55500030517578,77.91999816894531,1.2456238156631938,-1.2453445158102348
34,62.66999816894531,78.07499694824219,1.2458113807147113,-1.257098695453724
35,62.85499954223633,78.05999755859375,1.241905944270037,-1.0116563498777857
36,62.79999923706055,77.87000274658203,1.239968211665648,-0.8901714774203136
37,62.84000015258789,78.1500015258789,1.2436346488878949,-1.1203439821877232
38,61.65999984741211,76.59140014648438,1.2421569953944613,-1.0315844395470926
39,62.15999984741211,76.8949966430664,1.2370494985814862,-0.7123667595959553
40,61.709999084472656,76.63999938964844,1.2419381060877772,-1.01790321539686
41,61.58000183105469,76.31999969482422,1.2393633878772665,-0.8598317852508082
42,61.625,76.27999877929688,1.2378093108202333,-0.7637798746491207
43,61.81999969482422,76.58999633789062,1.2389193904234683,-0.8308802845305401
44,62.2400016784668,76.93000030517578,1.2360218224703436,-0.6477178726463855
45,62.150001525878906,76.30000305175781,1.227674998849146,-0.1298273610721914
46,62.189998626708984,76.63999938964844,1.232352485641213,-0.42000217612840984
47,61.709999084472656,76.08999633789062,1.2330254005308556,-0.4679001636390474
48,61.56999969482422,75.83000183105469,1.2316063376142783,-0.38229286596117973
49,61.869998931884766,76.0199966430664,1.228705316881611,-0.19860012239201197
50,61.970001220703125,76.0199966430664,1.22672252937877,-0.07403443606833449
51,61.970001220703125,76.04000091552734,1.2270453351245647,-0.09403870852927199
52,62.459999084472656,76.55999755859375,1.2257444553441612,-0.00368011954239833
53,62.70000076293945,76.83999633789062,1.2255182679887462,0.015273996642473975
54,62.619998931884766,76.87999725341797,1.2277227493575111,-0.1243794679438146
55,62.654998779296875,76.79000091552734,1.225600549223873,0.00921367223633851
56,62.68000030517578,76.73999786376953,1.2243139357073798,0.09035933349883507
57,62.67499923706055,76.70999908447266,1.223932987925958,0.11412864055575866
58,62.41999816894531,76.69999694824219,1.2287728163760399,-0.19350578372031535
59,62.665000915527344,77.48999786376953,1.2365753886802993,-0.6783243315259462
60,62.470001220703125,76.93499755859375,1.2315510814028412,-0.3662211750624955
61,62.61000061035156,77.23500061035156,1.233588881287792,-0.4918370176622382
62,62.875,77.45999908447266,1.2319681762937997,-0.38674473849195934
63,62.91999816894531,77.88999938964844,1.237921196064047,-0.7606940485933826
64,62.584999084472656,77.55000305175781,1.239114870754995,-0.8379820685731723
65,62.45000076293945,77.4000015258789,1.2393915225027736,-0.8561382796123844
66,61.619998931884766,77.05999755859375,1.2505679794603126,-1.550008126185947
67,62.040000915527344,77.25499725341797,1.2452449405764374,-1.221841441840855
68,62.3650016784668,77.34500122070312,1.24019881566697,-0.9070152440404264
69,62.505001068115234,77.41500091552734,1.23854091020915,-0.8026277297065754
70,62.5099983215332,77.31999969482422,1.2369221207959835,-0.7014017884585719
71,62.439998626708984,77.1500015258789,1.2355862143289293,-0.6185972240923014
72,62.56999969482422,77.3499984741211,1.236215420351352,-0.6566611559612348
73,61.709999084472656,76.7300033569336,1.243396605012108,-1.1079071826820162
74,61.14500045776367,76.55000305175781,1.251942145370254,-1.631685186378494
75,60.9900016784668,76.44999694824219,1.253484093200701,-1.7247499570457343
76,61.04999923706055,76.87000274658203,1.25913191985624,-2.070021095286439
