,nem,shw,Ratio,Spread
0,62.915000915527344,295.8999938964844,4.70317077947394,-17.338990661107033
1,62.849998474121094,296.3599853515625,4.715353898912038,-18.09143378416755
2,63.06999969482422,296.0,4.693198056639455,-16.74164370280002
3,61.64500045776367,293.5,4.761132254368182,-20.652839878453875
4,61.689998626708984,292.75,4.74550180769906,-19.700389181533723
5,61.63999938964844,290.17999267578125,4.707657293139313,-17.35533279700067
6,61.435001373291016,286.0400085449219,4.65597789779294,-14.137652667649634
7,61.119998931884766,285.5899963378906,4.672611278284979,-15.10486398968587
8,60.709999084472656,280.0899963378906,4.613572732033316,-11.449489155359204
9,60.165000915527344,280.4200134277344,4.660849483264344,-14.231500664293351
10,60.650001525878906,282.79998779296875,4.662819137313625,-14.429414872997514
11,60.65999984741211,283.260009765625,4.669634198452928,-14.844453522779277
12,59.380001068115234,279.2749938964844,4.703182702474626,-16.618264090344354
13,59.18000030517578,282.1600036621094,4.767827005864888,-20.40309477736875
14,59.27000045776367,282.7699890136719,4.770878805968228,-20.60816157243434
15,59.32500076293945,283.4599914550781,4.77808660446165,-21.050712831389347
16,59.130001068115234,283.7900085449219,4.799425053586722,-22.258050599866948
17,59.529998779296875,285.375,4.793801542949916,-22.04341737480283
18,59.86000061035156,287.70001220703125,4.806214655421828,-22.883722487126562
19,60.2599983215332,286.80499267578125,4.759459021977683,-20.189078275734317
20,60.349998474121094,284.0199890136719,4.706213690054417,-16.999156057128033
21,60.775001525878906,285.6000061035156,4.699300681743345,-16.66704725300187
22,60.720001220703125,284.8699951171875,4.69153473962807,-16.184487449124987
23,60.959999084472656,286.67999267578125,4.702755855992172,-16.914713632164677
24,61.13999938964844,285.89678955078125,4.676100628146002,-15.32167339417086
25,61.16999816894531,286.5,4.683668605134107,-15.789916712109546
26,61.07500076293945,286.4200134277344,4.689644041748996,-16.13733177644977
27,61.17499923706055,289.0299987792969,4.724642458257671,-18.297415248640874
28,61.16999816894531,290.94000244140625,4.756253247512932,-20.229919153515795
29,61.14500045776367,290.95001220703125,4.758361436402424,-20.35239580765537
30,61.165000915527344,291.7449951171875,4.7698028406818045,-21.057394909405986
31,61.345001220703125,293.57000732421875,4.785557119283955,-22.072570003443417
32,61.29999923706055,292.9200134277344,4.7784668364341805,-21.6250439665358
33,61.7400016784668,292.1400146484375,4.731778534277686,-18.86543572762892
34,62.154998779296875,294.0199890136719,4.7304319007018725,-18.87830184708102
35,62.459999084472656,294.7699890136719,4.7193402711232295,-18.256078803544625
36,62.5099983215332,294.2650146484375,4.707487162850718,-17.526153498624552
37,62.53499984741211,294.2850036621094,4.70592475222158,-17.433658461125304
38,62.31999969482422,294.92999267578125,4.732509533376581,-19.045951961836607
39,62.099998474121094,294.32000732421875,4.739452730371171,-19.425771340079137
40,61.47999954223633,290.6449890136719,4.727472205233196,-18.54018243947948
41,62.119998931884766,290.6300048828125,4.678525593689906,-15.645785090267255
42,61.7400016784668,289.3999938964844,4.687398542741198,-16.125414975675795
43,61.7599983215332,288.7799987792969,4.675842076223163,-15.415453212739267
44,62.209999084472656,288.6000061035156,4.639125708901496,-13.21086775447347
45,61.95000076293945,289.17498779296875,4.667877065886379,-14.955604627886233
46,61.810001373291016,287.7200012207031,4.654910125030851,-14.130487551803215
47,61.20000076293945,281.8999938964844,4.606208993173624,-11.054926314657196
48,61.369998931884766,283.114990234375,4.61324743623684,-11.505086025085093
49,61.439998626708984,282.3999938964844,4.5963541700621136,-10.475154939103193
50,61.37929916381836,283.3500061035156,4.616377344864565,-11.698259337503858
51,61.11000061035156,283.5799865722656,4.64048410636457,-13.139837546935356
52,61.35649871826172,284.3900146484375,4.635043077576942,-12.840849080754966
53,60.93000030517578,281.82000732421875,4.6253078272228265,-12.1896954118823
54,61.81999969482422,281.4649963378906,4.5529763462851625,-7.830499346116229
55,62.599998474121094,281.2099914550781,4.492172496958297,-4.06621174876827
56,62.665000915527344,280.3800048828125,4.474267945208615,-2.9437735085203105
57,63.13999938964844,281.510009765625,4.4585051074893975,-1.9367187203336886
58,63.3218994140625,281.1300048828125,4.439696337036588,-0.7383297215546651
59,63.119998931884766,280.4700012207031,4.443441159169999,-0.9866939838174478
60,63.369998931884766,279.239990234375,4.406501419299768,1.368088863595828
61,63.209999084472656,278.7799987792969,4.410378149297875,1.1082270140857116
62,63.20000076293945,279.9049987792969,4.428876509498928,-0.061756308788774916
63,63.400001525878906,280.1199951171875,4.418296346615178,0.623068274719996
64,63.29499816894531,279.20001220703125,4.411091243921014,1.0706319000827005
65,63.290000915527344,278.6499938964844,4.402749089360834,1.5981671305206344
66,63.244998931884766,279.5799865722656,4.420586469981206,0.4657065951626276
67,63.560001373291016,279.8900146484375,4.403555830728034,1.5729020480581806
68,63.22999954223633,287.2550048828125,4.543017665071026,-7.276795281024336
69,62.9900016784668,287.7699890136719,4.568502640825399,-8.871550787437714
70,63.33000183105469,286.1199951171875,4.5179217881671505,-5.691866473371336
71,63.15999984741211,286.489990234375,4.535940324992156,-6.826715380678111
72,63.185001373291016,286.760009765625,4.538418984459207,-6.984250860756989
73,63.02000045776367,286.2799987792969,4.542684809581416,-7.246593421782594
74,63.150001525878906,286.6499938964844,4.539192192719347,-7.03170236566203
75,62.40999984741211,284.1199951171875,4.552475497706139,-7.83103584674595
76,62.26089859008789,284.3500061035156,4.5670719912928615,-8.731866427836879
77,61.82870101928711,285.2200012207031,4.61306798491093,-11.546356209288577
78,61.43000030517578,282.43499755859375,4.597672084575868,-10.555141924087055
