,sbux,bkng,Ratio,Spread
0,90.29499816894531,2379.989990234375,26.357938296663175,-270.4967874297504
1,90.41999816894531,2400.6650390625,26.550155802668517,-288.25155655581284
2,90.58999633789062,2385.6201171875,26.334255587001042,-269.23509706354207
3,90.58999633789062,2378.844970703125,26.259466462834347,-262.45995057916707
4,90.93000030517578,2377.429931640625,26.145715645678937,-253.10165804239705
5,91.2300033569336,2379.60009765625,26.083525266859453,-248.2630814771801
6,91.25,2370.409912109375,25.977094927226027,-238.60572960345553
7,91.0967025756836,2341.820068359375,25.70696855260792,-213.59725670633316
8,90.88999938964844,2322.409912109375,25.551875098525713,-199.01614940457466
9,91.23999786376953,2329.739990234375,25.53419601908486,-198.16948001174433
10,91.21430206298828,2328.0,25.52231335818799,-197.02980118096684
11,91.20500183105469,2334.7099609375,25.598485982843837,-203.9570363467883
12,90.84500122070312,2322.2900390625,25.56321215099793,-199.9475342729079
13,91.02999877929688,2327.989990234375,25.57387697959449,-201.3255285224427
14,91.80999755859375,2368.179931640625,25.794357854429055,-223.29295310617636
15,92.06999969482422,2374.159912109375,25.786465949590312,-223.19870188751202
16,92.25,2377.419921875,25.77148966802168,-222.253501752577
17,92.55000305175781,2385.4599609375,25.774823147260747,-223.28479823423504
18,91.86000061035156,2369.135009765625,25.79071406514503,-223.07984805445994
19,91.94999694824219,2363.75,25.70690678032902,-215.5923224584194
20,90.97000122070312,2349.610107421875,25.828405802935684,-224.3473229302199
21,90.81999969482422,2383.64990234375,26.245869966454016,-261.89148914251564
22,90.9000015258789,2384.512451171875,26.23225974856571,-260.88501618378586
23,90.86000061035156,2367.820068359375,26.06009302722382,-245.12714426471348
24,90.79000091552734,2355.659912109375,25.946248357251626,-234.60233751827946
25,91.38999938964844,2364.7099609375,25.874931357154008,-229.63507942444812
26,91.1050033569336,2357.469970703125,25.876405069290946,-229.0532342261181
27,91.48999786376953,2367.840087890625,25.880862861275688,-230.42901826386833
28,86.94000244140625,2354.860107421875,27.086036821875492,-323.74711200637125
29,87.08999633789062,2363.449951171875,27.138018722634836,-328.8327627056781
30,87.22000122070312,2364.699951171875,27.11190000087473,-327.0455577421069
31,87.4000015258789,2368.4599609375,27.099083748141645,-326.6003576071721
32,87.48989868164062,2371.155029296875,27.102043379031272,-327.1952272525941
33,87.5,2365.22998046875,27.031199776785716,-321.03418902471753
34,88.0999984741211,2374.739990234375,26.955051434330528,-316.526891868386
35,85.01499938964844,2319.610107421875,27.284715921603762,-333.4694907140313
36,84.76000213623047,2306.6201171875,27.21354482129656,-326.43680690556243
37,84.50499725341797,2309.409912109375,27.328678624576447,-335.1840864930716
38,84.62999725341797,2320.830078125,27.423255978320007,-343.68397280663385
39,84.45999908447266,2298.0,27.208146162796613,-324.8254322989046
40,84.30999755859375,2305.35009765625,27.343733417310066,-335.6799012455756
41,84.12000274658203,2295.10009765625,27.28364268568102,-329.8686051896964
42,82.76930236816406,2215.340087890625,26.765238131845383,-281.6639786133728
43,82.6500015258789,2210.010009765625,26.73938256460454,-279.1210351136874
44,82.62000274658203,2203.949951171875,26.675742894030005,-273.76181513007623
45,83.27999877929688,2218.6201171875,26.640491711186737,-273.0129970034675
46,82.93000030517578,2214.929931640625,26.708427872782583,-277.49955897442305
47,83.12000274658203,2219.550048828125,26.70295928159597,-277.68079397807446
48,83.36000061035156,2221.929931640625,26.654629503022196,-274.4537896697375
49,82.0199966430664,2193.25,26.740430258057163,-277.07934911988536
50,81.66000366210938,2188.39990234375,26.798919963301174,-280.6394930250269
51,81.8499984741211,2188.3798828125,26.73646821758232,-276.18076954965636
52,82.24559783935547,2201.159912109375,26.763255054802393,-279.718712474988
53,82.78500366210938,2205.2900390625,26.638762354393172,-271.24711242521084
54,83.05999755859375,2209.89990234375,26.60606750902925,-269.43250295370467
55,83.12000274658203,2211.389892578125,26.604786086452087,-269.52063772807446
56,82.7416000366211,2193.159912109375,26.506133687754303,-260.1309912841607
57,82.54119873046875,2211.425048828125,26.791772870289236,-283.0779509358995
58,82.69499969482422,2207.169921875,26.690488300626285,-275.22968930785464
59,82.36000061035156,2196.25,26.66646410544053,-272.1360956456158
60,81.94000244140625,2187.2099609375,26.69282274553912,-272.90815360451256
61,81.77999877929688,2182.219970703125,26.68403036532654,-271.65620694384734
62,81.5,2168.465087890625,26.60693359375,-264.4427221456119
63,80.8499984741211,2186.820068359375,27.047867775277005,-297.98319271303444
64,80.51010131835938,2184.64990234375,27.13510313078648,-303.7537848154884
65,80.80000305175781,2193.18994140625,27.143438843701094,-305.5210706968978
66,81.02999877929688,2187.169921875,26.992101133214145,-294.1278363280999
67,81.31999969482422,2192.699951171875,26.96384603296345,-292.8827953274215
68,81.02999877929688,2194.0,27.076391867854326,-300.9579144530999
69,80.68000030517578,2169.2099609375,26.886588407689196,-284.34462290843044
70,80.80999755859375,2218.625,27.4548331521891,-330.72263524708706
71,80.97000122070312,2229.659912109375,27.53686400512584,-338.01950378275205
72,80.57649993896484,2205.469970703125,27.37113143874115,-323.02263282287026
73,80.6500015258789,2209.3798828125,27.394666348562385,-325.215383393569
74,80.05999755859375,2186.39990234375,27.30951747461125,-316.01921580321437
75,79.70999908447266,2180.280029296875,27.352654050169086,-318.0760902741699
76,79.77999877929688,2179.110107421875,27.313990232691754,-315.2708188956037
77,79.87999725341797,2238.625,28.02485073826429,-372.44952336002416
78,80.52999877929688,2246.989990234375,27.902521101391653,-365.6290234957264
79,81.0,2257.4599609375,27.86987606095679,-365.11871400073846
80,81.16999816894531,2265.5,27.910558717577423,-369.18721544596747
