,abbv,tmo,Ratio,Spread
0,162.30499267578125,588.969970703125,3.628785294853161,6.456690405611425
1,161.72000122070312,592.0172729492188,3.660754813755404,1.2633080967182195
2,161.46499633789062,591.5549926757812,3.663673279612012,0.7900859962836648
3,161.52000427246094,589.7550048828125,3.6512815086853325,2.791874055995436
4,161.8699951171875,589.094970703125,3.6393092510853755,4.735872928688082
5,162.1300048828125,592.0599975585938,3.6517608075478347,2.724709192581372
6,162.1999969482422,592.8699951171875,3.6551788302830337,2.1714821814356355
7,162.89999389648438,592.77001953125,3.638858451449229,4.83944313126608
8,163.88999938964844,594.47998046875,3.62731089561709,6.761383194196242
9,163.5500030517578,595.2999877929688,3.6398653420053884,4.694076690069892
10,163.09500122070312,594.1099853515625,3.642723448940057,4.214874650475053
11,163.3300018310547,593.02001953125,3.6308088708935307,6.166955840581863
12,163.25999450683594,591.7000122070312,3.6242804858250555,7.230136639470061
13,163.75,595.280029296875,3.635297888835878,5.4477372932926755
14,164.00999450683594,598.2050170898438,3.6473692892228624,3.476556641803427
15,164.19000244140625,599.114990234375,3.648912731140122,3.2269545782061186
16,164.44500732421875,597.0999755859375,3.6310009364328035,6.17747160051556
17,164.11000061035156,599.5,3.653037583147662,2.5484527741529064
18,164.0500030517578,599.8699951171875,3.6566289787140596,1.9583526226150525
19,163.15499877929688,596.010009765625,3.653029415126042,2.534955270763021
20,162.11000061035156,590.760009765625,3.644192261682725,3.951309981472491
21,161.4499969482422,588.1900024414062,3.6431713444378,4.100049972071133
22,161.80999755859375,589.9199829101562,3.6457573191454853,3.690755687306364
23,161.47999572753906,587.030029296875,3.635311152022541,5.37007563377756
24,161.58999633789062,588.030029296875,3.6390249558969145,4.773620189380949
25,162.0,591.5700073242188,3.6516667118778936,2.737767867275352
26,162.17999267578125,590.1400146484375,3.6387966537167356,4.8280756461080045
27,162.7100067138672,592.260009765625,3.639972867846663,4.652472280742131
28,163.5,589.9749755859375,3.6084096366112384,9.83564937584822
29,163.7899932861328,589.5,3.5991209729777167,11.374484620440398
30,163.02999877929688,590.1699829101562,3.6200085096553516,7.91641131204085
31,162.66000366210938,588.2550048828125,3.6164698858902264,8.47403764230171
32,162.27499389648438,587.989990234375,3.623417115082163,7.326618357186248
33,161.55999755859375,588.2349853515625,3.6409692636831372,4.458611617518159
34,161.88999938964844,589.8599853515625,3.643585073663786,4.044245284328213
35,165.2100067138672,587.3099975585938,3.5549299297334684,18.773900771592707
36,165.22999572753906,591.7849731445312,3.5815831776717633,14.3722562118503
37,164.7899932861328,589.10498046875,3.574883211784945,15.43807066521822
38,164.64500427246094,591.280029296875,3.591241847328704,12.731119996707093
39,164.39999389648438,588.0787963867188,3.5771217653268694,15.033516046088948
40,163.67999267578125,585.219970703125,3.575390987842563,15.250969361712123
41,163.44000244140625,584.1500244140625,3.5740945649060554,15.440495513372753
42,166.7906036376953,576.1699829101562,3.454451092231311,35.71244036617111
43,166.85000610351562,579.6300048828125,3.473958547674272,32.47034029044414
44,167.72000122070312,580.47802734375,3.460994652509558,34.81395278335344
45,167.72000122070312,583.219970703125,3.4773429910465152,32.07200942397844
46,167.77999877929688,583.0,3.47478843867973,32.5120851614538
47,168.11000061035156,586.510009765625,3.488846633967057,30.212709062638964
48,168.91000366210938,587.52001953125,3.478302094567091,32.13756370341264
49,171.02000427246094,602.4650268554688,3.5227751830461314,24.933233961852693
50,171.5399932861328,600.6699829101562,3.5016323097799376,28.635892190124196
51,172.375,605.9249877929688,3.515155839263053,26.444164976375646
52,173.3000030517578,610.8049926757812,3.524552694285632,24.957595314152854
53,174.14500427246094,611.3969116210938,3.5108495599708642,27.465619551001964
54,173.38999938964844,614.7849731445312,3.5456772323008297,21.3077723969285
55,173.27999877929688,612.1599731445312,3.53277918661707,23.529227841325223
56,173.1999969482422,609.0800170898438,3.5166283361532433,26.31569185758451
57,174.3699951171875,611.5399780273438,3.507139961874466,28.147947023566076
58,174.71499633789062,613.239990234375,3.5099447848677943,27.713594741932525
59,175.6999969482422,613.3499755859375,3.4908934902635114,31.2171496453102
60,175.0500030517578,614.4500122070312,3.5101399685514663,27.732567181576428
61,175.4499969482422,613.27001953125,3.4954119703528117,30.379964071615746
62,175.10000610351562,609.1799926757812,3.47904038515936,33.18602623407935
63,171.2899932861328,589.4749755859375,3.441385946003536,38.91375788596099
64,172.1199951171875,590.7999877929688,3.4324889876433238,40.633662602503705
65,171.57850646972656,590.6599731445312,3.442505622047408,38.78719013141051
66,170.47000122070312,590.4299926757812,3.4635419044279043,34.950545363523474
67,170.2949981689453,588.5599975585938,3.4561202847232098,36.17853014526702
68,170.16000366210938,586.2999877929688,3.4455804841024693,37.94330358360355
69,169.97999572753906,585.89501953125,3.446846889385626,37.68790076438836
70,166.56100463867188,581.0800170898438,3.488691836065748,29.960106987126665
71,168.8000030517578,579.510009765625,3.4331161095295384,39.74402891343425
72,168.36000061035156,576.0,3.421240187169403,41.639860456645806
73,168.38999938964844,574.0399780273438,3.408990914591286,43.70993494647735
74,168.21499633789062,569.780029296875,3.3872130410559085,47.327873341502254
75,167.22000122070312,566.4500122070312,3.3874537021406286,47.00768466330828
76,167.3300018310547,570.7999877929688,3.4112232208619644,43.06125363297417
77,161.08999633789062,567.8900146484375,3.525296589226266,23.07935158105454
78,158.74000549316406,570.4749755859375,3.5937694081187637,11.873292923493864
79,157.65499877929688,572.22998046875,3.6296342323393223,6.137868743235458
80,159.05999755859375,577.14501953125,3.62847371048553,6.377161154011333
81,158.72000122070312,576.739990234375,3.633694466977777,5.534891270978733
