,bmy,dhr,Ratio,Spread
0,62.83000183105469,329.8800048828125,5.250358033886994,-98.93755443829939
1,62.720001220703125,329.0899963378906,5.246970502756654,-98.55841132686716
2,62.619998931884766,329.3399963378906,5.259342094466209,-99.18193183383521
3,62.650001525878906,330.54998779296875,5.276136947202278,-100.27986001264769
4,62.665000915527344,330.3399963378906,5.271523043352224,-100.01384404361197
5,62.59000015258789,330.7200012207031,5.283911174539739,-100.6739857445629
6,62.36000061035156,329.010009765625,5.275978296110061,-99.82307008298567
7,62.15999984741211,319.1600036621094,5.134491706009824,-90.72009074505571
8,61.869998931884766,314.760009765625,5.0874416550767565,-87.40328494625307
9,61.665000915527344,314.7799987792969,5.104678409240642,-88.18896606459619
10,61.640098571777344,313.3500061035156,5.0835416127479505,-86.85198662053294
11,61.65999984741211,312.875,5.074197223066187,-86.30264687273531
12,61.880001068115234,315.0899963378906,5.091952018408195,-87.69591234364664
13,61.8650016784668,315.760009765625,5.104016830173801,-88.42195028533861
14,61.20000076293945,307.54998779296875,5.0253265352769425,-82.69578625270582
15,61.63999938964844,308.54998779296875,5.005677982611813,-82.05233876709768
16,61.819000244140625,309.260009765625,5.002669220535275,-82.09377114337899
17,61.959999084472656,306.9100036621094,4.953357136814772,-79.21711751064139
18,62.154998779296875,305.75,4.919153825192285,-77.32876667038236
19,62.224998474121094,307.63128662109375,4.943853662753166,-78.94859606077368
20,62.130001068115234,307.2200012207031,4.944793110238118,-78.89213733156465
21,62.48500061035156,308.2550048828125,4.933264013311788,-78.60117525272592
22,62.70000076293945,306.7749938964844,4.892743064810489,-76.3181129868545
23,63.119998931884766,308.1199951171875,4.881495569252016,-76.09437082334311
24,62.904998779296875,310.2799987792969,4.9325173642864035,-79.05742576499576
25,62.84000015258789,308.6499938964844,4.91168034925241,-77.67019852544966
26,62.4900016784668,306.3299865722656,4.902063983746423,-76.65747735474302
27,62.15999984741211,305.3299865722656,4.912001083040178,-76.89007365521196
28,60.93000030517578,300.8900146484375,4.93829005648106,-77.04429710446267
29,61.540000915527344,303.5,4.931751632837935,-77.37585723274655
30,61.67729949951172,305.0299987792969,4.945579674442648,-78.39302938275505
31,61.630001068115234,305.1549987792969,4.951403431618163,-78.6946946799474
32,61.525001525878906,305.7799987792969,4.970012047064776,-79.71188052600102
33,61.619998931884766,305.6600036621094,4.960402612145261,-79.23705873763193
34,61.470001220703125,303.9599914550781,4.944850909693886,-78.09730591852708
35,61.95000076293945,298.69000244140625,4.821468906584623,-71.03446121645986
36,62.32500076293945,297.17999267578125,4.768230871045484,-68.12378160849313
37,62.600101470947266,295.9599914550781,4.727787727188162,-65.87624634695426
38,62.85499954223633,295.6499938964844,4.7036830172565365,-64.61417401149207
39,62.959999084472656,295.8399963378906,4.698856426934913,-64.4119906068447
40,62.79499816894531,295.8500061035156,4.7113626041926615,-65.03829852270415
41,62.83000183105469,295.5400085449219,4.703803914244782,-64.59755810040876
42,64.62999725341797,296.5150146484375,4.587885304803355,-58.849366058704604
43,64.55000305175781,296.55499267578125,4.594190219293964,-59.1881319949219
44,64.6261978149414,296.1000061035156,4.5817333545043875,-58.448548870827935
45,64.74500274658203,298.04998779296875,4.603443897586415,-59.95477993395973
46,65.05999755859375,299.92999267578125,4.610052319870762,-60.65824152696179
47,64.99500274658203,300.7799987792969,4.627740381088211,-61.75101102539337
48,65.0999984741211,303.010009765625,4.6545317491225315,-63.588850414018324
49,65.5,302.0450134277344,4.611374250805105,-61.129800544956325
50,65.52999877929688,302.1600036621094,4.611017996197062,-61.132741751416134
51,65.45500183105469,302.739990234375,4.625162046680168,-61.992850893469765
52,65.37000274658203,302.3299865722656,4.624903990662191,-61.90032897602039
53,65.44999694824219,302.6650085449219,4.624370094077608,-61.93656303980309
54,65.38500213623047,304.75,4.6608547838700005,-64.26431788979717
55,65.47000122070312,305.3699951171875,4.664273551603699,-64.56683126232464
56,64.70500183105469,307.25,4.748473708450428,-69.30420034377822
57,64.75,306.0899963378906,4.727258630701013,-67.97612313979606
58,64.79499816894531,305.3399963378906,4.712400724848431,-67.05804959792324
59,64.65499877929688,304.7300109863281,4.713170160694605,-66.97097870776561
60,64.55000305175781,306.0199890136719,4.7408206746062795,-68.65312833281253
61,64.56500244140625,306.1499938964844,4.741732863315854,-68.72710870166743
62,64.83999633789062,306.3500061035156,4.72470733198505,-67.89998582167546
63,64.30999755859375,298.8900146484375,4.6476446275109025,-62.41960318430152
64,64.68000030517578,299.2699890136719,4.626932399530677,-61.41757304627971
65,64.625,295.5249938964844,4.572920601879836,-57.87801064583705
66,64.88500213623047,296.7300109863281,4.573167931216575,-58.111888665914265
67,64.74500274658203,295.2900085449219,4.560815445490279,-57.19480068591285
68,64.63999938964844,293.5,4.54053222109098,-55.79699223539508
69,64.5999984741211,292.1199951171875,4.52198145537436,-54.566395555369795
70,64.625,289.82000732421875,4.484642279678433,-52.173024073571426
71,64.58999633789062,289.9200134277344,4.488620991880405,-52.40377304078869
72,64.69999694824219,291.1300048828125,4.499691168698303,-53.20289906237717
73,64.54000091552734,289.1925048828125,4.480825856530739,-51.863003376825176
74,64.68000030517578,290.29998779296875,4.488249635486451,-52.44757182557659
75,64.79000091552734,291.8599853515625,4.504707226846425,-53.59670395068069
76,64.91999816894531,293.30999755859375,4.518022270969495,-54.561160871179126
77,64.07499694824219,287.7898864746094,4.491453767950659,-52.19723039141029
78,64.55000305175781,286.18499755859375,4.433539644128652,-48.8181368777344
79,64.55999755859375,287.0,4.445477243699131,-49.59580864096951
