,amd,klac,Ratio,Spread
0,137.75,386.5124206542969,2.8058977905938067,146.48119085861575
1,135.8000030517578,380.5402526855469,2.8022109288208967,144.8530961883694
2,144.25,404.13275146484375,2.8016135283524695,154.195108492924
3,143.8800048828125,407.89373779296875,2.834957770019471,148.99203782292037
4,146.13999938964844,415.34661865234375,2.8421145503423624,150.34765885895914
5,154.36000061035156,434.5069274902344,2.814893273983933,163.22543511988457
6,153.14999389648438,426.5900573730469,2.7854395976103232,166.42621128183308
7,148.25999450683594,429.48236083984375,2.896818944776376,144.47476021002947
8,145.14999389648438,421.5852966308594,2.9044802918250103,140.25035855342972
9,143.89999389648438,424.5763244628906,2.9504957781187473,132.3873598666186
10,150.24000549316406,429.49224853515625,2.85870762002001,152.18211716874455
11,144.4199981689453,425.6917419433594,2.947595536217754,133.29869891398235
12,136.14999389648438,415.3268737792969,3.050509676078813,111.43059125057748
13,136.22999572753906,426.6592102050781,3.1319035717977965,100.41006809617822
14,132.0,411.5461730957031,3.1177740386038115,99.03637248522243
15,132.0,413.3427429199219,3.131384416060014,97.23980266100368
16,137.30999755859375,420.1341857910156,3.0597494229197215,111.1444824654465
17,137.47000122070312,428.2780456542969,3.1154291252730255,103.62424914492912
18,132.74000549316406,416.0573425292969,3.1343779215884036,97.4094312076865
19,136.8800048828125,439.27471923828125,3.2091956718905648,90.32801959084081
20,131.92999267578125,407.6667175292969,3.09002304374518,102.64296913705668
21,128.27000427246094,388.1313171386719,3.025893070949263,107.91328406383478
22,121.88999938964844,378.34881591796875,3.10401852336132,92.82922701060555
23,118.80999755859375,368.2306823730469,3.0993240462903455,90.94281723267385
24,116.52999877929688,386.0682067871094,3.3130370791327906,64.21882273727702
25,111.12999725341797,365.3482360839844,3.2875753182181198,63.891873400523124
26,110.70999908447266,375.70330810546875,3.3935806269748405,51.89982630850879
27,102.5999984741211,357.1451721191406,3.480947148446827,38.848613010133406
28,105.23999786376953,361.93280029296875,3.4391182785986127,44.350584902708235
29,114.25,384.2617492675781,3.363341350263266,57.13881017547389
30,116.77999877929688,383.0376892089844,3.2799939477040865,68.22373448635794
31,122.76000213623047,390.3721008300781,3.1799616653384417,84.19684451843698
32,120.08000183105469,368.8723449707031,3.0718882357254147,95.25109367571802
33,123.5999984741211,372.52471923828125,3.0139540763528334,105.31817625129382
34,123.66999816894531,370.76763916015625,2.9980403060542735,107.34808550784048
35,128.22999572753906,380.26385498046875,2.9654828639973365,115.62480985019668
36,132.85000610351562,394.9820556640625,2.9731429244820338,118.91345388703353
37,125.7699966430664,384.69610595703125,3.0587271704299535,101.60452379976549
38,113.18000030517578,365.4642639160156,3.229053392212288,71.76588966479089
39,114.2699966430664,361.4357604980469,3.162997909477735,80.04273739477553
40,121.47000122070312,383.54791259765625,3.1575525540727916,85.99315526038804
41,117.69000244140625,381.716796875,3.243408861895839,73.09143587597417
42,112.37000274658203,362.3166809082031,3.224318519643569,71.75644507427414
43,113.83000183105469,354.6457214355469,3.1155733614228382,85.11786293697519
44,115.6500015258789,352.11181640625,3.044633045918795,94.74535634138549
45,109.76000213623047,340.2738037109375,3.10016214548357,83.62664474786747
46,116.61000061035156,354.23992919921875,3.0378177458629785,96.35891359654958
47,121.05999755859375,354.00238037109375,2.924189554850722,113.94066677323069
48,123.33999633789062,344.9456787109375,2.7967057641704223,131.88383851472125
49,113.83000183105469,333.3551025390625,2.928534632142277,106.40848183345956
50,118.27999877929688,342.5404968261719,2.896013699368827,114.56729189490623
51,111.9800033569336,339.0365905761719,3.027652977429379,93.5164828785061
52,108.41000366210938,328.7129821777344,3.0321277656466274,89.9257437051384
53,102.94999694824219,310.9361267089844,3.020263583546356,86.42180431239795
54,105.52999877929688,318.5378112792969,3.0184574525152783,88.87587472302702
55,111.05000305175781,336.09686279296875,3.0265362769627466,92.83146315630698
56,106.45999908447266,325.43670654296875,3.056891878091648,85.60172696475739
57,104.29000091552734,319.9729919433594,3.068108055752446,82.60770729714504
58,102.25,316.7363586425781,3.097666099193918,77.89328059458761
59,109.33000183105469,329.8215637207031,3.016752567427643,92.40292557461156
60,115.37000274658203,347.3410339355469,3.0106702406734343,98.42482209840192
61,111.69000244140625,349.0137634277344,3.12484336823997,82.40900922029662
62,113.45999908447266,361.3268737792969,3.1846190436709207,76.99459651519628
63,115.91999816894531,352.6463623046875,3.0421529319792606,95.26314306367429
64,114.77999877929688,357.347900390625,3.1133290136877108,86.11836993706963
65,113.91999816894531,345.1733703613281,3.029962920552633,94.94098163938598
66,120.52999877929688,362.1583251953125,3.004715248180352,103.71901106436933
67,119.66999816894531,362.7027282714844,3.0308576403538936,99.82268966121687
68,120.23999786376953,371.5218505859375,3.0898358049446015,93.22518486709735
69,123.2300033569336,380.4102478027344,3.086993730746583,95.99056334496201
70,119.22000122070312,370.0074462890625,3.103568549744394,90.76407403037813
71,109.33999633789062,362.3265686035156,3.3137605701378203,59.93687504860911
72,108.19000244140625,356.59564208984375,3.296012885136679,61.18561216480377
73,110.52999877929688,363.3064880371094,3.28694917261828,63.59508138433385
74,106.81999969482422,341.9960632324219,3.201610786458303,70.44550026037284
75,103.66999816894531,340.7390441894531,3.286766183155221,59.42514680206641
76,103.72000122070312,349.47894287109375,3.369445996509839,50.880138849077056
77,101.0,337.7300109863281,3.34386149491414,52.027657396057734
78,97.37000274658203,328.08935546875,3.3695116176862476,47.52012025636934
79,95.0999984741211,326.8818054199219,3.4372430143505626,39.88015458067319
80,97.73999786376953,333.0878601074219,3.40789714945238,43.96369995957615
