,t,vz,Ratio,Spread
0,18.450830459594727,52.570098876953125,2.8491996060597824,-8.738408376818084
1,18.587614059448242,52.66999816894531,2.833607261291973,-8.49474485510032
2,18.598941802978516,52.750099182128906,2.8361881950553376,-8.54639368948168
3,18.602718353271484,52.79499816894531,2.838025989876945,-8.58180701978547
4,18.655590057373047,52.79169845581055,2.8298058808891042,-8.445708115474096
5,18.704002380371094,52.744998931884766,2.8199846139475464,-8.277410140233561
6,18.712236404418945,52.76499938964844,2.819812568057757,-8.276728992358363
7,18.83308219909668,52.93000030517578,2.810479970597407,-8.13819848095324
8,18.83685874938965,52.76499938964844,2.8011570342830185,-7.963711908913288
9,18.8034725189209,52.83000183105469,2.8095875258091167,-8.112571386479543
10,18.787763595581055,52.709999084472656,2.8055494107276413,-8.032025138401506
11,18.80453109741211,52.77000045776367,2.806238570076651,-8.049911154923633
12,18.825529098510742,52.80500030517578,2.8049676600777773,-8.032169793978474
13,18.783912658691406,52.68000030517578,2.804527537067763,-8.01169885430613
14,18.82930564880371,52.619998931884766,2.7945798912254576,-7.837682764174842
15,18.876434326171875,52.6349983215332,2.7883972900833087,-7.7343078675756995
16,18.81110191345215,52.57500076293945,2.7948921336363686,-7.838407375914583
17,18.757553100585938,52.56999969482422,2.802604338258921,-7.967906210118377
18,18.795316696166992,52.632301330566406,2.8002880814080635,-7.935356071470023
19,18.72356414794922,52.654998779296875,2.8122316009510477,-8.138276203204567
20,18.723037719726562,52.689998626708984,2.8141800179783267,-8.174598293645714
21,18.920089721679688,52.89250183105469,2.7955735204811174,-7.88216102039984
22,18.867597579956055,52.900001525878906,2.8037486649639534,-8.021506550013802
23,18.795316696166992,52.810001373291016,2.809742566565041,-8.113056114194633
24,18.78255271911621,52.72999954223633,2.8073926015695205,-8.065113885858336
25,18.744335174560547,52.665000915527344,2.8096489112616423,-8.096107228615656
26,18.71978759765625,52.619998931884766,2.810929272427903,-8.112762012305074
27,18.761329650878906,52.720001220703125,2.8100354400112235,-8.108422079484667
28,18.69713020324707,52.64099884033203,2.8154587505193733,-8.190671069092422
29,18.651813507080078,52.435001373291016,2.8112548601982916,-8.098496689467174
30,18.667221069335938,52.4901008605957,2.81188617553898,-8.114896614494638
31,18.61284065246582,52.3650016784668,2.813380432155019,-8.12638609541178
