,goog,amzn,Ratio,Spread
0,131.43576049804688,150.04275512695312,1.1415672154853378,-10.366978525624358
1,132.75799560546875,151.34849548339844,1.140032996077894,-10.256817178629557
2,133.86880493164062,151.124755859375,1.128901956931236,-8.843578948574855
3,134.75,153.2425079345703,1.1372356804049746,-10.017712455975623
4,134.64999389648438,153.22000122070312,1.137913168703854,-10.102296237230956
5,133.88973999023438,153.00799560546875,1.1427910429628798,-10.704400605057952
6,134.20700073242188,153.68194580078125,1.1451112457776176,-11.038615436533501
7,134.12249755859375,153.35299682617188,1.1433801160702137,-10.800155806139667
8,134.51950073242188,153.8354949951172,1.1435925212145823,-10.857527258255924
9,133.64849853515625,151.65451049804688,1.134726631127503,-9.609246399053074
10,135.43699645996094,154.33499145507812,1.1395334767387875,-10.374532967343821
11,134.29299926757812,152.85400390625,1.1382127492862764,-10.118582905671712
12,133.75601196289062,152.14649963378906,1.1374927930417118,-9.986105899666608
13,133.0,151.12245178222656,1.1362590359565907,-9.7716255902677
14,133.9344940185547,152.05050659179688,1.1352602457342502,-9.698987205942938
15,134.91500854492188,153.60000610351562,1.1384945808484481,-10.198512941940333
16,135.45199584960938,153.4510040283203,1.132881085035432,-9.474483600289187
17,135.1739959716797,152.94949340820312,1.1315008653013972,-9.270666256131289
18,134.49349975585938,152.41299438476562,1.1332368825365895,-9.462869523047583
19,133.44850158691406,151.36349487304688,1.1342464926401958,-9.532395424582642
20,134.00450134277344,151.947998046875,1.1339021937643978,-9.521512046492216
21,133.99497985839844,150.9250030517578,1.1263481901430223,-8.508713033821845
22,134.17300415039062,151.20350646972656,1.126929425387591,-8.59658099152291
23,134.54100036621094,150.43299865722656,1.118120113926303,-7.432008261282658
24,135.15699768066406,151.6219940185547,1.121821264310654,-7.961369309504886
25,134.41049194335938,151.37899780273438,1.126243908596998,-8.51776099311682
26,135.09649658203125,151.96624755859375,1.1248718612500739,-8.37040982134145
27,134.95950317382812,152.04275512695312,1.1265805782577736,-8.593615355097523
28,135.17149353027344,152.5602569580078,1.1286422378978889,-8.884109519271345
29,134.71249389648438,152.0050048828125,1.1283660519240035,-8.820372424817617
30,134.79449462890625,150.1999969482422,1.114288809507746,-6.927554859367189
31,134.60400390625,149.75100708007812,1.112530108572237,-6.6825499990013215
32,133.99649047851562,149.30300903320312,1.1142307421636664,-6.88510138343666
33,135.3574981689453,150.63299560546875,1.1128529829759224,-6.757667035279195
34,135.36000061035156,149.91824340820312,1.1075520296410093,-6.040235124678202
35,134.53500366210938,147.68075561523438,1.0977125030311154,-4.686186727466105
36,134.32199096679688,147.89849853515625,1.101074347324969,-5.132032075204632
37,131.12750244140625,144.5675048828125,1.1024956793286889,-5.221823213199497
38,131.0865020751953,144.65451049804688,1.1035042373399249,-5.352733643873944
39,132.2584991455078,145.21600341796875,1.0979710518127488,-4.659205698771371
40,132.26126098632812,145.76824951171875,1.1021235426357143,-5.208494304023174
41,131.69969177246094,145.09324645996094,1.1016976919782029,-5.1348418003266945
