,schw,gs,Ratio,Spread
0,86.43000030517578,349.55999755859375,4.044428975174499,33.615081586184424
1,86.2699966430664,348.3671875,4.038103640380732,34.090234900388616
2,86.0199966430664,349.05999755859375,4.057893643114081,32.27611184350388
3,86.63999938964844,348.0899963378906,4.0176592658134265,36.026981619081134
4,86.06999969482422,345.5,4.01417452335342,36.060385689658624
5,85.78790283203125,345.6600036621094,4.029239464437028,34.63510651144184
6,85.61000061035156,344.3999938964844,4.0228944216926115,35.09717998268973
7,86.08999633789062,347.78009033203125,4.039727089394281,33.86998534079759
8,85.58999633789062,345.9700012207031,4.042178011725682,33.437448455543795
9,85.62999725341797,346.2200012207031,4.043209299611224,33.3668626416412
10,86.11000061035156,348.6000061035156,4.048310342963919,33.1397937722404
11,85.8949966430664,345.7799987792969,4.025612809744592,34.995454123655286
12,85.66000366210938,346.3999938964844,4.043894222359344,33.32145627025073
13,85.01000213623047,344.989990234375,4.05822822685642,31.816039292852214
14,84.45500183105469,343.95001220703125,4.072583088626001,30.366701095199733
15,85.08000183105469,345.8999938964844,4.06558517221645,31.220001901473996
16,84.56999969482422,344.239990234375,4.070474062629598,30.592517465537856
17,84.67500305175781,343.8299865722656,4.060584283204556,31.473487643622537
18,84.47000122070312,344.1199951171875,4.073872264048761,30.26399422736039
19,84.59249877929688,346.1199951171875,4.0916156882919354,28.813426646200686
20,83.58000183105469,342.1199951171875,4.093323613568893,28.272122691025107
21,83.4800033569336,342.0899963378906,4.097867544101837,27.853603114957014
22,82.8499984741211,342.0299987792969,4.128304225450685,25.08787001721304
23,82.58000183105469,341.32000732421875,4.133204162703995,24.586858490830014
24,79.97000122070312,332.06500244140625,4.152369605759606,22.13535293390429
25,80.13999938964844,334.3381042480469,4.171925465365462,20.624735753359847
26,79.77010345458984,333.4200134277344,4.179761577187097,19.88375009368757
27,79.68000030517578,331.6484069824219,4.162254087753548,21.25122120850033
28,81.0,333.9100036621094,4.122345724223573,24.910155790998818
29,81.41000366210938,336.4200134277344,4.132416144139227,24.239115768054365
30,82.2699966430664,340.30999755859375,4.136501901599075,24.206416869139435
31,84.91999816894531,345.67999267578125,4.070654735390635,30.722346377787563
32,84.9749984741211,346.739990234375,4.080494221367638,29.909039047608122
33,85.9800033569336,347.68499755859375,4.043789067037245,33.4717318771635
34,86.33000183105469,348.6300048828125,4.0383412196037165,34.096555906600706
35,85.53140258789062,349.3450012207031,4.08440631920799,29.799640721569336
36,85.5083999633789,349.3800048828125,4.085914425161073,29.661464492020787
37,85.73999786376953,350.1199951171875,4.083508325641502,29.96024920198538
38,83.91000366210938,339.7650146484375,4.049159811941025,32.10724453026085
39,85.24500274658203,343.5050048828125,4.0296204330474445,34.3550616003888
40,85.05000305175781,343.19000244140625,4.035155674627729,33.79544127191837
41,85.06999969482422,341.0400085449219,4.008933934034929,36.035125151572906
42,84.04000091552734,338.30999755859375,4.025582982782752,34.14533206010338
43,84.1500015258789,339.7099914550781,4.036957638682942,33.23871862044762
44,84.47000122070312,341.2699890136719,4.040132403005441,33.11400033087602
45,79.76000213623047,331.25,4.153084141525265,22.008456563116955
46,79.31999969482422,330.1499938964844,4.16225409942894,21.13494083931828
47,78.11000061035156,330.05999755859375,4.225579246953077,15.797786371851476
48,77.04000091552734,327.2300109863281,4.247533840830669,13.828554680222044
49,78.2699966430664,329.05999755859375,4.204165218751721,17.515408896484008
50,77.81099700927734,328.5050048828125,4.221832613758247,16.011672549951403
51,77.83999633789062,328.17999267578125,4.2160843796960865,16.4667540534458
52,80.51000213623047,329.1700134277344,4.088560485574797,27.45238213025549
53,81.29000091552734,332.2799987792969,4.087587588104301,27.840887858199654
54,81.94000244140625,333.8500061035156,4.074322628221124,29.186301173488847
55,81.94999694824219,335.260009765625,4.091031388047126,27.82112539308604
56,82.11540222167969,336.0950012207031,4.092959324651144,27.728018270373287
57,82.29000091552734,336.8299865722656,4.093206742311617,27.776152058394803
58,81.80000305175781,336.3900146484375,4.112347213918701,26.0183600871046
59,81.91000366210938,335.79998779296875,4.099621203512483,27.10176739940191
60,80.4000015258789,331.8399963378906,4.127363060199433,24.28901876327068
61,80.33989715576172,332.6600036621094,4.14065757412103,23.19942819318594
62,81.18000030517578,336.1600036621094,4.14092143875832,23.467502518558593
63,80.80000305175781,335.4599914550781,4.1517324107053994,22.463131287300076
64,80.54000091552734,334.36041259765625,4.151482602394592,22.396535044967425
65,80.69999694824219,333.5799865722656,4.1335811547330135,23.894583594990582
66,79.31999969482422,328.0799865722656,4.136157183995469,23.20494816353703
67,78.72000122070312,326.3599853515625,4.1458330829615235,22.23380503229321
68,79.05999755859375,327.010009765625,4.136225902654095,23.108749870423072
69,79.01000213623047,326.9800109863281,4.138463512790992,22.914506581915976
70,78.75,326.0899963378906,4.14082535032242,22.638346130598894
71,78.43499755859375,326.8500061035156,4.16714497707923,20.46547103680506
72,79.23999786376953,329.67999267578125,4.160525007112841,21.246113687826597
73,78.16000366210938,325.1000061035156,4.159416464576223,20.982054114490598
74,78.88999938964844,326.92999267578125,4.1441246698587175,22.42628233417064
75,77.44999694824219,324.2900085449219,4.187088719469369,18.607492644551815
76,77.5999984741211,326.0199890136719,4.201288600828989,17.550306818727837
77,77.44000244140625,323.07000732421875,4.171874963054973,19.782665983548373
78,76.81999969482422,323.1600036621094,4.206717065163987,16.911801090783616
79,76.3499984741211,321.8599853515625,4.215586008959217,16.10374548938238
80,75.13999938964844,320.9200134277344,4.270961086432289,11.616566607853077
81,75.03500366210938,319.6000061035156,4.259345512165343,12.465641635853547
