,qcom,avgo,Ratio,Spread
0,173.06280517578125,616.3651123046875,3.5615111616770605,51.42372306398236
1,172.935546875,626.1403198242188,3.6206571242221295,41.154616398828786
2,175.78404235839844,631.3276977539062,3.59149607258843,47.02246611969745
3,177.54598999023438,640.0809936523438,3.605156014436318,45.107423008329626
4,178.87725830078125,649.4594116210938,3.63075450613756,40.89575861979174
5,182.391357421875,658.720703125,3.6115784894421576,45.27295311550561
6,180.9132843017578,653.5625,3.612573297325573,44.69464202719596
7,182.2641143798828,657.0892333984375,3.6051486911400645,46.41058291696684
8,178.86746215820312,649.7329711914062,3.632482752043164,40.584179474960116
9,179.00450134277344,650.0552978515625,3.6315025207482345,40.79371231442426
10,182.27389526367188,648.0136108398438,3.5551641111440944,55.52416582955866
11,183.27232360839844,655.438232421875,3.576307756223808,51.97452060190492
12,182.55775451660156,628.1624755859375,3.4408972505674265,76.4769804367039
13,182.01939392089844,622.3302612304688,3.419032707585652,80.21977636820996
14,176.5965118408203,604.8628540039062,3.4251121253692403,76.64056573394315
15,175.88189697265625,606.826416015625,3.450192580706394,71.9035290595226
16,181.48101806640625,607.6959228515625,3.348537105016673,92.76463710263248
17,182.47946166992188,607.6470336914062,3.3299475356330737,96.6885618376874
18,180.00294494628906,583.4096069335938,3.2411114557468874,111.3144388072917
19,184.70147705078125,582.6084594726562,3.154324853138428,130.3509467739219
20,175.0792694091797,564.4571533203125,3.2240090744330985,111.1577331266718
21,168.8243408203125,550.9561157226562,3.2634874393442126,100.38291707073584
22,162.98052978515625,535.0811157226562,3.283098394808321,93.57764191600494
23,161.44371032714844,520.9254760742188,3.2266693760854412,101.76876834506014
24,166.4750518798828,529.0828247070312,3.178150832406899,113.13843900273285
25,161.9527130126953,521.814453125,3.2220173618462042,102.85526943572619
26,163.46995544433594,544.2642211914062,3.329444971780987,86.29403466018503
27,157.79257202148438,529.7959594726562,3.357546890106598,78.72793944738201
28,163.28396606445312,547.1753540039062,3.351066042748616,82.66106291651111
29,172.04476928710938,572.3605346679688,3.3268116028149044,91.4772259767643
30,173.38584899902344,579.0426635742188,3.339618930363112,89.9999294457666
31,184.22181701660156,589.505615234375,3.199977205638192,121.59219393274996
32,175.31419372558594,567.4465942382812,3.236740746311097,109.08005135090944
33,175.67637634277344,576.541748046875,3.281839938011628,101.39055583014463
34,171.3889617919922,574.0701904296875,3.3495167041528213,87.22233144050072
35,174.81495666503906,586.36962890625,3.3542303249817813,88.21943967497042
36,180.06167602539062,597.2330322265625,3.3168247980894403,97.71895329987454
37,170.39053344726562,577.7140502929688,3.390529031190375,79.70349522284197
38,161.1598358154297,560.1880493164062,3.475978034365638,61.4044565291126
39,161.6394805908203,565.2290649414062,3.4968502922392233,58.224978763044625
40,169.34312438964844,588.8607788085938,3.4773232213057566,64.49169248024371
41,168.9515838623047,583.4290771484375,3.4532323628521375,68.40379557005586
42,163.27420043945312,565.6392822265625,3.464351873744549,64.15923356037784
43,164.09642028808594,566.6064453125,3.4528872983199252,66.38316825164189
44,162.3834228515625,564.1348876953125,3.4740916147025547,62.206452513313344
45,158.2036590576172,552.1480102539062,3.490108974362066,57.9713487239512
46,164.42922973632812,566.6162109375,3.445957947051763,67.6650614114344
