,amd,adi,Ratio,Spread
412,87.91999816894531,156.9499969482422,1.7851455893646655,9.400016887993191
413,87.43000030517578,156.82000732421875,1.79366357974192,8.592234386672631
414,86.70999908447266,156.1199951171875,1.800484335896438,7.914287372015084
415,86.0436019897461,155.27999877929688,1.8046664154971308,7.4789136194378925
416,85.5199966430664,154.39999389648438,1.805425630930523,7.3568274012405395
417,88.33000183105469,156.0399932861328,1.7665571159455464,11.094697451869566
418,87.31990051269531,155.27000427246094,1.7781743149133165,9.931525261850625
419,88.19999694824219,155.75999450683594,1.7659863933809377,11.125889115310288
420,86.30000305175781,154.2899932861328,1.7878329991900288,8.959626902659325
421,85.93499755859375,153.30499267578125,1.7839645898779724,9.246069412260313
422,88.38999938964844,156.59500122070312,1.7716370890601265,10.654514585321126
423,89.87000274658203,158.24000549316406,1.7607655575506511,11.84198366870456
424,91.28009796142578,157.98500061035156,1.7307715935746992,14.795669677162467
425,90.94989776611328,158.7449951171875,1.745411473967965,13.40372845822239
426,90.25,158.2550048828125,1.7535180596433517,12.554234045455617
427,91.42500305175781,159.2899932861328,1.7423023020951398,13.7680005666075
428,90.61499786376953,158.0,1.7436407186979908,13.507782427662137
429,91.125,158.7949981689453,1.742606289919839,13.688841140972473
430,91.13999938964844,158.86000061035156,1.743032715319446,13.652544966571698
431,93.70390319824219,156.8000030517578,1.67335615379893,20.619416006747375
432,92.48580169677734,155.22999572753906,1.6784197452974885,19.858185343262026
433,93.58499908447266,156.44000244140625,1.6716354540987788,20.751854475043874
434,94.22769927978516,157.24000549316406,1.6687238115225536,21.181869700265086
435,94.69000244140625,157.8699951171875,1.66722981356851,21.43664927725712
436,98.55120086669922,163.49000549316406,1.658934686288616,23.206312451704296
437,99.45500183105469,164.83999633789062,1.657432942567395,23.58604210965777
438,94.44999694824219,160.39999389648438,1.6982530341888973,18.44732102315962
439,93.31500244140625,159.27000427246094,1.7067995510418459,17.405125236534193
440,95.42040252685547,158.72000122070312,1.6633759344709576,21.98450404442747
441,95.72989654541016,158.7100067138672,1.6578938496876152,22.586817181651956
442,93.1500015258789,157.7899932861328,1.6939344144003652,18.569352684445565
443,92.36990356445312,156.8300018310547,1.6978474132716088,18.036370032177704
444,93.9000015258789,158.25,1.685303486990745,19.544717726278126
445,95.97000122070312,157.41000366210938,1.6402000798156926,24.34633952584574
446,97.6500015258789,158.4499969482422,1.6226317918310555,26.521579556534594
447,96.33000183105469,156.9250030517578,1.629035607483697,25.5203197470417
448,96.12010192871094,156.94000244140625,1.63274902223682,25.103607835595458
449,94.91999816894531,155.3699951171875,1.636852066101487,24.376821772245368
450,94.51499938964844,154.9600067138672,1.6395281988526242,24.011711763704884
451,95.33000183105469,156.1199951171875,1.6376795564723243,24.411498674012368
452,90.41100311279297,153.86000061035156,1.701784023106151,17.257370745493578
453,87.73999786376953,153.13999938964844,1.7453841248939046,12.865524641164741
454,89.08999633789062,154.3800048828125,1.732854542919692,14.20918538798887
455,88.04989624023438,153.1300048828125,1.7391276017522412,13.468611650287132
456,85.78500366210938,153.27000427246094,1.786675965838528,8.99399514552593
457,86.4749984741211,152.80999755859375,1.7671003209595242,10.774533945714383
458,86.33999633789062,152.25,1.7633774201723533,11.07616049990236
