,bmy,mrk,Ratio,Spread
0,61.18000030517578,75.13999938964844,1.2281791274082692,-1.564652554974558
1,61.63990020751953,75.51000213623047,1.2250182411395096,-1.3723871949998743
2,61.595001220703125,75.66999816894531,1.2285087534588983,-1.5872761906723416
3,61.685001373291016,75.71499633789062,1.227445807769317,-1.5222412521359705
4,61.970001220703125,76.11499786376953,1.2282555488854954,-1.5738053816233735
5,61.849998474121094,76.375,1.2348423910140656,-1.9805214370315274
6,61.720001220703125,76.43000030517578,1.2383343939328761,-2.1944548256117575
7,61.57500076293945,75.39669799804688,1.2244692986415093,-1.3384283396368635
8,61.58000183105469,75.73500061035156,1.2298635654174102,-1.6706167060250299
9,61.64500045776367,75.7300033569336,1.2284857294926994,-1.5861529109048296
10,61.53499984741211,75.60990142822266,1.2287300173187938,-1.600536409538535
11,61.334999084472656,75.54620361328125,1.231698128979124,-1.7813571294234554
12,61.380001068115234,75.5,1.2300423376698117,-1.680134630499794
13,61.459999084472656,75.55000305175781,1.229254867835572,-1.6323330666089508
14,61.71500015258789,76.1500015258789,1.2338977774868516,-1.9205702922314036
15,61.8650016784668,76.26499938964844,1.2327648479834086,-1.8521780889304016
16,62.08000183105469,76.28500366210938,1.228817677385261,-1.6093257526185885
17,62.276798248291016,76.0199966430664,1.2206792703115967,-1.103717793386878
18,62.04999923706055,76.0199966430664,1.2251409762735663,-1.380999545271607
19,61.84000015258789,75.92500305175781,1.2277652468372526,-1.5427483168192428
20,62.099998474121094,76.16000366210938,1.2264091068190204,-1.4598780965587683
21,62.33000183105469,75.7332992553711,1.2150376549104878,-0.7519743432981731
22,62.42499923706055,75.95999908447266,1.2168201844266364,-0.8625314828046702
23,62.31999969482422,75.86000061035156,1.2172657410435106,-0.8909041901116841
24,62.345699310302734,75.86499786376953,1.2168441240217625,-0.864481401775564
25,62.41999816894531,75.83999633789062,1.2149951708204618,-0.74864298213916
26,62.38999938964844,75.96410369873047,1.2175685917915589,-0.9094264908718519
27,62.040000915527344,75.74500274658203,1.2209058934366426,-1.118229476817135
28,62.150001525878906,76.26000213623047,1.22703137995059,-1.4987434391209296
29,62.05500030517578,76.02999877929688,1.2252034228570536,-1.3848874355855547
30,62.064998626708984,76.0479965209961,1.2252960316391546,-1.3906613492548705
31,62.154998779296875,76.25,1.2267718043202345,-1.482631720777079
32,62.209999084472656,76.34500122070312,1.2272143119153092,-1.5103902278078896
33,62.2599983215332,76.41999816894531,1.2274333477216741,-1.5242587082942838
34,62.290000915527344,76.56999969482422,1.229250257977396,-1.6375794224771885
35,62.32500076293945,76.45999908447266,1.226794996365862,-1.4847884183162567
36,62.439998626708984,76.48770141601562,1.2249792296327449,-1.3718957404012007
37,62.349998474121094,76.3499984741211,1.2245388988391206,-1.3442259059883672
38,62.31999969482422,76.35649871826172,1.225232655522674,-1.3874022980218403
39,62.345001220703125,76.55500030517578,1.2279252354838979,-1.5553373191564366
40,62.30500030517578,76.63999938964844,1.230077827048527,-1.6892410433549832
41,62.36000061035156,76.83000183105469,1.2320397863867427,-1.8120007710889188
42,62.28499984741211,76.70339965820312,1.2314907256340002,-1.7770936317726158
43,62.349998474121094,76.72000122070312,1.230473185216619,-1.7142286525703985
44,62.32229995727539,76.80699920654297,1.232415993299308,-1.8350905130096753
45,62.36000061035156,76.86000061035156,1.2325208444207911,-1.8419995503857938
46,62.41999816894531,77.1449966430664,1.235901936976457,-2.0536432873149413
47,62.400001525878906,77.0199966430664,1.2342947878154171,-1.9530909433747472
48,62.29999923706055,76.94999694824219,1.2351524541025478,-2.0053528478652543
49,62.744998931884766,77.1500015258789,1.2295800914688364,-1.6613061340100477
50,62.880001068115234,77.04000091552734,1.2251908334427855,-1.386253530534376
51,62.72999954223633,77.19000244140625,1.2305117647806445,-1.7196451234838155
52,62.682498931884766,77.21499633789062,1.2318429809538687,-1.8027126966672857
53,62.64500045776367,77.13999938964844,1.2313831722558217,-1.7735609332911655
54,62.65999984741211,77.33499908447266,1.2342004352505058,-1.9502225541689602
55,62.52000045776367,77.13999938964844,1.2338451507491834,-1.9263844345822325
56,62.83000183105469,77.37670135498047,1.2315247349990661,-1.7840824377432942
57,62.720001220703125,77.31500244140625,1.2327009077908864,-1.8568689515137184
58,62.619998931884766,77.09230041503906,1.2311130905463064,-1.7564285244612567
59,62.650001525878906,77.11499786376953,1.2308858098258075,-1.7424451614957381
60,62.665000915527344,77.125,1.230750799859794,-1.7341092237797828
61,62.59000015258789,76.95999908447266,1.229589373651577,-1.6608033417877128
62,62.36000061035156,76.63999938964844,1.2289929223786191,-1.6219983296826688
63,62.15999984741211,76.2699966430664,1.2269948010021068,-1.496514117926964
64,61.869998931884766,76.32499694824219,1.2336350131874338,-1.9060660654107697
65,61.665000915527344,76.37999725341797,1.2386280080989243,-2.2116944875262594
66,61.640098571777344,76.38059997558594,1.2391381867542586,-2.24274251659206
67,61.65999984741211,76.39230346679688,1.2389280515057135,-2.2301149468216868
68,61.880001068115234,76.6449966430664,1.2386069056252667,-2.2138372684019463
69,61.8650016784668,76.88999938964844,1.2428674905606825,-2.4771780889304016
70,61.20000076293945,76.19999694824219,1.2450979738285592,-2.600197793705363
71,61.63999938964844,76.93840026855469,1.2481895040621205,-2.8006640684424444
72,61.819000244140625,77.02999877929688,1.2460570128129498,-2.6734182806439297
73,61.959999084472656,76.71499633789062,1.238137467260157,-2.1860323475775094
74,62.154998779296875,76.8499984741211,1.2364250660997351,-2.0826301948981727
75,62.224998474121094,77.0999984741211,1.2390518339054102,-2.2470494072794343
