,nke,hd,Ratio,Spread
0,136.1855926513672,310.375,2.2790589955763876,54.7171085636503
1,137.1999969482422,313.239990234375,2.2830903586138036,54.59169283879589
2,137.0,309.0249938964844,2.2556568897553606,58.266562776321166
3,138.1999969482422,309.9200134277344,2.2425471799670422,60.61234285626597
4,138.1999969482422,310.55999755859375,2.2471780348512076,59.97235872540659
5,138.16000366210938,313.3550109863281,2.268058791838801,57.06933650120027
6,138.5399932861328,316.20001220703125,2.2823735205037097,55.250563078490416
7,138.4600067138672,316.42999267578125,2.2853530068772545,54.80456501679657
8,138.7899932861328,316.6099853515625,2.281216230761188,55.51575823666656
9,136.67999267578125,310.7449951171875,2.2735221815112765,55.68232634783129
10,137.9499969482422,314.86749267578125,2.2824755320140904,54.9896953055117
11,136.64500427246094,314.04998779296875,2.298291031311867,52.282841428513166
12,135.9550018310547,312.07000732421875,2.295391880557763,52.399350788350375
13,135.3350067138672,310.80499267578125,2.2965602191375547,51.989961232954556
14,135.61000061035156,313.5199890136719,2.311923807997829,50.017633544440855
15,136.57000732421875,315.8299865722656,2.3125867294015854,50.30030040020466
16,134.77000427246094,321.1700134277344,2.38309715252686,40.09905352344231
17,133.85499572753906,321.2900085449219,2.400284029733978,37.50791934130427
18,132.55999755859375,319.57501220703125,2.410795248134896,35.72554881625109
19,131.89999389648438,317.4100036621094,2.406444415086281,36.10810315186484
20,132.25,319.67999267578125,2.4172400202327506,34.78336624558443
21,131.75,319.1600036621094,2.422466820964777,33.95301865384158
22,132.22000122070312,320.25,2.4220995087228525,34.13234202176102
23,134.9199981689453,327.70001220703125,2.42884684742353,33.97413924216869
24,135.9199981689453,328.79400634765625,2.4190259768762883,35.58081831237314
25,135.40499877929688,328.010009765625,2.4224364884804905,34.97396983918736
26,136.2899932861328,326.6199951171875,2.396507529584128,38.754065443967875
27,136.1699981689453,326.2650146484375,2.396012477312678,38.78497831429928
28,135.77999877929688,326.8599853515625,2.4072763904119334,37.13674670731092
29,135.67999267578125,327.5899963378906,2.4144311174949316,36.13665191629872
30,135.4199981689453,325.20001220703125,2.401417933866185,37.824475847583415
31,134.9600067138672,324.0150146484375,2.4008224550210016,37.76718680623725
32,134.8000030517578,324.53118896484375,2.4075013473125573,36.818894885937596
33,135.55999755859375,326.7699890136719,2.4105192896040775,36.63259164209882
34,135.27999877929688,328.19000244140625,2.426005362232692,34.456393012052445
35,134.2449951171875,325.010009765625,2.421021427889446,34.84117902446451
36,134.0500030517578,324.4800109863281,2.4205893591889267,34.844567956331105
37,131.85000610351562,321.760009765625,2.440348842403623,31.62309635501003
38,131.24000549316406,321.5050048828125,2.4497484869395167,30.23068893085644
39,131.76499938964844,324.5899963378906,2.4634007349556493,28.56353442786263
40,132.29010009765625,323.54998779296875,2.4457611533601145,31.021668387888777
41,131.8000030517578,322.7799987792969,2.4490135910887747,30.468065438996117
42,130.92999267578125,322.2149963378906,2.4609716211913626,28.683454164858798
43,131.17999267578125,324.25,2.471794618874558,27.323618805456757
44,126.51000213623047,324.8599853515625,2.5678600890524192,14.1015151089025
45,124.49500274658203,324.6600036621094,2.607815546805334,8.859641926894366
46,124.52999877929688,322.0,2.585722341254311,11.614158437042075
47,124.66999816894531,321.44000244140625,2.578326840157726,12.552248596791795
48,125.20829772949219,321.8699951171875,2.5706762327571573,13.576027123580783
49,125.3550033569336,322.19000244140625,2.570220524217994,13.65222375727097
50,124.45999908447266,322.8399963378906,2.5939257489370124,10.585115798573437
51,121.56999969482422,324.80999755859375,2.671794014756606,0.8101706469333267
52,122.57499694824219,321.3345947265625,2.621534592917407,6.999742638227642
53,124.13999938964844,324.9100036621094,2.617286976474743,7.65089387106934
54,123.3499984741211,324.45001220703125,2.6303203584968107,5.977351017051999
55,122.13500213623047,321.82989501953125,2.635034096618423,5.316160143554893
56,121.75,319.4700012207031,2.623983582921586,6.636288986953272
57,121.23999786376953,316.3900146484375,2.60961745482664,8.338926452435484
58,129.25,318.64111328125,2.4653084199709863,27.72022600762733
59,127.9469985961914,318.0299987792969,2.4856386024577186,24.812359524641405
60,127.76000213623047,319.6499938964844,2.5019567043810915,22.687348077517466
61,128.0399932861328,320.2049865722656,2.50082008249328,22.888519999546812
62,127.15499877929688,318.0199890136719,2.501041972920464,22.683436601797492
63,126.6500015258789,319.57000732421875,2.5232530870433485,19.769585737402277
64,126.97000122070312,317.1199951171875,2.4975977952930775,23.083812547718875
65,125.31999969482422,310.4100036621094,2.4769390713215063,25.33768908402811
66,125.12000274658203,310.17999267578125,2.479059989344946,25.02757366999094
67,125.61000061035156,313.2850036621094,2.4941087663388757,23.24588678770885
68,124.98999786376953,314.19500732421875,2.5137612024497322,20.6614583172647
69,125.5,316.29998779296875,2.5203186278324203,19.933826955298112
70,126.33499908447266,317.42999267578125,2.5126053348331037,21.058881730988045
71,126.02999877929688,317.9700012207031,2.5229707553796827,19.695167032583125
72,125.20999908447266,317.70001220703125,2.5373373894260283,17.75060483755487
73,125.73999786376953,318.8500061035156,2.5357882258672158,18.031964446089884
74,124.41999816894531,318.20001220703125,2.557466780982903,15.117070528459461
75,124.3949966430664,319.351806640625,2.5672399634927374,13.897755143694663
76,123.90499877929688,319.5899963378906,2.579314793482654,12.336241342383001
77,122.87999725341797,317.68499755859375,2.5853271863558507,11.473045959679435
78,122.6500015258789,316.80999755859375,2.583041122031682,11.726902659709477
79,120.87000274658203,321.2799987792969,2.6580623105709495,2.4497064204501244
80,119.87000274658203,321.0199890136719,2.6780677538845343,0.009042975245674434
