,mo,pg,Ratio,Spread
0,44.653526306152344,153.64569091796875,3.4408411524892157,-16.233207440487813
1,44.523963928222656,154.0360107421875,3.459620329189689,-17.03136346084126
2,44.20930862426758,153.93841552734375,3.482036257016767,-17.92423958736391
3,44.2187385559082,155.4606475830078,3.5157187350889783,-19.41678812292302
4,44.04895782470703,156.22174072265625,3.5465479420498704,-20.712316711322085
5,44.13385009765625,158.0464324951172,3.581070587438061,-22.269784755459465
6,44.69035339355469,158.89535522460938,3.5554732321164755,-21.366947514485513
7,44.70922088623047,160.21266174316406,3.583436672959477,-22.62486297703732
8,44.56772994995117,158.82705688476562,3.5637232828130534,-21.684643007074623
9,44.69978713989258,159.61744689941406,3.5708771140201376,-22.05934366128876
10,45.24686050415039,158.9539031982422,3.5130371793124016,-19.673723509755728
11,46.24668502807617,159.51010131835938,3.4491142710341607,-17.08267597757911
12,45.878822326660156,160.232177734375,3.4925085171871157,-18.962709875100312
13,46.416465759277344,158.88560485839844,3.423044005168396,-15.923744068867546
14,46.944679260253906,158.79779052734375,3.3826579077682863,-14.173220327661607
15,47.67096710205078,156.6315460205078,3.2856800594206867,-9.720768393712444
16,46.671142578125,154.81661987304688,3.3171808385426202,-11.05308789854531
17,46.68057632446289,155.1581268310547,3.323826290245356,-11.364899328551683
18,47.45402526855469,154.45556640625,3.25484646522915,-8.227677852419514
19,47.92564392089844,155.93875122070312,3.2537643412382935,-8.226302408937084
20,47.59550857543945,152.93336486816406,3.2131890055500265,-6.260115441690811
21,47.24651336669922,158.07571411132812,3.345764646894446,-12.501031110357541
22,47.47289276123047,158.92921447753906,3.347788711273379,-12.641934867705697
23,47.46345901489258,159.53746032714844,3.361269145535526,-13.279876245316512
24,47.11445999145508,158.24249267578125,3.3586820841092293,-13.083487027348479
25,47.189918518066406,156.51583862304688,3.3167219511753476,-11.119304774292015
26,46.66170883178711,155.15219116210938,3.3250430609265615,-11.41835471560928
27,47.48231887817383,156.11363220214844,3.2878266245313705,-9.796681080106577
28,47.61437225341797,157.45767211914062,3.306935798315342,-10.725043644560952
29,47.991668701171875,157.4086151123047,3.2799154389157765,-9.488333628217998
30,47.765289306640625,156.71206665039062,3.2808775771112844,-9.504381775166745
31,47.63323974609375,159.51785278320312,3.3488768270540463,-12.725833252620571
32,47.557777404785156,161.02865600585938,3.3859584024558944,-14.474176683495397
33,47.34083557128906,158.46812438964844,3.3473875667237922,-12.596534140249343
34,47.52947998046875,157.28106689453125,3.3091266085629933,-10.815662148275134
35,47.557777404785156,156.92788696289062,3.2997313063478213,-10.373407640526647
36,47.727561950683594,156.57472229003906,3.2805933488039076,-9.485795511027998
37,47.33140182495117,154.19078063964844,3.2576846384119853,-8.348885918250783
38,47.510616302490234,153.3274383544922,3.2272247823157714,-6.921412656342493
39,47.24651336669922,153.76893615722656,3.2546091806555952,-8.194253156255979
40,47.46345901489258,153.847412109375,3.2413864328999367,-7.589828027543074
41,47.73699188232422,155.0148468017578,3.2472688514576435,-7.8962365026417665
42,48.45384979248047,156.79055786132812,3.2358741056249443,-7.415423655203835
43,48.80284881591797,156.8690185546875,3.21434142392773,-6.395305915164027
44,48.36895751953125,154.93637084960938,3.20321914705411,-5.828460371808614
45,49.00092697143555,153.00372314453125,3.122465891996753,-1.9065004801492864
46,46.75603103637695,148.88331604003906,3.184259072892766,-4.852572345110428
47,48.5576057434082,155.24050903320312,3.197037964629822,-5.538772050648856
48,48.378395080566406,152.93502807617188,3.1612257459447193,-3.7974100624731864
49,48.642494201660156,150.40394592285156,3.092027832687048,-0.4349972198702221
50,49.81210708618164,150.87484741210938,3.028879046434948,2.775806407709372
51,50.15166473388672,151.4340362548828,3.019521626219541,3.285476454540675
52,50.45350646972656,152.19924926757812,3.016623816996777,3.470400258926777
53,49.84983444213867,149.94284057617188,3.0078904424489594,3.826571339859687
54,48.0010986328125,144.00753784179688,3.0000883717973172,3.9424271623947686
55,48.104854583740234,145.95001220703125,3.0339975761274482,2.326555573590373
56,48.321800231933594,142.19259643554688,2.9426179437242594,6.766872425936089
57,47.61437225341797,140.50521850585938,2.9508993158210397,6.227409968720298
58,47.67096710205078,142.30050659179688,2.9850560045733827,4.610271034998494
59,48.614200592041016,147.4215850830078,3.03247987805323,2.458301051762153
60,48.36895751953125,146.92123413085938,3.0375108678232934,2.1866763469413866
61,48.75568389892578,147.38232421875,3.0228747180387154,2.9429227886627314
62,48.746253967285156,147.30384826660156,3.021849604391363,2.9917152207062156
63,49.283897399902344,147.863037109375,3.0002301950589643,4.124919308188982
64,50.283721923828125,149.0010528564453,2.9632065240150345,6.134149213412474
65,50.19883346557617,147.9611358642578,2.9475014786095,6.906854485172904
66,50.37153244018555,148.21620178222656,2.9424596513562133,7.195410056763951
67,51.44612503051758,149.93304443359375,2.914370019989926,8.861167828749348
68,49.92058563232422,150.963134765625,3.024065780748262,3.028987606469134
69,49.58477783203125,152.51319885253906,3.075806840744119,0.42186839219271066
70,49.93977737426758,151.4634552001953,3.0329221146716554,2.589078899102749
71,50.13166809082031,149.9036102294922,2.9901979315334466,4.75295708656957
72,50.57301712036133,152.1501922607422,3.008525117230639,3.895652654665771
73,50.58261489868164,151.15933227539062,2.988365322318091,4.916724507567512
74,50.505855560302734,151.68911743164062,3.0033966507215704,4.145316458294861
75,51.647613525390625,153.8572235107422,2.978980305355329,5.571233835914814
76,51.55166244506836,155.84873962402344,3.0231564266252398,3.277683102406986
77,51.916259765625,157.06524658203125,3.0253575140254596,3.208854866515669
