,ibm,msft,Ratio,Spread
0,125.55460357666016,293.3900146484375,2.3367523475099157,-50.05672679574556
1,125.26000213623047,292.05999755859375,2.331630149909743,-49.30225115557431
2,124.97000122070312,290.75,2.3265583512840116,-48.55880733509372
3,124.5250015258789,289.9599914550781,2.3285283107972368,-48.638162392363995
4,124.06999969482422,289.8399963378906,2.336100564607173,-49.40707132488822
5,124.26000213623047,289.2250061035156,2.3275792783781575,-48.42088711261289
6,123.88999938964844,286.81988525390625,2.315117335272756,-46.73861377128463
7,124.75399780273438,289.42498779296875,2.31996563549505,-47.655785326517105
8,124.48999786376953,288.2900085449219,2.315768443183685,-47.03656359602908
9,124.38999938964844,287.82000732421875,2.3138516660220416,-46.76192213553878
10,124.77999877929688,290.4700012207031,2.3278570609258336,-48.650002533697176
11,124.25,287.6499938964844,2.315090494136695,-46.86541535310121
12,124.20999908447266,286.739990234375,2.3085097202147877,-46.03355857607582
13,123.73419952392578,286.17999267578125,2.312860904882197,-46.40309608163952
14,123.43000030517578,287.07000732421875,2.325771746045933,-47.8874026625715
15,124.16000366210938,289.3299865722656,2.330299436521055,-48.721227341575684
16,123.88999938964844,287.7200012207031,2.322382780193503,-47.63872973808151
17,123.12999725341797,287.989990234375,2.3389100678825905,-49.393479758360485
18,123.19999694824219,286.6199951171875,2.3264610569560324,-47.88673131852457
19,124.01950073242188,287.94000244140625,2.3217316691400884,-47.60573358563653
20,122.68000030517578,284.8999938964844,2.3223018681755305,-47.182609793924655
21,122.44999694824219,282.94000244140625,2.3106574887135425,-45.671959201830845
22,122.43000030517578,282.1383972167969,2.3044874337460026,-44.90941996726633
23,122.0999984741211,280.2799987792969,2.295495514184644,-43.69572215296347
24,120.47000122070312,280.5498962402344,2.328794665870901,-47.150026929853226
25,119.83000183105469,285.4674987792969,2.3822706702597762,-53.31794982027088
26,119.47000122070312,283.1153869628906,2.3697613130502684,-51.66914506462618
27,119.70500183105469,283.63848876953125,2.369479006147493,-51.733143237019846
28,120.31999969482422,287.1099853515625,2.3862199640939084,-54.00316313399773
29,120.8949966430664,290.6600036621094,2.4042351770790122,-56.42985164457522
30,121.95999908447266,294.5799865722656,2.4153820005215962,-58.269216591229
31,122.63500213623047,295.5450134277344,2.4099564421210258,-57.91553898152128
32,123.33999633789062,295.8900146484375,2.39897862359137,-56.88324420447779
33,123.68399810791016,296.9800109863281,2.401119106185612,-57.3011892546416
34,123.88500213623047,295.82000732421875,2.3878597265463943,-55.74849861285978
35,124.11000061035156,296.1099853515625,2.38586724595395,-55.598913453476115
36,124.01000213623047,296.8299865722656,2.3935971410288723,-56.514274434392064
37,124.18000030517578,297.3399963378906,2.3944274086581525,-56.69217111715585
38,121.87999725341797,294.7799987792969,2.4186085118329794,-58.62552256842821
39,123.20999908447266,297.8299865722656,2.41725500190998,-59.07718232608315
40,122.26300048828125,295.6300048828125,2.417984211921482,-58.72728305338558
41,121.85250091552734,295.4200134277344,2.4244066490890526,-59.31925481630168
42,121.11329650878906,293.5304870605469,2.423602490575803,-58.87385844127553
43,121.7699966430664,295.135009765625,2.423708778039373,-59.19543376248873
44,122.41999816894531,299.1300048828125,2.4434733651114677,-61.9205680808015
45,121.2699966430664,299.25,2.4676342729750504,-64.28723770292208
46,121.38749694824219,297.1863098144531,2.448244813394323,-61.99399570025173
47,121.1500015258789,295.8999938964844,2.4424266625640696,-61.171657349664116
48,120.79000091552734,294.30999755859375,2.436542721482509,-60.28496807253504
49,121.54000091552734,295.2200012207031,2.428994561435677,-59.729751175556885
50,121.61000061035156,293.7749938964844,2.4157141059291956,-58.147990528689746
51,121.3499984741211,295.010009765625,2.431067272147831,-59.89095369837912
52,123.04000091552734,296.85009765625,2.412630814754718,-58.429406492928706
53,124.30500030517578,298.0299987792969,2.3975704762287635,-57.13797013204751
54,124.15499877929688,299.2699890136719,2.410454608804489,-58.671007459238865
55,124.42230224609375,300.0199890136719,2.4113039511217615,-58.898796079150685
56,124.05000305175781,300.0,2.4183796261160104,-59.60614097704246
57,124.08499908447266,300.3900146484375,2.42084068875999,-59.92778641665291
58,123.87000274658203,300.17999267578125,2.4233469445374998,-60.137787183204466
59,125.24500274658203,298.3399963378906,2.382051098210642,-55.611553153653375
60,124.66000366210938,297.3500061035156,2.385287962203836,-55.76443316676733
61,125.12000274658203,296.0199890136719,2.3658886070617386,-53.53574925594921
62,126.33999633789062,298.1300048828125,2.3597436562011387,-53.26235220250268
63,126.66000366210938,297.80999755859375,2.351255241970945,-52.31716979761208
64,126.3499984741211,295.760009765625,2.3407994723973213,-50.87281663779561
65,125.91999816894531,295.95001220703125,2.350301910026704,-51.90287946261182
66,125.43000030517578,289.95001220703125,2.3116480228140976,-46.8601527211506
67,125.55000305175781,287.8999938964844,2.2931102102625838,-44.57569375535178
68,126.7300033569336,291.7699890136719,2.302296072634868,-46.14040793004179
69,126.55000305175781,290.3800048828125,2.2945871029655343,-45.1020773295632
70,126.25260162353516,289.4049987792969,2.292269585400353,-44.70808280862602
71,126.43000030517578,288.70001220703125,2.2834771138983574,-43.656525309033896
72,126.61000061035156,289.67999267578125,2.2879708654870443,-44.28485224740311
73,127.33999633789062,280.2300109863281,2.20064409490598,-33.408730893901605
74,127.72000122070312,282.4700012207031,2.211634814601892,-34.90633317247591
75,126.37999725341797,281.8163146972656,2.2299123344034086,-36.87051513187183
76,126.08000183105469,282.5849914550781,2.2413149377467314,-38.22527117032277
77,126.61000061035156,282.8900146484375,2.23434178409844,-37.49487422005936
78,126.36499786376953,281.5,2.22767383974063,-36.58350365338842
