,crm,nvda,Ratio,Spread
0,228.35000610351562,275.239990234375,1.2053426007337316,-38.97273873961373
1,228.61000061035156,274.70001220703125,1.2016097785469877,-38.162568559709
2,228.38499450683594,274.2099914550781,1.200648020011974,-37.9063792228427
3,227.9219970703125,274.2300109863281,1.2031748339837944,-38.40755612748069
4,228.0449981689453,273.4096984863281,1.1989287231977557,-37.459418112967285
5,229.08999633789062,273.489990234375,1.1938102693536985,-36.45372420644878
6,228.3000030517578,272.2799987792969,1.1926412402086932,-36.0647115831413
7,221.24000549316406,259.8699951171875,1.1746067106530471,-30.991616537472368
8,222.64999389648438,263.04998779296875,1.181450684949344,-32.70631747914962
9,221.27000427246094,258.60009765625,1.1687083321868725,-29.69054366882696
10,225.0,264.22650146484375,1.1743400065104166,-31.440651832055323
11,227.7899932861328,268.15960693359375,1.177222945859398,-32.47433338302761
12,227.57000732421875,268.82989501953125,1.1813063513089823,-33.37323583973054
13,229.74000549316406,274.1700134277344,1.1933925605999531,-36.45824323248934
14,231.1300048828125,273.2300109863281,1.1821485969546064,-34.07372209059929
15,234.64999389648438,277.3599853515625,1.182015736484185,-34.54564452170112
16,234.97999572753906,276.19000244140625,1.175376659558929,-33.0327162694804
17,235.99000549316406,275.85150146484375,1.1689117972957306,-31.64459037582671
18,235.67999267578125,276.6499938964844,1.173837417234922,-32.76525511591157
19,235.5500030517578,278.08990478515625,1.1805981795043792,-34.34025415222516
20,234.8699951171875,278.17999267578125,1.1843998742239696,-35.13702161787691
21,239.1199951171875,284.0,1.1876882142826148,-36.540333134330695
22,237.4199981689453,279.135009765625,1.175701339054833,-33.44201805160617
23,237.75,280.35009765625,1.1791802214773923,-34.31416060016667
24,238.7100067138672,280.3067932128906,1.1742565679237904,-33.2731955383218
25,238.75,280.6272888183594,1.1754022568308247,-33.55212921927253
26,237.5449981689453,279.44000244140625,1.1763666025190924,-33.61710790951196
27,237.94000244140625,280.0,1.1767672401741325,-33.76660812358162
28,234.00729370117188,275.6068115234375,1.1777701761526644,-33.46037922493764
29,232.25999450683594,272.90008544921875,1.1749767153343607,-32.56948586284469
30,230.6750030517578,267.989990234375,1.1617643294199702,-29.306549498586065
31,231.24000549316406,268.9200134277344,1.1629476173649556,-29.64940941798406
32,231.0399932861328,267.6600036621094,1.1585007420365716,-28.597256846781818
33,229.6999969482422,268.0199890136719,1.166826262840849,-30.34979660022242
34,228.66000366210938,265.7200012207031,1.1620746827825528,-29.13059327477518
35,231.49000549316406,268.9898986816406,1.1619935733665354,-29.459489036139416
36,230.10000610351562,268.07000732421875,1.1650152117059114,-29.98411637920134
37,230.75,268.30999755859375,1.1627735538833965,-29.54861830353508
38,228.7100067138672,264.68011474609375,1.1572738707372248,-28.038742501560137
39,228.72999572753906,266.3100891113281,1.164298929242993,-29.64794383317428
40,230.47000122070312,267.7300109863281,1.161669673138692,-29.259612774728225
41,231.11000061035156,269.29998779296875,1.1652459308630483,-30.164487788137706
42,229.00999450683594,265.19390869140625,1.1580014630474575,-28.240782369793635
43,227.3800048828125,261.82000732421875,1.1514645162364034,-26.560802964753123
44,227.8000030517578,262.0299987792969,1.1502633681693224,-26.334322854643062
45,226.8000030517578,260.15380859375,1.1470626326860347,-25.497355212099706
46,227.17999267578125,259.94580078125,1.1442284055014929,-24.89445361620713
47,226.77999877929688,260.0199890136719,1.1465737296644236,-25.38432452291937
48,226.0399932861328,259.0299987792969,1.145947648526974,-25.16336467898691
49,230.17999267578125,260.57000732421875,1.1320271770589687,-22.400992530165325
50,228.41000366210938,252.69000244140625,1.1063000673788994,-16.3604001312292
51,230.52499389648438,258.125,1.1197267404154416,-19.597452160028155
52,230.47000122070312,255.58999633789062,1.1089946413161687,-17.119598126290725
53,228.41000366210938,253.52999877929688,1.10997764858998,-17.200396469119823
54,227.54029846191406,252.8300018310547,1.111143843706321,-17.40421677068798
55,226.3699951171875,250.6199951171875,1.1071255048066164,-16.410415674813066
56,230.4499969482422,252.89999389648438,1.0974180830789264,-14.450384575782268
57,230.36810302734375,254.42990112304688,1.1044493477156736,-16.06539781107736
58,230.0800018310547,253.889892578125,1.1034852684178682,-15.824790524005381
59,229.2469940185547,252.8000030517578,1.1027407540676273,-15.60058149488623
60,227.7449951171875,251.2899932861328,1.1033831639497944,-15.651482847128536
61,224.89999389648438,243.5699005126953,1.0830142602173845,-10.887979477118252
62,222.88999938964844,241.52000427246094,1.083583852724788,-10.926914839701029
63,220.52999877929688,234.9575958251953,1.065422378478029,-6.817072228214814
64,222.73480224609375,245.42999267578125,1.1018933287516164,-14.998187613213135
65,223.33999633789062,239.72000122070312,1.073341117360955,-8.659264815047154
66,221.6300048828125,238.57000732421875,1.0764337051310509,-9.286332587023368
67,220.63980102539062,237.40499877929688,1.0759844673354149,-9.150366212903323
68,219.32000732421875,233.95010375976562,1.066706620221471,-7.067030559743957
69,218.60000610351562,233.50999450683594,1.0682067154026513,-7.375162806358988
70,212.94000244140625,218.27000427246094,1.0250305333424674,1.9828240288694572
71,211.08999633789062,218.53500366210938,1.035269351714335,-0.20474340824651605
72,208.85000610351562,211.3719940185547,1.0120755941648814,4.6304178876379165
73,214.25,216.21499633789062,1.0091715114954054,5.399210957609965
74,216.4949951171875,221.8800048828125,1.0248735993305995,2.067251947402182
75,220.125,228.78309631347656,1.039332635154919,-1.0634565778302958
76,223.11000061035156,233.75999450683594,1.0477342739785294,-2.938274846033041
77,221.52000427246094,226.10499572753906,1.0206978664077613,3.0643638956348394
78,218.19000244140625,223.85009765625,1.025941129985384,1.8586489958488797
