,qcom,adbe,Ratio,Spread
1567,127.0199966430664,353.1700134277344,2.78042845820696,6.850955374670377
1568,127.75499725341797,355.739990234375,2.784548533383163,6.364238202752574
1569,127.56999969482422,355.510009765625,2.7867838097992,6.069868159526379
1570,127.7699966430664,356.8500061035156,2.792909254747801,5.296736071097314
1571,125.73079681396484,349.739990234375,2.781657311468892,6.626916343817129
1572,125.33999633789062,348.2250061035156,2.778243308423061,7.03422948016339
1573,125.05000305175781,346.7099914550781,2.7725708356166607,7.727297454227141
1574,125.00499725341797,347.05499267578125,2.7763289492516017,7.254733396582935
1575,124.44000244140625,346.5299987792969,2.7847154611111793,6.178326057320305
1576,123.86000061035156,346.2049865722656,2.7951314780094685,4.859401666634142
1577,123.69000244140625,346.7099914550781,2.8030559027543047,3.8725600093308685
1578,123.68000030517578,350.1700134277344,2.831258186963963,0.3841883368560275
1579,124.19000244140625,349.8699951171875,2.817215462108222,2.1297385953602657
1580,124.33499908447266,350.8800048828125,2.8220533837332975,1.53070216692214
1581,124.7699966430664,352.29998779296875,2.8235953936971305,1.3436608928114424
1582,124.08899688720703,350.4200134277344,2.8239410601913004,1.293433728064315
1583,123.30999755859375,348.44000244140625,2.825723861326301,1.0654766747468898
1584,123.9800033569336,348.9200134277344,2.8143249232152967,2.484506335533297
1585,125.18000030517578,348.1099853515625,2.7808754154250415,6.695763157444276
1586,124.1500015258789,345.1000061035156,2.7797019884174547,6.786350434242877
1587,124.23999786376953,344.9700012207031,2.776642040826227,7.171437741967566
1588,124.68939971923828,344.7250061035156,2.7646697063241064,8.69020152285691
1589,125.93000030517578,347.19000244140625,2.757007874216106,9.741519439808712
1590,126.69000244140625,348.1600036621094,2.748125321278862,10.925641291132365
1591,126.16999816894531,347.0,2.750257628880654,10.611763305465786
1592,123.69000244140625,321.04998779296875,2.595601758073008,29.532563671440244
1593,123.69999694824219,322.29998779296875,2.6054971361706953,28.310891746773848
1594,123.23999786376953,322.7300109863281,2.6187115918573483,26.577063480064965
1595,123.7300033569336,320.9599914550781,2.5940352602204317,29.73593718412019
1596,123.58999633789062,321.4049987792969,2.6005745473168163,28.894098935896352
1597,123.80799865722656,322.0,2.6008012688379334,28.91699574922518
1598,124.33999633789062,320.5899963378906,2.578333647901162,31.83487474951079
1599,125.16999816894531,323.6199951171875,2.5854437952486737,31.157403692000685
1600,123.86000061035156,323.2850036621094,2.610083982472473,27.77938457679039
1601,124.70999908447266,322.68499755859375,2.587482959886979,30.788596177244983
1602,124.69999694824219,322.7550048828125,2.5882519068286327,30.690239153207642
1603,124.52999877929688,322.45001220703125,2.589336026402006,30.51339505449812
1604,124.19400024414062,321.44500732421875,2.588249083629821,30.56605761846248
1605,123.41000366210938,322.3999938964844,2.6124299840327367,27.388938968884474
1606,123.48999786376953,323.760009765625,2.621750873481975,26.255655824837504
1607,123.9000015258789,324.1449890136719,2.616182284275178,27.032776400017212
1608,124.04000091552734,323.3900146484375,2.6071429559942505,28.18456006477163
1609,124.33000183105469,324.70001220703125,2.6115982258911936,27.696530805036616
1610,124.66999816894531,324.19000244140625,2.600385074218766,29.170214119643163
1611,124.20999908447266,322.70001220703125,2.5980196005602547,29.35639928066871
1612,123.48999786376953,323.9200134277344,2.6230465546292523,26.09565216272813
1613,123.52999877929688,321.7900085449219,2.604954357037139,28.339034220329893
