,mo,wmt,Ratio,Spread
0,47.64500045776367,142.25999450683594,2.985832577186069,-7.059904268839325
1,47.915000915527344,142.20509338378906,2.9678616438825123,-6.222409386639164
2,47.88999938964844,141.02999877929688,2.9448736808666762,-5.119781467145209
3,48.375,140.47999572753906,2.9039792398457687,-3.164008758585943
4,48.564998626708984,140.44000244140625,2.891794634256807,-2.573306259803196
5,48.834999084472656,140.42999267578125,2.875601419237698,-1.7807027350249096
6,48.25,138.75,2.8756476683937824,-1.7963243423105903
7,48.03499984741211,138.30999755859375,2.879358759195358,-1.9794977985525075
8,48.08000183105469,138.59620666503906,2.8826165013895717,-2.1352690833737493
9,48.09000015258789,138.47999572753906,2.8796006506164873,-1.9900781059927009
10,48.255001068115234,139.0751953125,2.8820887417697048,-2.1070241064381956
11,48.15999984741211,138.9600067138672,2.8853822083501157,-2.267195642562235
12,47.8849983215332,139.40769958496094,2.9113021712746154,-3.511977821181666
13,48.119998931884766,139.1999969482422,2.8927680805912686,-2.623128150188911
14,48.11000061035156,138.6300048828125,2.8815215781349264,-2.082116124640272
15,48.01499938964844,138.4499969482422,2.8834738874971357,-2.1774683248268114
16,48.0099983215332,139.34500122070312,2.902416290196053,-3.0869681456601437
17,47.95000076293945,139.47210693359375,2.908698742741037,-3.3879762115645415
18,47.79499816894531,139.6334991455078,2.921508620042889,-3.9986419681129983
19,47.900001525878906,139.60499572753906,2.914509212533422,-3.665787318642607
20,47.779998779296875,139.66000366210938,2.9229804778191877,-4.0686220729680045
21,46.38420104980469,139.44000244140625,3.0061960599835187,-7.894327297314881
22,46.63999938964844,139.2899932861328,2.9864921764353127,-7.0028890866184454
23,46.875,139.13900756835938,2.968298828125,-6.170756334571003
24,46.78499984741211,139.58999633789062,2.9836485367780115,-6.882609690486682
25,46.790000915527344,139.9199981689453,2.9903824627306776,-7.198115973168974
26,46.82400131225586,139.9149932861328,2.9881041637830092,-7.094561263778907
27,46.869998931884766,139.8000030517578,2.9827182896873192,-6.846247366341835
28,46.8650016784668,139.27999877929688,2.9719405481914722,-6.340727585389551
29,46.98809814453125,138.90499877929688,2.9561741007698874,-5.608933649135601
30,46.904998779296875,139.52000427246094,2.974523140464143,-6.4648018621656504
31,46.720001220703125,139.5399932861328,2.9867292303129944,-7.021004540115065
32,46.6870002746582,139.89999389648438,2.9965513541983197,-7.476658078742453
33,46.6703987121582,139.99000549316406,2.9995459510975846,-7.614789146449347
34,46.689998626708984,139.49000549316406,2.9875778452768875,-7.057978980516943
35,46.494998931884766,140.34500122070312,3.018496708136476,-8.478179469078334
36,46.69499969482422,139.9600067138672,2.997323217230488,-7.513484652847673
37,46.790000915527344,139.99000549316406,2.9918786653989597,-7.268123297387724
38,46.71500015258789,140.22000122070312,3.001605496365075,-7.715508023057772
39,46.76499938964844,140.7978057861328,3.010751793515447,-8.148390275354707
40,46.74100112915039,140.81500244140625,3.012665519343912,-8.235145660460923
41,46.810001373291016,140.7899932861328,3.00769043272161,-8.010139953730608
42,47.2056999206543,141.8300018310547,3.0045100924136205,-7.903220022169741
43,47.32500076293945,142.3350067138672,3.0076070664394106,-8.062432548156643
44,47.28519821166992,142.17999267578125,3.0068604564015855,-8.022785826407535
45,47.277198791503906,142.1999969482422,3.0077923519825096,-8.065976342146065
46,47.242698669433594,142.0800018310547,3.00744889332458,-8.045979500687004
47,47.334999084472656,142.50999450683594,3.0106685806102322,-8.208440301244345
48,47.400001525878906,142.80999755859375,3.0128690498168864,-8.32003439475222
49,47.310001373291016,142.78500366210938,3.0180722789562,-8.555905084652274
50,47.400001525878906,142.6300048828125,3.0090717361040804,-8.14004171897097
51,47.44499969482422,142.76499938964844,3.00906313221502,-8.14460946104655
52,47.34370040893555,142.6699981689453,3.013494867038701,-8.343223257146668
53,47.38999938964844,142.61000061035156,3.0092847108477145,-8.149028543254822
54,47.44990158081055,142.97000122070312,3.0130726610088976,-8.33540322218628
55,47.400001525878906,142.72000122070312,3.0109703929604836,-8.230038056861595
56,47.38999938964844,143.3300018310547,3.0244778155106444,-8.869029763957947
57,47.34000015258789,142.58999633789062,3.0120404706018107,-8.273946583926609
58,47.310001373291016,143.0399932861328,3.023462040457399,-8.810894708675711
59,47.323299407958984,143.27830505371094,3.0276482588112597,-9.010662249231565
60,47.33000183105469,143.44529724121094,3.0307477644569203,-9.158227527127998
61,47.33000183105469,143.5399932861328,3.0327485259455824,-9.252923572049873
62,47.2599983215332,143.17999267578125,3.02962331275716,-9.095827468320643
63,47.220001220703125,143.33999633789062,3.0355779888257324,-9.371762346817953
64,47.1349983215332,143.94000244140625,3.0537818514284014,-10.218148545209353
65,47.08000183105469,144.0157928466797,3.058958947441771,-10.453345755124197
66,47.20000076293945,144.83999633789062,3.068643940608074,-10.92973348344379
67,47.255001068115234,144.82000732421875,3.0646493291888715,-10.750326608266796
68,47.35499954223633,144.86380004882812,3.0591025540951144,-10.504274706610666
69,47.400001525878906,144.72000122070312,3.0531644844291947,-10.230038056861595
70,47.40999984741211,143.4600067138672,3.02594404504513,-8.941063510144609
71,47.39670181274414,143.67999267578125,3.031434407470695,-9.199593699080914
72,47.54999923706055,143.9011993408203,3.0263133890581324,-8.976469237580552
73,47.586299896240234,143.94500732421875,3.0249254015984497,-8.915060105561942
74,47.7400016784668,144.38999938964844,3.0245076311921406,-8.914549016895002
75,47.790000915527344,144.3321990966797,3.020133842470487,-8.711826410793499
76,47.970001220703125,144.64999389648438,3.0154261041389265,-8.507892037829329
77,48.564998626708984,143.77499389648438,2.9604653137458,-5.908297714881321
