,tsm,lrcx,Ratio,Spread
0,124.69000244140625,684.97998046875,5.493463526000271,-26.347923862252276
1,124.13999938964844,676.4099731445312,5.448767330998831,-20.706606278262928
2,123.88999938964844,678.219970703125,5.474372217648048,-23.847819059603683
3,124.5,676.8900146484375,5.436867587537651,-19.269694611376156
4,124.55000305175781,674.9500122070312,5.419108756878553,-17.06343287523463
5,124.45999908447266,674.9500122070312,5.423027616679747,-17.5426914806652
6,123.51000213623047,669.0599975585938,5.417051137450604,-16.711278428480785
7,125.19270324707031,655.9116821289062,5.23921654470909,5.397186337540472
8,124.7300033569336,654.1699829101562,5.244688249050638,4.675073007036769
9,123.47000122070312,644.0,5.215841853349037,8.13571981941767
10,123.73999786376953,651.619873046875,5.2660407652848855,1.9535413379051185
11,124.16000366210938,654.8900146484375,5.274565039726188,0.919872185910787
12,124.01000213623047,654.8300170898438,5.280461299972272,0.18113248576333874
13,125.0199966430664,664.3400268554688,5.313870138328091,-3.9507970302978386
14,128.3000030517578,656.1099853515625,5.113873497624779,21.744822321440335
15,128.0,666.25,5.205078125,10.007333155520552
16,128.0800018310547,665.8400268554688,5.198625994195036,10.843304921442392
17,128.33999633789062,667.3488159179688,5.199850669786431,10.718950440264859
18,128.6199951171875,670.5800170898438,5.21365295091847,8.97870381779229
19,129.2550048828125,671.530029296875,5.195388990203587,11.410030277133284
20,129.23519897460938,673.260009765625,5.209571503022944,9.574586102381897
21,131.83999633789062,687.3099975585938,5.213213111725959,9.394781918099067
22,131.5800018310547,678.77001953125,5.158610807763729,16.55032536412035
23,131.97000122070312,678.8499755859375,5.143971882296544,18.547061806881185
24,131.9149932861328,682.0999755859375,5.170753972646726,15.004152207393656
25,132.36000061035156,684.5999755859375,5.172257271298294,14.873754304329406
26,132.74000549316406,684.5800170898438,5.157299900255758,16.91718593929603
27,132.25,686.530029296875,5.191153340619093,12.357962645346003
28,143.2899932861328,726.4400024414062,5.069719006761297,31.23441798691739
29,140.8800048828125,721.2368774414062,5.119512013371586,23.604689990341523
30,141.57000732421875,711.4749755859375,5.025605274968603,37.04075886074101
31,142.24000549316406,706.6900024414062,4.9682928511653435,45.39337905212291
32,141.4149932861328,696.469970703125,4.925007981960714,51.22033555459542
33,140.62100219726562,693.760009765625,4.93354476874234,49.70240439519331
34,139.1999969482422,686.77001953125,4.933692777210384,49.12573935315426
35,143.7899932861328,699.4600219726562,4.864455488086545,60.87682890116152
36,142.6999969482422,707.4500122070312,4.957603555265849,47.08275979583222
37,141.83999633789062,715.7000122070312,5.045826499474054,34.25337617954507
38,140.88499450683594,716.2999877929688,5.084288715773864,28.568148692602232
39,140.25,722.2899780273438,5.150017668644162,19.196901042784145
40,140.38999938964844,727.0789794921875,5.178994106796742,15.15337685264161
41,140.72000122070312,729.97998046875,5.187464284653185,14.009589720216706
42,135.89939880371094,705.530029296875,5.191561077587412,12.790503610846041
43,134.3699951171875,694.47998046875,5.168415611409945,15.696690562068977
44,133.7332000732422,696.0800170898438,5.204990359227319,10.70580891589567
45,133.63999938964844,691.719970703125,5.175995015431769,14.569574627532699
46,134.1300048828125,689.010009765625,5.136882015083824,19.888746651951475
47,134.02999877929688,682.5,5.092143596329147,25.866237828106033
48,133.875,679.030029296875,5.07211973330999,28.510861593202105
49,134.11160278320312,682.02001953125,5.085466174271015,26.7807482658044
50,132.5399932861328,657.7899780273438,4.9629546653686605,42.64218782285515
51,133.1300048828125,662.3699951171875,4.9753622085437295,41.20390040940062
52,132.5,654.9600219726562,4.94309450545401,45.259185192311875
53,131.8000030517578,647.3200073242188,4.911380821971729,49.17181346724341
54,131.36000061035156,646.0999755859375,4.918544249268395,48.04889341334105
55,131.0399932861328,642.0999755859375,4.9000305897748175,50.3448989277788
56,131.64999389648438,648.5449829101562,4.926281906401784,47.14805999710019
57,131.8000030517578,652.239990234375,4.948709978240597,44.25183055708716
58,131.67999267578125,652.2000122070312,4.952916528578944,43.6527700268805
59,131.72560119628906,648.1400146484375,4.920380007851478,47.955626612622055
60,130.93499755859375,643.1199951171875,4.911750159306259,48.76579175323515
61,129.44500732421875,628.719970703125,4.857043030855416,55.23182544031967
62,128.33999633789062,619.6799926757812,4.828424578136202,58.38777368245236
63,124.7300033569336,618.7100219726562,4.960394494676031,40.13503394453677
64,127.52999877929688,633.8800048828125,4.970438414100543,39.874637153869244
65,126.44999694824219,623.5,4.930802807810328,44.50378252430279
66,126.0,621.2000122070312,4.93015882703993,44.40759916651258
67,125.2300033569336,612.97998046875,4.89483321917368,48.52750589393726
68,124.8499984741211,608.030029296875,4.870084395098391,51.45398392693939
69,124.52999877929688,606.0,4.866297325466188,51.78005936371666
70,123.38999938964844,596.094970703125,4.830982848299886,55.61475049490208
71,122.37000274658203,592.2449951171875,4.839789015480183,54.03338584723589
72,120.94999694824219,578.0900268554688,4.779578680790288,60.62702076839811
73,122.44000244140625,589.8099975585938,4.817134807236285,56.84112204318025
74,123.22000122070312,598.2100219726562,4.854812660658751,52.594482624014304
75,124.62000274658203,610.1699829101562,4.896244338486756,48.08933505899087
76,126.02999877929688,622.1300048828125,4.936364444248576,43.637345817386645
77,123.97000122070312,594.614990234375,4.796442561743507,60.1831600305368
78,122.44000244140625,593.4749755859375,4.8470676556050005,53.1761440158365
79,122.30999755859375,587.6900024414062,4.804922035583132,58.26885924424188
80,123.04620361328125,593.4650268554688,4.823107169731581,56.41402965849376
81,124.29000091552734,597.35498046875,4.806138676229774,59.147123656259524
82,123.55000305175781,592.2750244140625,4.793808254022831,60.286694026745764
