,intc,mu,Ratio,Spread
0,48.68757247924805,82.4626693725586,1.6937108418725622,2.035038913660807
1,47.706512451171875,81.49893951416016,1.708339916852551,1.2604264796365299
2,48.831851959228516,90.09294128417969,1.8449626149629048,-5.339583889036097
3,49.02421569824219,89.75514221191406,1.8308328023926412,-4.660935109834844
4,49.35123825073242,93.80873107910156,1.9008384471023754,-8.13507204003479
5,49.957183837890625,93.81866455078125,1.8779814501798109,-7.071329272830715
6,49.7840576171875,92.33831787109375,1.854776856099708,-5.897745301604294
7,49.85138702392578,95.54740142822266,1.9166447943036256,-8.987527743707238
8,49.76482009887695,93.28216552734375,1.874460016975905,-6.8756799563288435
9,49.53398513793945,92.64563751220703,1.8703449208500522,-6.648168885806902
10,51.178707122802734,95.23155212402344,1.860765100914261,-6.319797211623188
11,51.11137771606445,95.81835174560547,1.874697103214447,-7.025897948231181
12,51.813507080078125,93.88886260986328,1.8120538041317569,-3.852304340502434
13,51.94816207885742,95.13208770751953,1.8312888060045092,-4.856933967376738
14,51.39992141723633,93.93858337402344,1.82760169245166,-4.634858395880675
15,53.102352142333984,93.38162231445312,1.758521394008231,-1.0613568141565595
16,53.775630950927734,93.68994140625,1.7422378826525635,-0.17669179277374392
17,53.61212158203125,94.59501647949219,1.7644333723065504,-1.3714894548747112
18,52.842655181884766,95.10225677490234,1.7997251736794784,-3.2421488558373484
19,53.573646545410156,96.83283233642578,1.8074713703564722,-3.6774793087574182
20,52.66952896118164,92.36714935302734,1.753711323697304,-0.8138041424234275
21,51.57304763793945,89.51268768310547,1.7356485952025824,0.09780000349837215
22,50.05337142944336,84.60938262939453,1.6903832891389203,2.3083876409287796
23,50.05337142944336,81.48638153076172,1.627989867688078,5.4313887395615925
24,49.957183837890625,82.5008544921875,1.6514312488049765,4.246480785763035
25,49.053070068359375,80.2829360961914,1.636654667777383,4.862398123964661
26,49.71672821044922,81.52616119384766,1.6398134818677164,4.795110260615838
27,46.2156867980957,78.29376983642578,1.6940951278831118,1.8239990998972586
28,45.907901763916016,78.84078216552734,1.7173684515352179,0.7316218322826926
29,46.95629119873047,81.82453918457031,1.7425681861940272,-0.3944917793115992
30,47.08133316040039,81.00897216796875,1.7206176361230259,0.6426373477395884
31,47.61994552612305,84.05241394042969,1.765067410552176,-1.4464360601335131
32,46.43690490722656,81.52616119384766,1.7556329681472906,-1.0164154325121388
33,46.52897644042969,80.7304916381836,1.7350584047672222,-0.057604136776311154
34,46.69373321533203,80.43212127685547,1.722546383385883,0.5326990946918158
35,47.304298400878906,83.6645278930664,1.7686453603867833,-1.6178458066978778
36,48.370365142822266,87.64286041259766,1.8119123176725302,-3.707212461724913
37,47.35275650024414,90.52716827392578,1.9117613200291528,-8.394623181088425
38,46.16069793701172,89.27398681640625,1.9339826043840258,-9.253652756746055
39,46.112239837646484,89.37344360351562,1.9381718155132919,-9.438972550324257
40,46.945709228515625,95.4802017211914,2.033842992049103,-14.068904530838187
41,46.7421875,95.53986358642578,2.0439750190644324,-14.489186967679634
42,46.1025505065918,93.22248840332031,2.0220679198646776,-13.305185895860722
43,43.650596618652344,90.30835723876953,2.0688917044533555,-14.735676895596646
44,43.3113899230957,90.07959747314453,2.0798131307513126,-15.107958175253406
45,43.27262878417969,86.83724975585938,2.006747733976512,-11.934291400165355
46,45.278770446777344,88.3490219116211,1.9512239630153034,-9.891376995591576
47,46.23822784423828,89.61214447021484,1.938053179115976,-9.454435007620509
48,46.22854232788086,88.37886047363281,1.9117812507865017,-8.23831279750029
49,45.37568664550781,85.79293823242188,1.8907248479272405,-7.163567303454704
50,47.36244583129883,92.79481506347656,1.9592487979612399,-10.645101424907429
51,46.451446533203125,88.69712829589844,1.9094589063550138,-8.161616197425294
52,46.587127685546875,81.46649169921875,1.7486910171646577,-0.6905658863408832
53,46.20915222167969,75.29010772705078,1.629333240433858,4.816082579808262
54,46.03470993041992,76.74221801757812,1.6670511910159025,3.0548776326791027
55,46.16069793701172,79.00987243652344,1.7116264694337129,1.0104616231367571
56,45.220619201660156,75.31000518798828,1.665390844210808,3.0446014165706656
57,44.41622543334961,72.42571258544922,1.6306138551581846,4.50358703768317
58,43.030338287353516,69.02423095703125,1.6040829262389802,5.449412366318649
59,43.42769241333008,72.71414184570312,1.6743726826107759,2.4635740751291535
60,45.19154739379883,79.23861694335938,1.7533946393309932,-0.9355227352657551
61,45.68581008911133,80.08401489257812,1.7529297332447915,-0.9051355926044153
62,45.98625564575195,78.98002624511719,1.7174702557548427,0.7312131579411925
63,45.9281005859375,77.92576599121094,1.696690370319182,1.6824283411068932
64,46.89725112915039,78.69159698486328,1.6779575580699688,2.63383719902111
65,46.78095626831055,75.24038696289062,1.608355043692395,5.878984116592557
66,50.02761459350586,77.7865219116211,1.5548716952360677,9.085609767843573
67,50.231136322021484,77.67710876464844,1.546393620615637,9.555643486423302
68,49.92100524902344,79.4275894165039,1.5910655047968547,7.25564094502135
69,50.638179779052734,81.6057357788086,1.6115455992864511,6.348257615477303
70,49.843475341796875,78.73138427734375,1.57957252654336,7.814470681247366
71,48.03116226196289,77.46825408935547,1.6128748595930722,5.866359575505479
72,46.625892639160156,75.76750946044922,1.6250093064559068,5.077104053895718
73,47.68227005004883,77.24944305419922,1.620087361048787,5.466967778918155
74,46.64527130126953,74.20601654052734,1.590858290034379,6.672934065281149
75,46.0734748840332,73.38050842285156,1.592684480767949,6.485274928872736
76,46.09286117553711,72.88321685791016,1.5812257039185822,7.016917103817656
77,45.56951904296875,71.84744262695312,1.5766557149573204,7.12538032788934
