,ba,noc,Ratio,Spread
0,215.27999877929688,399.6600036621094,1.856466025307986,226.14607315203537
1,215.4893035888672,398.6600036621094,1.8500222378680764,227.75734915764352
2,217.16000366210938,400.2200012207031,1.8429728977322473,231.07664161363337
3,217.36000061035156,400.19000244140625,1.8411391300959887,231.69073273130644
4,216.44000244140625,399.6099853515625,1.8462852561635101,229.58388941390857
5,216.57000732421875,401.1499938964844,1.8522878530263793,228.42356094245625
6,215.5,400.5199890136719,1.8585614339381527,225.92860274170337
7,208.5,401.8500061035156,1.927338158769859,204.15504186497085
8,209.8699951171875,399.7401123046875,1.9047034907561706,210.2660149732342
9,209.14190673828125,401.9800109863281,1.9220443059714625,205.89972962660866
10,209.0832977294922,402.32000732421875,1.9242092108415678,205.3885653119344
11,209.52000427246094,402.95001220703125,1.923205440961298,206.0339646195794
12,209.11990356445312,401.70001220703125,1.9209076006637635,206.1154679991047
13,209.3000030517578,402.2699890136719,1.9219779414632616,206.07147287170827
14,212.14999389648438,396.9700012207031,1.8711761142656411,219.69487675416272
15,213.35000610351562,397.75,1.8643074226443428,222.41952113190067
16,214.00999450683594,397.17999267578125,1.8558945977782102,224.91702871642192
17,215.76499938964844,399.6400146484375,1.8522003836531917,227.58250948204866
18,216.25,400.5299987792969,1.8521618440661127,228.1089726675307
19,216.82000732421875,401.20001220703125,1.8503827998082412,229.10366919572678
20,216.02000427246094,400.67999267578125,1.8548281860526816,227.28727481008323
21,219.0500030517578,398.05999755859375,1.8172106460301618,238.7564003156671
22,218.02000427246094,397.0199890136719,1.8210255079048323,236.7882909827322
23,218.2949981689453,396.0400085449219,1.8142422495563282,238.57139284632584
24,218.0800018310547,395.239990234375,1.8123623758063114,238.743513007203
25,217.54449462890625,394.260009765625,1.8123189485358626,238.15954134233644
26,217.2100067138672,394.3900146484375,1.8157083120391007,237.0526624113402
27,217.61000061035156,395.5299987792969,1.8176094741506186,237.08086295723322
28,225.32000732421875,398.44500732421875,1.7683516526381342,256.68297724833275
29,225.9199981689453,398.6700134277344,1.7646512777040873,258.2102481599457
30,224.8625946044922,399.0450134277344,1.774617135098033,254.74709443561565
31,225.17990112304688,399.1000061035156,1.7723606952177857,255.61879743211128
32,225.73080444335938,397.92999267578125,1.7628519672228886,258.3977274528673
33,223.89999389648438,397.82000732421875,1.7767754272835878,253.1608191500674
34,223.89999389648438,397.6099853515625,1.77583741040828,253.37084112272365
35,222.53509521484375,398.0,1.78848194535678,248.99463133674513
36,222.52999877929688,399.70001220703125,1.796162379902091,247.27973495781967
37,223.25999450683594,399.95001220703125,1.791409218165081,249.1616920464177
38,222.87359619140625,399.9800109863281,1.7946496032792552,248.00321456988277
39,223.9499969482422,402.2699890136719,1.7962491381799026,248.85687168605548
40,224.8000030517578,402.5350036621094,1.790636112978299,251.07430517995286
41,225.9199981689453,403.42999267578125,1.7857205911186849,253.4502689118988
42,228.92999267578125,396.864990234375,1.7335648579538865,268.80597913884725
43,226.5,399.9200134277344,1.7656512734116308,258.65414713560887
44,225.14869689941406,399.1600036621094,1.7728728132076885,255.46766774320704
45,225.3936004638672,399.989990234375,1.7746288688373713,255.35292356286473
46,226.6490020751953,401.0,1.7692555287181908,258.00932205599935
47,225.77000427246094,402.4200134277344,1.7824334757158036,254.0221900470107
48,225.05999755859375,401.6300048828125,1.7845463842513782,252.73861954279997
49,220.1195068359375,401.57000732421875,1.824327217049066,238.36988304177365
50,220.6300048828125,407.239990234375,1.8458051091041778,234.19081287081886
51,221.77999877929688,407.1600036621094,1.8358734146594182,237.6293638112892
52,220.37449645996094,407.32000732421875,1.8483082837047946,233.36458183376297
53,218.92999267578125,405.30499267578125,1.8512995306038642,231.16091414474275
54,218.93499755859375,404.510009765625,1.847626072927722,231.9705138464598
55,217.09500122070312,401.6600036621094,1.850157771499187,229.44679913549228
56,219.10000610351562,400.8599853515625,1.8295754184606132,236.10244674813967
57,220.34060668945312,402.7149963378906,1.827693053897573,237.87061753333333
58,220.0500030517578,403.1400146484375,1.83203821430357,236.5968894810932
59,219.65499877929688,404.1600036621094,1.839976353409548,234.42328801884085
60,218.27000427246094,402.885009765625,1.845810243640779,231.6533967945965
61,216.61529541015625,401.4599914550781,1.8533316896894216,228.24582752213215
62,213.99000549316406,397.3299865722656,1.8567688974845995,224.70865678047224
63,206.9949951171875,403.8500061035156,1.9510133850090494,197.7596656905054
64,210.42999267578125,406.375,1.9311648250927798,205.26660365073056
65,208.2899932861328,402.9637145996094,1.9346282951099276,202.42800744737943
66,206.8800048828125,401.42999267578125,1.940400150817726,199.8438494194526
67,207.30999755859375,401.7300109863281,1.937822660350878,200.79962740824513
68,205.30999755859375,398.3999938964844,1.9404802427255612,198.28863198754917
69,205.36000061035156,398.94000244140625,1.9426373259432923,197.89465766806862
70,195.8000030517578,401.55999755859375,2.0508681884567963,167.3546298806439
71,196.6999969482422,400.8299865722656,2.0377732221202645,170.71307867135934
72,193.3455047607422,397.93499755859375,2.0581548976327295,163.81125226818372
73,195.9416961669922,396.4800109863281,2.0234591143297354,172.8484320822802
74,198.48500061035156,397.0299987792969,2.0003022775444452,179.72618082519799
75,200.39999389648438,399.2749938964844,1.9923902497857755,183.07393557896106
76,204.14999389648438,403.010009765625,1.9740877874822467,190.29081816708222
77,201.32000732421875,396.0899963378906,1.9674646429949791,188.9458381081853
78,201.25340270996094,397.44000244140625,1.9748237649138398,187.40131281209986
79,201.55889892578125,398.6499938964844,1.9778337549029612,187.08352496628632
80,201.49000549316406,400.37420654296875,1.9870673265555705,185.15810861889636
