,qcom,klac,Ratio,Spread
0,173.06280517578125,386.5124206542969,2.2333650506919334,48.457583869963514
1,172.935546875,380.540283203125,2.200474628146776,54.10801586242212
2,175.78404235839844,404.13275146484375,2.299029798398168,37.71646526582782
3,177.54598999023438,407.89373779296875,2.297397636608995,38.409633736633566
4,178.87725830078125,415.34661865234375,2.32196436035452,34.32216228384124
5,182.391357421875,434.50689697265625,2.3822778837466116,24.04542918435254
6,180.9132843017578,426.590087890625,2.3579810047507945,28.225710368400538
7,182.26409912109375,429.4823913574219,2.3563740387078624,28.748229340873646
8,178.86744689941406,421.5852966308594,2.356970504912151,28.058681354491963
9,179.00448608398438,424.5762939453125,2.371875159296913,25.41411530199377
10,182.27391052246094,429.49224853515625,2.356301279234537,28.763175113972917
11,183.2723388671875,425.6917419433594,2.322727720803774,35.0876809000128
12,182.55775451660156,415.32684326171875,2.2750435573743295,43.64613014076588
13,182.01939392089844,426.6591796875,2.3440314270737357,30.952833044202574
14,176.5964813232422,411.5461730957031,2.3304324639538487,32.35686682966036
15,175.88192749023438,413.3427429199219,2.3501149254966642,28.753924712146098
16,181.48101806640625,420.1341857910156,2.315031016837712,36.116827696108885
17,182.4794464111328,428.2780456542969,2.346993341317854,30.496967027070635
18,180.00294494628906,416.057373046875,2.311392034008233,36.457112542266316
19,184.7014923095703,439.2747802734375,2.3782957829988063,25.117502877913747
20,175.0792694091797,407.6667175292969,2.3284693779280885,32.40085271132085
21,168.82432556152344,388.1313171386719,2.2990248345297135,36.123928346839534
22,162.9805145263672,378.34881591796875,2.321435890771832,31.133437172097157
23,161.44371032714844,368.2306823730469,2.2808611225972615,37.36657227819802
24,166.47508239746094,386.0682373046875,2.319075213808549,32.24818654731098
25,161.9527130126953,365.3482360839844,2.2558945095000977,41.53576325452167
26,163.46995544433594,375.7033386230469,2.2983020800478515,35.01620754779691
27,157.79257202148438,357.1451721191406,2.2633839321062164,39.22210604932553
28,163.28396606445312,361.9327697753906,2.21658487663464,48.31660039590207
29,172.04476928710938,384.2617492675781,2.2334985879536955,48.13468873456799
30,173.38583374023438,383.0376892089844,2.2091636954772738,52.74892257678209
31,184.22183227539062,390.3720703125,2.1190326113407574,72.80764556131498
32,175.31419372558594,368.872314453125,2.1040641753770934,71.78913795084401
33,175.67637634277344,372.5247497558594,2.1205170411131573,69.05229027017424
34,171.38893127441406,370.76763916015625,2.1633114600995627,59.970858515736154
35,174.81497192382812,380.2638854980469,2.17523637313936,59.13554802190265
36,180.06167602539062,394.9820556640625,2.1935931308801426,57.680900465916636
37,170.39051818847656,384.6960754394531,2.257731706725157,43.518461615992294
38,161.1598358154297,365.4642639160156,2.2677130568348813,39.41536383428178
39,161.63949584960938,361.4357604980469,2.236060924332067,44.656434529786736
40,169.34312438964844,383.54791259765625,2.264915767794241,42.01884195215399
41,168.9515838623047,381.7167663574219,2.259326356292229,42.86018458680286
42,163.27418518066406,362.3166809082031,2.219068988201026,47.90796345984796
43,164.096435546875,354.645751953125,2.161203263015537,57.65751856045159
44,162.38340759277344,352.1118469238281,2.168397942521673,55.860936380821954
45,158.2036590576172,340.2738037109375,2.1508592515360916,57.13269109580142
46,164.4292449951172,354.23992919921875,2.1543608572169632,58.90467437910553
47,167.31687927246094,354.0023498535156,2.115759936432078,66.44211317669567
48,168.3544921875,344.9456787109375,2.0489247077931494,78.12184102166736
49,160.22991943359375,333.3551025390625,2.080479748835044,69.17372236107133
50,166.36351013183594,342.54046630859375,2.0589879718043047,75.49390594698849
51,162.530029296875,339.03656005859375,2.085993348584922,69.30687885190474
52,159.49270629882812,328.71295166015625,2.0609904947269144,71.95221885960905
53,147.54010009765625,310.9361267089844,2.107468589916754,59.51318647840128
54,148.18882751464844,318.5378112792969,2.1495399931402353,53.55146684540239
55,154.43055725097656,336.09686279296875,2.1763624296631447,51.77133517949318
56,152.0714874267578,325.4366760253906,2.140024284184967,56.46785878892871
57,149.74188232421875,319.9729919433594,2.136830304099951,56.04236571291034
58,138.88034057617188,316.736328125,2.280641931111043,31.821352908702462
59,141.75054931640625,329.8215026855469,2.326774070902124,25.991986525000524
60,147.88412475585938,347.34100341796875,2.348737594325226,23.977994574231044
61,150.22354125976562,349.0137634277344,2.323296072645644,28.219214673348684
62,151.36376953125,361.3268737792969,2.3871424112802546,18.78856980233888
63,152.93646240234375,352.6463317871094,2.3058355492712446,31.444835801560085
64,154.92201232910156,357.347900390625,2.3066308978191503,31.762682403687958
65,150.2628631591797,345.17333984375,2.297130059861122,32.15904292964774
66,155.7575225830078,362.1583557128906,2.3251419880531654,29.064373855679545
67,155.27587890625,362.7027282714844,2.335860088677851,27.302419426068408
68,155.7476806640625,371.5218505859375,2.3854085595488623,19.675998884206987
69,158.32302856445312,380.4102478027344,2.402747416165487,17.298009810181266
70,150.12522888183594,370.0074157714844,2.464658462320936,6.977031361914097
71,150.21372985839844,362.3265686035156,2.4120735763972374,14.881606546733789
72,144.483154296875,356.59564208984375,2.468077637321879,6.125796805141416
73,151.18682861328125,363.3064880371094,2.403030021658872,16.36165380600846
74,142.97923278808594,341.99609375,2.3919284436005004,16.923473236563037
75,136.90463256835938,340.7390441894531,2.4888788479770025,2.824101737031466
76,136.84567260742188,349.4789733886719,2.5538182299066556,-6.064876609965214
77,134.35879516601562,337.7300109863281,2.51364274716087,-0.6026714811336582
78,133.05148315429688,328.08935546875,2.465882737197841,5.733135489595551
79,133.76902770996094,326.8818359375,2.443628704891597,8.75458777815879
80,138.1038055419922,333.0878601074219,2.41186590623053,13.50676187359738
