,tsm,klac,Ratio,Spread
0,116.5999984741211,390.7300109863281,3.3510292975951375,60.9537798691056
1,117.22000122070312,395.3800048828125,3.372973901769431,58.7263222582047
2,116.81999969482422,391.7049865722656,3.353064437558121,60.838414894514784
3,116.82009887695312,394.07000732421875,3.373306572350136,58.47378167682254
4,116.80000305175781,393.010009765625,3.3648116395294076,59.45525883209106
5,116.63999938964844,393.25,3.3714849284790045,58.59008640389018
6,116.33999633789062,391.54998779296875,3.3655664441983943,59.1178969026619
7,115.19999694824219,388.04998779296875,3.36848956660402,58.163578107799964
8,114.45999908447266,386.57000732421875,3.3773371519855258,56.75216545592488
9,114.44000244140625,384.8299865722656,3.362722635114414,58.41405333881366
10,114.31999969482422,383.3800048828125,3.353568980985309,59.39514838289742
11,114.16999816894531,383.9700012207031,3.3631427465954404,58.21905119087697
12,114.95999908447266,385.7099914550781,3.355166967004395,59.565830965279616
13,114.95999908447266,385.3800048828125,3.352296520110748,59.89581753754524
14,115.22000122070312,401.8399963378906,3.487588891516924,44.4517322422702
15,116.2300033569336,404.8299865722656,3.4830076131811096,45.40812262801947
16,116.52999877929688,406.2799987792969,3.486484193214271,45.130282318919996
17,116.76000213623047,409.07000732421875,3.5035114751619627,43.2389657250408
18,117.30000305175781,409.3999938964844,3.4901959355946435,45.01892434144574
19,117.19000244140625,409.8999938964844,3.4977385899571938,44.08911903577243
20,117.43000030517578,409.3999938964844,3.4863322220262303,45.5268625161834
21,119.25,405.92498779296875,3.4039831261464886,56.11315211766524
22,120.30999755859375,408.42498779296875,3.394771806840544,57.75487981561426
23,120.72000122070312,409.0899963378906,3.3887507637610335,58.69187828462529
24,120.41000366210938,409.4949951171875,3.4008386567805364,57.07562626770053
25,120.54000091552734,408.9599914550781,3.392732606180012,58.11856810454756
26,121.21499633789062,410.3609924316406,3.3853978866422305,59.354976256077435
27,121.30999755859375,413.2099914550781,3.406231965798979,56.877175433933104
28,121.2300033569336,423.625,3.4943907305911273,46.14960560242602
29,121.49500274658203,417.6499938964844,3.4375898963320446,53.16004363042893
30,121.19999694824219,416.6000061035156,3.4372938662813866,53.057355479822235
31,121.27999877929688,419.20001220703125,3.4564645153887557,50.76994047321952
32,121.23999786376953,422.0199890136719,3.4808643719036656,47.79366811812244
33,120.8499984741211,420.5199890136719,3.4796855136388136,47.7698237835817
34,120.68000030517578,420.57000732421875,3.4850017091538006,47.05557174984071
35,122.95999908447266,430.1499938964844,3.498292103930274,46.384222767298894
36,122.73999786376953,433.1400146484375,3.5289231072757907,42.534591403999144
37,122.77999877929688,436.04998779296875,3.551474117350255,39.78091380792435
38,122.9800033569336,436.67999267578125,3.5508211152700486,39.93238666739413
39,122.9937973022461,438.9100036621094,3.5685539701122315,37.75627275365983
40,122.46499633789062,438.6199951171875,3.581594808585142,35.980097671065806
41,122.69999694824219,440.1600036621094,3.5872861826376368,35.358306841870814
42,122.22000122070312,434.8699951171875,3.558091889820108,38.77282842597069
43,122.4800033569336,432.57000732421875,3.531760250394629,42.08872237874252
44,122.36000061035156,432.07000732421875,3.5311376689194454,42.11983573337315
45,122.22000122070312,431.75,3.53256419315814,41.89282354315819
46,122.23999786376953,433.0150146484375,3.542334933047131,40.705941763785034
47,122.41999816894531,434.4599914550781,3.548929896694681,39.96428002003458
48,122.05999755859375,432.1199951171875,3.5402261491096,40.897646232144865
49,121.31500244140625,433.9599914550781,3.5771337651720017,36.14673100894501
50,121.76290130615234,432.3800048828125,3.5509995264950667,39.47679249313765
51,121.27999877929688,433.0,3.5702506955657665,36.96995268025077
52,121.2490005493164,433.8299865722656,3.5780087638397573,36.01884674628795
53,121.27999877929688,433.69500732421875,3.5759812969115297,36.27494535603202
54,121.41000366210938,434.510009765625,3.5788649753680093,35.96791089969125
55,121.40010070800781,434.80999755859375,3.5816279807246714,35.629229301287324
56,121.06999969482422,433.0,3.5764433888778715,36.1494234086002
57,121.41500091552734,433.0450134277344,3.5666516506392725,37.45243300226602
58,121.2249984741211,432.8500061035156,3.5706332155237743,36.90504392389849
59,120.80999755859375,432.8500061035156,3.582898889585526,35.283511145281494
60,120.9800033569336,431.9849853515625,3.5707139474699363,36.812795430756495
61,120.71499633789062,429.2300109863281,3.5557306383448837,38.53230806117588
62,120.41999816894531,427.45001220703125,3.549659680340909,39.15966070722507
63,120.9000015258789,430.0299987792969,3.556906479337372,38.45519090610921
64,121.05500030517578,429.32000732421875,3.5464871855100304,39.77080898000125
65,120.58000183105469,429.1549987792969,3.5590893370576353,38.07985632878527
66,120.5999984741211,430.44000244140625,3.569154294257906,36.87298553574024
67,120.61000061035156,430.1300048828125,3.566288058254896,37.222064434030045
68,120.58999633789062,431.3299865722656,3.576830580238912,35.94392006518481
69,120.30999755859375,430.1099853515625,3.5750144965474626,36.06988225702051
70,129.2803955078125,432.4800109863281,3.345286880408662,68.74988607439187
71,129.1300048828125,430.6400146484375,3.3349337749909487,70.00226123143685
72,128.91000366210938,434.25,3.368629180542328,65.53266526852767
73,128.1699981689453,431.9200134277344,3.369899505330457,64.97122890984045
74,128.6656036376953,432.92999267578125,3.3647686750442856,65.89772855321675
75,128.375,434.6600036621094,3.3858617617301605,63.03224218243193
76,128.80999755859375,435.2799987792969,3.379240796750225,64.11191271292577
77,133.74000549316406,432.06500244140625,3.2306339516599665,86.58992550606823
78,131.02000427246094,419.4021911621094,3.201054628955339,88.62487797294804
79,131.7899932861328,422.1499938964844,3.203202180759985,88.88565275763077
80,131.47000122070312,427.79998779296875,3.253974167649139,81.98535409415027
