,goog,adbe,Ratio,Spread
0,148.25,574.719970703125,3.8766945747259696,-69.34317932123889
1,148.11500549316406,574.2899780273438,3.877324759332699,-69.37650135322622
2,147.67349243164062,574.8200073242188,3.8925063520814884,-71.42184782759466
3,148.06324768066406,574.780029296875,3.881989881354851,-70.04419063437172
4,147.7884979248047,575.905029296875,3.896819017606482,-72.11215939531684
5,147.74899291992188,577.0,3.905271965628401,-73.34271524350942
6,148.0050048828125,577.75,3.90358420958434,-73.21405647025955
7,147.20150756835938,574.947509765625,3.905853406417209,-73.16924973104437
8,147.0387420654297,571.2000122070312,3.884690552867061,-69.98037972843201
9,146.41000366210938,570.9849853515625,3.8999041805183174,-71.92324623044095
10,146.35501098632812,570.0999755859375,3.8953225567329146,-71.2269768521561
11,146.38064575195312,570.719970703125,3.8988758914906616,-71.75899087868561
12,146.15609741210938,569.8250122070312,3.8987426614185163,-71.63470484099838
13,146.45748901367188,569.5599975585938,3.8889100270278774,-70.33528394096766
14,146.34500122070312,565.8699951171875,3.866684822830389,-67.03135090452014
15,146.05450439453125,565.6699829101562,3.873006075746451,-67.8283529855525
16,145.6175079345703,565.510009765625,3.8835303377099626,-69.16819558825591
17,145.67025756835938,566.3099975585938,3.8876158181627347,-69.78714133931709
18,145.8719940185547,568.6500244140625,3.8982810116500577,-71.43478843312556
19,146.41400146484375,569.677490234375,3.8908675709622162,-70.60203025268657
20,146.5,569.280029296875,3.8858705071459045,-69.90941370390772
21,146.95449829101562,573.7899780273438,3.9045417778982245,-72.85947864488901
22,146.6282501220703,578.3499755859375,3.9443284299202377,-78.5391926911962
23,146.41500854492188,574.97998046875,3.9270562914480127,-75.9010640870714
24,146.4560089111328,574.3099975585938,3.921382276005322,-75.09036380155919
25,146.43350219726562,571.7650146484375,3.904605203515471,-72.62262619421278
26,146.3574981689453,572.3319702148438,3.9105066523765117,-73.45043522048064
27,146.03250122070312,570.1799926757812,3.9044732365026866,-72.41387985399228
28,146.00350952148438,567.7449951171875,3.888570877357191,-70.07838471935696
29,145.7655029296875,568.7100219726562,3.9015405602996704,-71.86027410582773
30,145.50999450683594,567.6300048828125,3.9009691863890885,-71.65718758923873
31,145.67649841308594,568.260009765625,3.9008351790159375,-71.71573434034889
32,145.1165008544922,568.0402221679688,3.914373753661141,-73.41791461599519
33,145.28750610351562,569.3200073242188,3.918575124543641,-74.1107925799808
34,144.6790008544922,567.0999755859375,3.919711722064532,-73.9792119811936
35,144.56900024414062,560.8400268554688,3.8793934101249317,-68.09679639510193
36,144.60350036621094,561.3499755859375,3.8819943788657167,-68.48833724106015
37,144.76651000976562,560.5900268554688,3.8723737058913184,-67.16892303946082
38,145.37750244140625,561.3200073242188,3.861120172637828,-65.80191610813506
39,145.05648803710938,560.8400268554688,3.866356027535912,-66.42368932108911
40,145.2449951171875,562.4600219726562,3.872491589254753,-67.39670920375949
41,145.0605010986328,564.3699951171875,3.890583520964458,-69.9398843525442
42,145.6894989013672,550.9000244140625,3.781329667329185,-54.311130007095535
43,144.45799255371094,547.1500244140625,3.787606450440093,-54.787783498062886
44,144.72500610351562,545.1400146484375,3.7667299475428737,-51.861356407780654
45,144.19448852539062,544.114990234375,3.7734798035541006,-52.65712161276401
46,144.0625,542.0250244140625,3.7624296705531455,-51.020153669946474
47,144.80551147460938,551.8900146484375,3.811250062434312,-58.33505388735711
48,144.35400390625,554.0999755859375,3.8384801293478152,-62.09463415376775
49,142.69300842285156,535.1099853515625,3.750078516571996,-48.80534726675922
50,141.63973999023438,531.2100219726562,3.750430648978045,-48.520306950263155
51,140.91461181640625,527.6900024414062,3.74475006984314,-47.48900015130426
52,140.8730010986328,525.030029296875,3.726974119968333,-44.97183917000178
53,139.854248046875,519.97998046875,3.718013487116016,-43.41825315007964
54,138.73300170898438,514.2999877929688,3.707120738811655,-41.58649053604274
55,137.65350341796875,514.280029296875,3.7360475144270313,-45.271478611193125
56,138.75100708007812,520.406982421875,3.750653731266467,-47.63168892270108
57,138.96800231933594,523.7249755859375,3.768673125072812,-50.20493262828308
58,138.687744140625,518.2750244140625,3.7369922456056965,-45.71685567790525
59,137.92950439453125,514.6799926757812,3.7314713406320896,-44.724178914015006
60,137.22650146484375,517.530029296875,3.771356288854028,-49.98699220701054
61,137.95150756835938,515.885009765625,3.7396112507867123,-45.85367890104403
62,137.5655059814453,514.0499877929688,3.736765144180135,-45.34345314884917
63,137.2102508544922,509.5,3.7132794148180017,-42.012736637249084
64,136.88198852539062,510.760009765625,3.731389463785315,-44.39937569056776
65,136.88674926757812,510.6382141113281,3.730369936049564,-44.26124069086297
66,137.15750122070312,510.42999267578125,3.7214879837628216,-43.12377135493791
67,136.68350219726562,511.243408203125,3.7403446647517384,-45.56399914430535
68,136.84500122070312,512.0599975585938,3.741897716327579,-45.82630762862875
69,137.01100158691406,510.69000244140625,3.727364930745695,-43.88658257973396
70,133.6425018310547,499.9541015625,3.7409813099317852,-44.711711231468605
71,135.45571899414062,508.7149963378906,3.7555815296354966,-47.24946256401416
72,135.2239990234375,505.2950134277344,3.736725855446376,-44.624765869769995
73,136.71249389648438,514.72998046875,3.765054427713768,-48.95106898597192
74,138.18850708007812,521.1099853515625,3.7710081421574895,-50.265248355969625
75,138.13600158691406,521.8400268554688,3.7777264497346206,-51.175493986634315
76,138.60848999023438,525.989990234375,3.794789123461582,-53.703829703502045
77,138.01824951171875,531.6300048828125,3.851881955926946,-61.369608964339825
78,139.6750030517578,532.6027221679688,3.813157046938514,-56.656181677845616
