,vz,meta,Ratio,Spread
0,50.410526275634766,333.7900085449219,6.621434712262758,-133.14466757765703
1,50.334678649902344,325.45001220703125,6.465721465526087,-125.11267185975058
2,50.04076385498047,334.20001220703125,6.678555370888267,-135.05619556183476
3,50.031288146972656,330.45001220703125,6.604867163049978,-131.34467433968723
4,49.94595718383789,335.239990234375,6.7120545713128505,-136.48116274617024
5,49.94595718383789,346.17999267578125,6.9310913674471,-147.4211651875765
6,49.983882904052734,346.2200012207031,6.926632768512494,-147.30716567718062
7,49.64256286621094,342.94000244140625,6.908184884927191,-145.41319292378944
8,49.538272857666016,344.3599853515625,6.951392640211376,-147.25667475009251
9,49.26332092285156,336.3500061035156,6.827595050489063,-140.36321517647093
10,49.71841049194336,338.5400085449219,6.809147862838067,-140.7051984073209
11,50.6949577331543,336.5299987792969,6.638332761824311,-134.72964386910294
12,51.21641540527344,324.1700134277344,6.32941627918686,-120.25213295550378
13,50.96989822387695,332.4599914550781,6.52267324519272,-129.5431633424128
14,52.044578552246094,331.7900085449219,6.37511183248121,-124.50913865473012
15,51.68954849243164,328.07000732421875,6.3469311861421,-122.23083686073855
16,51.42088317871094,334.3699951171875,6.502610893614951,-129.62181573477477
17,51.28655242919922,333.260009765625,6.497999845586978,-129.05731817842036
18,51.35371780395508,326.4800109863281,6.35747565994499,-122.00457550151944
19,51.12342834472656,331.8999938964844,6.492130998306185,-128.35971354057094
20,51.267356872558594,318.1499938964844,6.205703069252193,-114.02525126666848
21,51.33452606201172,319.5899963378906,6.225634496982174,-115.19249431981939
22,51.23857498168945,316.55999755859375,6.1781577194861335,-112.55213189290703
23,51.0082893371582,303.1700134277344,5.943544027203496,-100.09728740029158
24,50.816383361816406,308.7099914550781,6.0750091020260175,-106.4165536230557
25,50.75881576538086,300.1499938964844,5.913258403896734,-98.09032548337163
26,48.95490646362305,294.6300048828125,6.018395829266744,-99.8956176234789
27,49.11802673339844,294.6400146484375,5.998612612181613,-99.24323164846402
28,50.75881576538086,301.7099914550781,5.943991933335332,-99.65032304196538
29,51.07545471191406,313.260009765625,6.133278921010814,-109.91453984057816
30,51.046669006347656,319.0,6.249183467002172,-115.77142252973366
31,51.62238311767578,323.0,6.256975763085278,-117.43357343412384
32,51.612789154052734,237.75999450683594,4.6066100748241885,-32.23252692900286
33,51.152217864990234,237.08999633789062,4.634989571002756,-33.43280803654537
34,50.85476303100586,224.91000366210938,4.4225946648297825,-22.460714387263412
35,50.68204879760742,220.17999267578125,4.344338831980593,-18.432058129618216
36,51.33452606201172,232.0,4.519375511906855,-27.602497981928767
37,50.893150329589844,228.07000732421875,4.481349766072868,-25.464835625246625
38,51.16181564331055,219.5500030517578,4.291286387926777,-15.853840271718216
39,51.11383819580078,217.6999969482422,4.259120516723926,-14.198660089720509
40,51.200191497802734,221.0,4.316390105874589,-17.14800126778815
41,51.23857498168945,216.5399932861328,4.226112716122867,-12.532127620446094
42,51.41128921508789,207.7100067138672,4.040163354878672,-3.0007863194975393
43,51.65116882324219,206.16000366210938,3.991390869926272,-0.4766846414527244
44,51.71833419799805,202.0800018310547,3.9073184580426212,3.8760610872060077
45,51.248165130615234,198.4499969482422,3.8723337009716623,5.596812214836287
46,50.46135711669922,207.60000610351562,4.114039295919261,-6.748252207553467
47,51.92942810058594,210.47999572753906,4.053193024191309,-3.666726637771891
48,51.49764633178711,211.02999877929688,4.097857160688096,-5.970101020585734
49,51.4400749206543,203.49000549316406,3.9558652627750828,1.3361073559860834
50,51.94862365722656,208.11000061035156,4.00607342330236,-1.2187825631956493
51,52.44757080078125,202.97000122070312,3.8699600023740226,5.947332055112891
52,52.87936019897461,200.05999755859375,3.7833286334367022,10.610738029580912
53,52.46676254272461,187.47000122070312,3.5731192880072027,21.52526552185031
54,51.09464645385742,190.2899932861328,3.7242648005790584,13.133410105651446
55,50.93152618408203,198.5,3.897389590929606,4.261007651144379
56,51.07545471191406,195.2100067138672,3.8219925366289833,8.135463211179651
57,50.893150329589844,187.61000061035156,3.686350705259309,14.995171088620562
58,50.375003814697266,186.6300048828125,3.7048137121601936,13.871087139459487
59,50.624481201171875,192.02999877929688,3.7932240335699814,9.484166347956485
60,50.36540985107422,203.6300048828125,4.043052672159867,-3.1678718485835624
61,50.24066925048828,207.83999633789062,4.136887494504677,-7.884407601478021
62,48.74380874633789,216.49000549316406,4.441384681689013,-22.612839895988262
63,49.03166580200195,211.49000549316406,4.313335107707659,-16.44391534818337
64,48.93571472167969,216.64999389648438,4.4272367355555,-21.993540103888225
65,48.90693283081055,213.4600067138672,4.3646165146425,-18.920429885400214
66,48.93571472167969,219.57000732421875,4.486907130569485,-24.9135535316226
67,49.20438003540039,221.82000732421875,4.5081353969835405,-26.0725624505551
68,49.09883499145508,223.58999633789062,4.553875797191586,-28.271146804654567
69,49.17559814453125,229.86000061035156,4.674269541872649,-34.229432700817114
70,49.52102279663086,227.85000610351562,4.601076335584436,-30.816744227266586
71,48.878143310546875,222.36000061035156,4.549272651327796,-27.93733172731638
72,50.01038360595703,224.85000610351562,4.4960664144302305,-25.829557005346945
73,50.33662033081055,233.88999938964844,4.646517741011045,-33.54477430085129
74,50.64366912841797,231.83999633789062,4.577867289789178,-30.247913234551167
75,51.046669006347656,223.3000030517578,4.374428486685202,-20.07142558149147
76,51.153499603271484,222.9499969482422,4.358450520049729,-19.287603788057
77,51.988739013671875,222.3300018310547,4.276503066800426,-15.275884094729467
78,52.348087310791016,216.4600067138672,4.135012716486514,-7.946654133548183
