,t,nflx,Ratio,Spread
0,16.715120315551758,586.72998046875,35.10175035490807,-326.09612037770074
1,17.003313064575195,593.739990234375,34.919076534053616,-328.32647926442684
2,17.200124740600586,604.9199829101562,35.16951138628974,-336.2423679560519
3,17.418025970458984,614.239990234375,35.26461559284201,-341.9485029384611
4,17.481290817260742,614.0900268554688,35.128414330200734,-340.7492977530067
5,17.418025970458984,613.1199951171875,35.200314671538585,-340.8285078212736
6,17.446144104003906,610.7100219726562,35.00544408735554,-337.9521979553419
7,17.31962013244629,610.5399780273438,35.251349241982986,-339.880542723508
8,17.418025970458984,612.0900268554688,35.14118235290124,-339.79853955955485
9,17.291501998901367,602.4400024414062,34.84023553764634,-332.24690385897094
10,17.874916076660156,597.3699951171875,33.41945733089021,-317.50102641320717
11,18.022525787353516,591.1500244140625,32.80062025650561,-308.8329619053621
12,18.42318344116211,567.52001953125,30.804666378301643,-278.55808579087227
13,18.35289192199707,553.2899780273438,30.14729124864467,-265.4938228240554
14,18.97988510131836,541.0599975585938,28.507021758578045,-242.86521674532202
15,19.102617263793945,539.8499755859375,28.26052410153972,-239.61969287251947
16,19.01598358154297,540.8400268554688,28.44133854745286,-242.0465559873045
17,19.095396041870117,537.219970703125,28.1334814698356,-237.1094513072502
18,19.34807777404785,519.2000122070312,26.834707730162712,-214.89878895973237
19,19.62241554260254,525.6900024414062,26.790279784875228,-216.83891192287717
20,19.71626853942871,510.79998779296875,25.907538577670916,-200.39235374484855
21,19.694610595703125,515.8599853515625,26.192951764383213,-205.8115463564543
22,19.50690460205078,508.25,26.054876997069393,-201.31464806407405
23,19.210906982421875,397.5,20.691370811576753,-95.47374202152209
24,19.01598358154297,387.1499938964844,20.359188481433826,-88.35652302832013
25,19.117053985595703,366.4200134277344,19.167179927609354,-65.95029897884758
26,17.507122039794922,359.70001220703125,20.54592476075781,-85.9308745970447
27,17.413270950317383,386.70001220703125,22.207201238086924,-114.4873864934299
28,18.20018768310547,384.3599853515625,21.11846273477438,-99.09641624595731
29,18.4095516204834,427.1400146484375,23.202086800048942,-138.40416343063805
30,17.629852294921875,457.1300048828125,25.92931564233722,-181.32539700588552
31,17.71648406982422,429.4800109863281,24.241830901304187,-152.2386228973532
32,17.730924606323242,405.6000061035156,22.875287956436836,-128.11912301266017
33,17.3843936920166,410.1700134277344,23.59415120793634,-138.4363144514823
34,17.276100158691406,402.1000061035156,23.27492908758252,-132.16234565873526
35,17.2833194732666,403.5299987792969,23.347945364515585,-133.47260665017916
36,17.687606811523438,412.8900146484375,23.343464101624,-136.12755329681187
37,17.507122039794922,406.2699890136719,23.205983718522756,-132.50085140368532
38,17.420488357543945,391.30999755859375,22.4626307556491,-118.97767179386098
39,17.362735748291016,396.57000732421875,22.840295047585023,-125.1955034009787
40,17.572097778320312,407.4599914550781,23.18789689172937,-132.61323705284974
41,17.2833194732666,398.0799865722656,23.032611714896877,-128.0225944431479
42,17.153369903564453,386.6700134277344,22.54192707331431,-118.76782324989445
43,17.232784271240234,391.2900085449219,22.706139784848645,-122.07073820616547
44,17.146150588989258,377.3800048828125,22.00960518363548,-109.59754638930987
45,16.972885131835938,367.4599914550781,21.649824917852985,-102.55112501887722
46,16.770740509033203,390.0299987792969,23.25657585419174,-128.47368277095285
47,17.261661529541016,390.79998779296875,22.639766578910557,-121.10179071686305
48,17.102834701538086,394.5199890136719,23.06752043731043,-127.45592062619325
49,16.987319946289062,386.239990234375,22.736958593562633,-121.09172369591126
50,17.196685791015625,380.0299987792969,22.099025556298923,-111.409418495433
