,fcx,ctva,Ratio,Spread
0,37.04999923706055,44.40999984741211,1.1986504928990516,13.394338091598712
1,36.81999969482422,43.95000076293945,1.1936447888976354,13.485544622767264
2,37.13180160522461,44.2599983215332,1.191970128250002,13.675505549062592
3,37.185001373291016,44.27000045776367,1.1905337857419476,13.750806531741105
4,37.22999954223633,44.720001220703125,1.201181890157415,13.372958041184432
5,37.380001068115234,44.84000015258789,1.1995719334217987,13.493478917254556
6,37.43000030517578,44.77000045776367,1.1960993879974113,13.643649842506136
7,38.41999816894531,45.790000915527344,1.1918272539778298,14.21106054389174
8,39.060001373291016,45.849998474121094,1.1738350451127488,15.177275531455734
9,38.96500015258789,45.91999816894531,1.1784934682181825,14.954946217148567
10,39.11000061035156,45.95500183105469,1.1750192051618482,15.152443404949501
11,39.11000061035156,45.65999984741211,1.1674763266387398,15.44744538859208
12,39.29999923706055,45.7400016784668,1.1638677497818681,15.672096679830489
13,39.189998626708984,45.81999969482422,1.1691758433386807,15.415718286529192
14,39.59000015258789,45.900001525878906,1.1593837168216972,15.977098532238998
15,39.68000030517578,46.11000061035156,1.1620463774123777,15.91141010920471
16,39.744998931884766,46.08000183105469,1.1593911956074496,16.045630876389872
17,39.970001220703125,45.875,1.1477357667989834,16.61141241937689
18,39.85499954223633,45.7599983215332,1.148162058640574,16.54201476285523
19,39.92499923706055,45.7599983215332,1.1461490092918096,16.6542557087881
20,40.150001525878906,45.93000030517578,1.143960113564911,16.845033437077845
21,40.904998779296875,46.569698333740234,1.1384842861139606,17.415935056313998
22,40.85960006713867,46.41999816894531,1.1360854754493446,17.492840698081835
23,40.88999938964844,46.48500061035156,1.1368305528055238,17.476582022241743
24,41.14310073852539,46.439998626708984,1.128743283639381,17.92741912968266
25,41.10499954223633,46.52000045776367,1.1317358223046154,17.786323970672797
26,40.904998779296875,46.56999969482422,1.1384916534551899,17.415633695230014
27,41.119998931884766,46.44499969482422,1.12949904915514,17.885375491073177
28,41.58000183105469,46.58000183105469,1.1202501149546769,18.487964578123723
29,41.789798736572266,46.63999938964844,1.1160618332634258,18.764365673670014
30,41.974998474121094,46.63999938964844,1.1111376077453217,19.06132402157708
31,41.89500045776367,46.80500030517578,1.1171977513727949,18.768050360700528
32,41.959999084472656,46.959999084472656,1.1191611084150441,18.717273569291933
33,41.85499954223633,46.800498962402344,1.1181579136125772,18.70841227246295
34,41.9900016784668,47.0099983215332,1.1195521896261498,18.715381963826047
35,42.130001068115234,47.34000015258789,1.1236648220361827,18.609862024637096
36,41.82500076293945,47.31999969482422,1.131380725203807,18.140810025119222
37,41.86000061035156,47.29999923706055,1.1299569648205816,18.21693095584932
38,41.9900016784668,47.43000030517578,1.129554617986565,18.29537998018347
39,41.939998626708984,47.31999969482422,1.1282785227534329,18.32520324343487
40,42.025001525878906,47.41999816894531,1.128375882145874,18.36150258938038
41,42.0,47.38999938964844,1.1283333188011533,18.351412695127166
42,41.970001220703125,47.209999084472656,1.1248510295774004,18.483311485381094
43,41.849998474121094,47.2400016784668,1.128793390701764,18.260890598353924
44,41.86800003051758,47.364601135253906,1.1312840618307505,18.165155720523614
45,42.0,47.41999816894531,1.129047575451079,18.32141391583029
46,42.0099983215332,47.29999923706055,1.125922426252891,18.45744464713141
47,42.06999969482422,47.42499923706055,1.1272878436197171,18.428653793647925
48,41.98500061035156,47.36000061035156,1.1280219107267269,18.357360716963115
49,42.334999084472656,47.470001220703125,1.1212944903101192,18.808564836275877
50,41.96500015258789,47.369998931884766,1.1287977781399712,18.31529267992441
51,41.8650016784668,47.39500045776367,1.1320912112166766,18.129948693190784
52,41.810001373291016,47.2599983215332,1.1303515132559585,18.17676064094931
53,41.70000076293945,47.31999969482422,1.1347721541741431,17.940378890714413
54,41.650001525878906,47.21500015258789,1.133613407510951,17.965207202523388
55,41.619998931884766,47.130001068115234,1.1323883295924186,18.002098655401383
56,41.540000915527344,47.400001525878906,1.141068860885873,17.60382545228849
57,41.779998779296875,47.25,1.1309239200699466,18.138651330887853
58,41.63169860839844,47.150001525878906,1.132550510835204,18.000858033124146
59,41.790000915527344,47.29999923706055,1.1318496817616945,18.104690009916453
60,41.79499816894531,47.31999969482422,1.132192888334282,18.09270239352456
61,41.935001373291016,47.36000061035156,1.1293668548802243,18.277189486535747
62,41.72999954223633,47.290000915527344,1.1332375134024038,18.018479184933142
63,41.95500183105469,47.71500015258789,1.1372899075234864,17.954259659804933
64,41.599998474121094,47.40999984741211,1.1396634996730914,17.690030160599008
65,41.505001068115234,47.04999923706055,1.1335983140885897,17.897707268140422
66,41.41999816894531,46.95000076293945,1.1335104499869406,17.861407922194914
67,41.525001525878906,47.029998779296875,1.13257066950346,17.949777441409594
68,41.599998474121094,47.02000045776367,1.1302885140011316,18.080029550247446
69,41.47999954223633,46.900001525878906,1.1306654301701173,18.007616305771975
70,42.310001373291016,48.29999923706055,1.141574040873249,17.938484263041175
71,41.56999969482422,47.790000915527344,1.1496271654165435,17.261927577561906
72,42.02009963989258,47.689998626708984,1.1349330209924962,18.083642207064997
73,42.064998626708984,47.869998931884766,1.1380007249421358,17.975635140779133
74,41.974998474121094,47.7599983215332,1.137820132405216,17.941325089692313
75,42.23500061035156,47.904998779296875,1.1342488004500142,18.213224816827406
76,42.13999938964844,47.779998779296875,1.1338395697991843,18.185895197344465
77,43.46500015258789,48.189998626708984,1.1087081205000242,19.90046659795783
78,42.970001220703125,47.77000045776367,1.1117058203560835,19.52675918732851
79,43.30500030517578,48.16999816894531,1.1123426354805515,19.663915448350267
