,mo,ko,Ratio,Spread
0,49.70000076293945,60.136199951171875,1.2099838838637311,3.4792999738354924
1,49.68960189819336,59.9900016784668,1.2072948743155043,3.611914489474626
2,49.630001068115234,60.0099983215332,1.2091476330853153,3.514062886614238
3,49.209999084472656,59.32500076293945,1.2055476908484317,3.6504231610120828
4,49.45000076293945,59.650001525878906,1.2062689707900651,3.6389301294754803
5,50.7400016784668,60.619998931884766,1.1947181104964542,4.354026190807713
6,50.52000045776367,60.724998474121094,1.2019991671395396,3.961644976705128
7,50.650001525878906,60.25,1.1895359957534475,4.606460346295944
8,50.20000076293945,59.599998474121094,1.1872509475761057,4.668637990192235
9,50.2400016784668,59.564998626708984,1.1856090094885277,4.755889956677533
10,50.36000061035156,59.78499984741211,1.187152484567747,4.692640110157666
11,50.349998474121094,59.649898529052734,1.184705071236727,4.814675907230563
12,49.720001220703125,59.70000076293945,1.2007240405714374,3.9416252216045082
13,49.790000915527344,59.869998931884766,1.2024502476603471,3.863065769519122
14,49.875,59.959999084472656,1.2022054954280232,3.8840976326845267
15,50.029998779296875,60.08000183105469,1.200879538216512,3.966565618715717
16,50.02000045776367,60.04999923706055,1.2005197658437867,3.9835076744597275
17,50.18000030517578,60.4900016784668,1.2054603688838081,3.752508726309924
18,50.4900016784668,60.84000015258789,1.2049910503079901,3.807456700451607
19,50.689998626708984,60.39120101928711,1.1913829681476156,4.517506463045703
20,50.505001068115234,60.584999084472656,1.1995841560870912,4.082051067460211
21,50.89500045776367,60.84000015258789,1.1954022910968887,4.3364957027178095
22,50.95000076293945,60.974998474121094,1.196761483043465,4.273342799151163
23,50.83000183105469,61.03499984741211,1.2007672171698145,4.056590051676889
24,50.71009826660156,60.84000015258789,1.1997610383779918,4.094962948226379
25,50.869998931884766,61.0,1.199135075305965,4.143837035125853
26,50.474998474121094,60.31999969482422,1.1950470830771938,4.307858876285576
27,50.43000030517578,60.20100021362305,1.1937537150370479,4.368078460806655
28,50.5099983215332,60.31999969482422,1.194219000183749,4.353578234715539
29,50.584999084472656,60.334999084472656,1.192744888335736,4.436550322570267
30,50.720001220703125,60.625,1.1952878261220115,4.32289906315587
31,50.75,60.48500061035156,1.191822672125154,4.502085050591046
32,50.63999938964844,60.529998779296875,1.1953001482790322,4.313396045712605
33,50.46500015258789,60.84000015258789,1.2055880306872042,3.774797880271774
34,50.560001373291016,60.849998474121094,1.2035205067511312,3.88889709577833
35,50.790000915527344,60.755001068115234,1.1962000388454694,4.284336711900562
36,50.59000015258789,60.88990020751953,1.2035955727192216,3.8881819601666168
37,50.6349983215332,61.04499816894531,1.2055890232543982,3.7918638954209287
38,50.61439895629883,61.13999938964844,1.2079566417935252,3.6699542784756547
39,50.5,61.16999816894531,1.2112870924543626,3.4905192223443153
40,50.439998626708984,61.150001525878906,1.2123315462086226,3.4321376868009255
41,50.71500015258789,61.599998474121094,1.2146307461063424,3.3413678283915518
42,50.6349983215332,61.690101623535156,1.2183292913688244,3.146760440831085
43,50.54330062866211,61.584999084472656,1.2184601780745006,3.1320807523252627
44,50.54999923706055,61.54999923706055,1.2176063336502563,3.175830811552413
45,50.5,61.54999923706055,1.2188118660804068,3.110518154229081
46,50.40999984741211,61.61000061035156,1.2221781550652877,2.932952004541545
47,50.09000015258789,60.76499938964844,1.2131163746165217,3.359946238731763
48,50.224998474121094,61.099998474121094,1.2165256412223378,3.2012918273357203
49,50.3650016784668,61.32500076293945,1.2176114110834733,3.1591719552735613
50,50.34000015258789,61.2400016784668,1.216527641891923,3.2115122195663846
51,50.279998779296875,61.095699310302734,1.2151094032138143,3.2774364091206367
52,50.52000045776367,61.31999969482422,1.2137767050514912,3.366643756002003
53,50.19499969482422,60.959999084472656,1.214463581135522,3.3021046191974337
54,50.189998626708984,61.16999816894531,1.2187686758850247,3.0855727740815384
55,50.49810028076172,61.24620056152344,1.2128416756472802,3.4118352776683
56,50.529998779296875,61.31999969482422,1.2135365362397004,3.379704294252133
57,50.5994987487793,61.38999938964844,1.2132531133251485,3.4004905385271487
58,50.584999084472656,61.470001220703125,1.2151824124391786,3.301548186339798
59,50.630001068115234,61.64500045776367,1.2175587429838166,3.1853338289956783
60,50.400001525878906,61.599998474121094,1.222222154943613,2.929893602521884
61,50.724998474121094,62.185001373291016,1.2259241644929095,2.76942546747176
62,50.369998931884766,62.03499984741211,1.2315862847506092,2.455700648407796
63,50.51499938964844,62.029998779296875,1.2279520841092615,2.650111910886122
64,50.5099983215332,62.03499984741211,1.228172676873078,2.6385780821276485
65,50.39500045776367,62.100399017333984,1.2322730122679664,2.422960298665754
66,50.435001373291016,62.224998474121094,1.2337661699177376,2.350612960951847
67,50.41999816894531,62.0,1.2296708102259917,2.5560131531432377
68,50.79499816894531,61.45500183105469,1.2098632551704,3.5908637265680143
69,50.689998626708984,61.279998779296875,1.2089169548134082,3.6287087030359375
70,50.709999084472656,61.38999938964844,1.2106093570892211,3.544834152220969
71,50.599998474121094,61.220001220703125,1.2098814835343035,3.571141485233153
72,50.68000030517578,61.220001220703125,1.2079716032371635,3.6756457233795574
73,50.630001068115234,61.099998474121094,1.2067943350804993,3.7303358126382564
74,50.61000061035156,61.04999923706055,1.2062833135902715,3.7542089901622093
75,50.72999954223633,62.06999969482422,1.223536374037349,2.8909599065817817
76,50.720001220703125,62.150001525878906,1.2253548901830513,2.797897537276964
77,50.50659942626953,62.189998626708984,1.2313242097697568,2.4791394174508214
78,50.099998474121094,61.4900016784668,1.2273453802644156,2.648004488163534
