,amzn,msft,Ratio,Spread
0,168.15797424316406,337.5299987792969,2.007219700989102,26.394281585712875
1,168.19448852539062,336.6499938964844,2.0015518751416383,27.35378272912864
2,167.63650512695312,336.3900146484375,2.0066632526947834,26.398960782967507
3,167.7060089111328,337.8817138671875,2.0147263420133656,25.05858018814054
4,167.41650390625,337.2300109863281,2.0143176038078683,25.07999366138371
5,167.125,337.70001220703125,2.020643304155759,23.975351169237015
6,166.73599243164062,336.2099914550781,2.0164212090734965,24.618452711904936
7,168.76199340820312,332.54998779296875,1.97052654497031,32.68931951561804
8,170.31385803222656,331.989990234375,1.9492834820966611,36.62792476001739
9,170.07138061523438,332.6400146484375,1.9558847199635234,35.44999600945415
10,169.93124389648438,332.32000732421875,1.9556145162254883,35.46490778106933
11,170.43800354003906,333.7265930175781,1.9580527000199197,35.1616026187984
12,170.1387481689453,333.5799865722656,1.9606350120845226,34.65669186271056
13,170.37899780273438,334.739990234375,1.9646787136401551,34.01974236825613
14,169.0489959716797,333.5799865722656,1.973273988732529,32.28416200906942
15,166.75799560546875,328.3900146484375,1.969260984794831,32.486333240981836
16,167.14700317382812,327.7799987792969,1.9610282718525023,33.94326831940761
17,166.69699096679688,327.6400146484375,1.9654824766074972,33.103518343408965
18,166.65200805664062,326.54998779296875,1.959472265596602,34.095611652593405
19,167.82949829101562,329.6864013671875,1.9644127207930557,33.522744855738566
20,167.4875030517578,329.0400085449219,1.9645645349625895,33.42457031949995
21,166.8675079345703,323.2300109863281,1.9370458334708782,37.88475924423183
22,166.75,322.9739990234375,1.9368755563624438,37.88494141067214
23,166.40699768066406,321.6400146484375,1.9328514974211988,38.47216588508685
24,166.5229949951172,321.3550109863281,1.9297936059566485,39.00971053052508
25,165.46900939941406,319.989990234375,1.9338363805754923,38.08006989304688
26,165.30799865722656,317.92999267578125,1.9232583738130127,39.789526481358294
27,164.39999389648438,315.9800109863281,1.9220196029039223,39.7626657221203
28,163.40475463867188,317.4599914550781,1.9427830735835092,36.115922151996884
29,163.7834930419922,315.5299987792969,1.9265067127271407,38.870476751904064
30,163.42324829101562,315.95001220703125,1.9333235357334466,37.666164445531095
31,163.45724487304688,314.8870849609375,1.9264186497545726,38.803106597025604
32,163.30300903320312,314.82000732421875,1.9278273510576212,38.53439309200691
33,163.5,315.1199951171875,1.9273394196769877,38.663279818214065
34,163.21600341796875,313.8399963378906,1.9228506382073278,39.3249817306711
35,163.32550048828125,312.82000732421875,1.915316385922625,40.58335986514909
36,162.8000030517578,312.54998779296875,1.9198401838702792,39.70930429447033
37,162.51998901367188,313.1120910644531,1.9266066467560048,38.5375746634664
38,162.6272430419922,313.8800048828125,1.9300579596111407,38.00316657673268
39,162.20350646972656,313.8399963378906,1.9348533405254422,37.12064643090976
40,162.77468872070312,314.760009765625,1.9337159372837494,37.44416978677823
41,162.5854949951172,314.1099853515625,1.9319680723117147,37.68229527262521
42,157.13626098632812,306.30999755859375,1.9493272630767555,33.618603967016966
43,158.67550659179688,308.6199951171875,1.9449756408286292,34.659740877547236
44,157.52499389648438,305.9800109863281,1.9424219828086402,34.79491178254564
45,158.91000366210938,309.94830322265625,1.9504643891500997,33.841962873604146
46,160.53750610351562,311.9700012207031,1.9432842130956167,35.3635457597792
47,160.5699920654297,311.739990234375,1.9414585890204563,35.664282838386626
48,161.4810028076172,314.0899963378906,1.9450584952837235,35.29766358947053
49,162.8247528076172,312.29998779296875,1.91801297043553,40.01318767712742
50,165.2154998779297,315.239990234375,1.9080533634392152,42.27814725465886
51,165.37899780273438,314.82000732421875,1.903627495068866,43.05408604963078
52,165.3207550048828,315.03338623046875,1.905588842859834,42.7139051263634
53,165.13525390625,314.4464111328125,1.90417493354465,42.89702061676776
54,165.31924438476562,315.25,1.9069165309410927,42.494002543710636
55,165.39700317382812,314.989990234375,1.9044479899271716,42.9233031342559
56,166.39425659179688,322.4599914550781,1.9379274144428322,37.624450099088236
57,165.23797607421875,318.6000061035156,1.9281282285883987,38.96706493832586
58,165.55624389648438,319.2311096191406,1.928233584586172,39.02887116096356
59,165.57540893554688,318.9700012207031,1.9264334194993158,39.33170429960906
60,165.40451049804688,319.07989501953125,1.9290882338018165,38.84974275370344
61,165.04010009765625,317.7200012207031,1.925107904277229,39.41626852255793
62,165.28750610351562,318.2900085449219,1.9256749408850324,39.384895702902966
63,164.58999633789062,317.7699890136719,1.9306762019807966,38.38634730072381
64,164.2897491455078,314.3699951171875,1.913509496193563,41.13266467406142
65,161.99575805664062,310.0,1.9136303550097329,40.508347913759295
66,162.39950561523438,310.07000732421875,1.909303887038014,41.31735064201111
67,162.00999450683594,309.239990234375,1.9087710679560992,41.29935225152924
68,162.05099487304688,306.989990234375,1.894403613349461,43.63861529049326
69,161.24850463867188,304.82000732421875,1.8903741650644394,44.06147436544417
70,160.8262481689453,307.0899963378906,1.9094519696517305,40.87217903347984
71,160.281005859375,306.885009765625,1.9146686041818035,39.89010339089545
72,160.843505859375,308.69000244140625,1.9191946904669748,39.309745128352134
73,160.35000610351562,307.3699951171875,1.9168692448864741,39.55534039221551
74,160.71450805664062,307.7699890136719,1.9150106156265898,39.94891384771212
75,161.49925231933594,309.760009765625,1.9180275160229838,39.66738168187051
76,162.1199951171875,310.20001220703125,1.9133976162706208,40.57881567071958
77,159.1750030517578,309.55999755859375,1.9447777077028627,34.807206087978685
78,158.11996459960938,305.6700134277344,1.9331525541493166,36.40023662632207
79,158.2530059814453,305.37811279296875,1.929682857517243,36.981785358120604
80,157.8885040283203,303.8269958496094,1.9243136016736988,37.73933494949894
