,nvda,msft,Ratio,Spread
0,234.02639770507812,290.6600036621094,1.2419966572677044,63.131908464064395
1,237.50999450683594,294.5799865722656,1.2402845917449892,64.50089017640704
2,238.34010314941406,295.5450134277344,1.240013785017366,64.79617428494277
3,241.35000610351562,295.8900146484375,1.2259788985525426,69.02095284856063
4,240.6013946533203,296.9800109863281,1.2343237303933465,66.79437851344522
5,239.30499267578125,295.82000732421875,1.2361631239554036,65.98612218855442
6,238.14999389648438,296.1099853515625,1.2433759938716242,63.942569327392846
7,240.00999450683594,296.8299865722656,1.236740108186667,66.0465107113597
8,241.60000610351562,297.3399963378906,1.230711874280718,67.9505332126028
9,242.11500549316406,294.7799987792969,1.2175205670497766,71.29242767473158
10,245.00999450683594,297.8299865722656,1.2155830098757705,72.63775178126497
11,241.92999267578125,295.6300048828125,1.2219650883840454,70.16152619166093
12,240.44000244140625,295.4200134277344,1.2286641591584846,68.10934263454999
13,238.05650329589844,293.5304870605469,1.2330286423458705,66.38012568104489
14,240.3592987060547,295.135009765625,1.2278909588871691,68.27181799460027
15,243.88999938964844,299.1300048828125,1.226495574363057,69.63730288438063
16,242.02499389648438,299.25,1.2364425474502485,66.68576650813196
17,238.2987060546875,297.1863098144531,1.2471167583522313,63.09202683309144
18,235.11000061035156,295.8999938964844,1.258559793834037,59.53709640528547
19,231.86000061035156,294.30999755859375,1.2693435555242298,56.192786047737684
20,233.26499938964844,295.2200012207031,1.265599219742197,57.41591927294132
21,233.2924041748047,293.7749938964844,1.259256575179192,58.90253386327811
22,234.8800048828125,295.010009765625,1.2560030808617058,60.07788993358537
23,238.41000366210938,296.85009765625,1.24512433663214,63.59721638498314
24,239.6999969482422,298.0299987792969,1.2433458597150076,64.37584526465497
25,240.5063934326172,299.2699890136719,1.244332779442383,64.36016505244294
26,242.4803924560547,300.0199890136719,1.2372958735954094,66.60718554417724
27,242.4499969482422,300.0,1.2373685451686909,66.58102663239976
28,242.8300018310547,300.3900146484375,1.2370383082129586,66.7679537185964
29,242.13999938964844,300.17999267578125,1.2396960164881128,65.93038071694508
30,238.15499877929688,298.3399963378906,1.2527135599381998,61.72015699545602
31,237.88999938964844,297.3500061035156,1.2499474835698139,62.30781237979119
32,237.5800018310547,296.0199890136719,1.245980245526618,63.16717622996151
33,240.8300018310547,298.1300048828125,1.237927179404975,65.9914670562593
34,238.4550018310547,297.80999755859375,1.2489148697731745,62.70563487227304
35,236.86590576171875,295.760009765625,1.2486390087020471,62.34298039612821
36,237.14999389648438,295.95001220703125,1.2479444226180878,62.58429425794304
37,231.3300018310547,289.95001220703125,1.2534042705744153,59.74810169922051
38,228.7700958251953,287.8999938964844,1.2584686510621153,57.911547288412066
39,229.9575958251953,291.7699890136719,1.268799093009582,55.84447192532707
40,228.80999755859375,290.3800048828125,1.2690879243965372,55.49211703755083
41,226.4302978515625,289.4049987792969,1.278119587021953,52.85414831105504
42,226.60499572753906,288.70001220703125,1.2740231576983978,53.82436962150837
43,229.36000061035156,289.67999267578125,1.2629926399760714,57.02717039559752
44,219.01010131835938,280.2300109863281,1.2795300732680714,50.76343597009975
45,220.66000366210938,282.4700012207031,1.280114187133078,51.02840702236631
46,218.8000030517578,281.8163146972656,1.288008732936814,48.858150941133886
47,218.59500122070312,282.5849914550781,1.2927330903132954,47.77823051945978
48,218.63999938964844,282.8900146484375,1.293862126958234,47.54152571573405
49,215.75,281.5,1.3047508690614136,44.54380395243146
50,213.3800048828125,278.8999938964844,1.307057772585839,43.54556920213332
51,209.47999572753906,273.95001220703125,1.3077621624708518,42.57436895708281
52,212.3249053955078,271.2200012207031,1.277381947800653,49.623658965741924
53,218.72500610351562,280.05999755859375,1.2804205726072775,50.500604097083055
54,220.42990112304688,280.8599853515625,1.2741464924705599,52.289070122542796
55,219.0,278.80999755859375,1.2731050116830764,52.16811308927612
56,217.16000366210938,277.42999267578125,1.2775372444156388,50.75454681835453
57,215.10000610351562,275.739990234375,1.2819153064164803,49.31696164562044
58,228.74009704589844,284.79998779296875,1.24508117059958,60.966007798838575
59,225.47279357910156,284.6700134277344,1.2625470634791462,56.13540451107451
60,227.89999389648438,285.92999267578125,1.254629224806627,58.560517809868315
61,230.67999267578125,286.8324890136719,1.2434216148810637,61.87874965351466
62,229.99009704589844,287.6499938964844,1.25070599817643,60.01381196279925
63,231.25999450683594,288.7550048828125,1.2486163268255073,60.8368205284786
64,230.13999938964844,288.4800109863281,1.2534979219231883,59.41138383862551
65,222.88999938964844,283.45001220703125,1.2717035891391157,53.434083066559765
66,219.5,281.1199951171875,1.2807289071398065,50.617239637672924
67,221.9199981689453,282.67999267578125,1.273792335112494,52.73139997691777
68,222.2899932861328,283.79998779296875,1.2767105869118451,52.17314928558193
69,225.8800048828125,285.67498779296875,1.2647201240374426,55.74867798041214
70,226.1199951171875,285.4599914550781,1.2624270193670288,56.328039063015524
71,226.5800018310547,285.54998779296875,1.260261212310714,56.93644709687305
72,226.79989624023438,285.760009765625,1.259965346116993,57.06027941821827
73,222.8300018310547,285.4800109863281,1.2811560770114494,51.312993101084714
74,223.22560119628906,283.75,1.271135561868148,53.64362211713194
75,225.8300018310547,285.65399169921875,1.2649071840902648,55.69375703013725
76,225.94000244140625,285.2200012207031,1.2623705326137196,56.29475573885594
77,222.7841033935547,282.4049987792969,1.2676173680148988,54.31832008735705
78,221.0,280.0199890136719,1.2670587738175199,53.9946180621601
79,220.8300018310547,284.29998779296875,1.2874155931514757,49.45651986648198
80,218.8800048828125,281.9150085449219,1.2879888626458047,48.88091973059164
