,meta,nflx,Ratio,Spread
0,333.7900085449219,586.72998046875,1.7577817353684724,-42.24995540114882
1,325.45001220703125,593.739990234375,1.824366163663482,-62.90509061682307
2,334.20001220703125,604.9199829101562,1.8100537427132664,-59.7691480270826
3,330.45001220703125,614.239990234375,1.8587985097411515,-75.22455617938208
4,335.239990234375,614.0900268554688,1.8317922823769994,-67.23767675902165
5,346.17999267578125,613.1199951171875,1.7711017623465373,-48.36863167721791
6,346.2200012207031,610.7100219726562,1.7639362827664886,-45.89320027678165
7,342.94000244140625,610.5399780273438,1.7803113479934698,-51.08958492522962
8,344.3599853515625,612.0900268554688,1.7774714046133335,-50.31638993393248
9,336.3500061035156,602.4400024414062,1.7911104251801273,-53.77154773623696
10,338.5400085449219,597.3699951171875,1.7645477049662233,-45.118462334017444
11,336.5299987792969,591.1500244140625,1.7566042449658419,-42.18708245234999
12,324.1700134277344,567.52001953125,1.7506863559968493,-38.77933473248212
13,332.4599914550781,553.2899780273438,1.6642302600254506,-10.98600308091299
14,331.7900085449219,541.0599975585938,1.63073023184584,0.14781373403100817
15,328.07000732421875,539.8499755859375,1.6455328543716126,-4.7284839119695725
16,334.3699951171875,540.8400268554688,1.6174897112580906,4.588918237666878
17,333.260009765625,537.219970703125,1.6120145080741637,6.392919711308156
18,326.4800109863281,519.2000122070312,1.5902964798318804,13.320075507432723
19,331.8999938964844,525.6900024414062,1.583880723436719,15.697756642432712
20,318.1499938964844,510.79998779296875,1.6055319742019747,8.091301587907612
21,319.5899963378906,515.8599853515625,1.614130577498311,5.387301941698372
22,316.55999755859375,508.25,1.605540826130204,8.039885421372407
23,303.1700134277344,397.5,1.3111455038238824,96.88244016151585
24,308.7099914550781,387.1499938964844,1.2540896135939301,116.29644247210184
25,300.1499938964844,366.4200134277344,1.2207896747587648,123.02135197835447
26,294.6300048828125,359.70001220703125,1.220853294796299,120.71006115492987
27,294.6400146484375,386.70001220703125,1.312449066595517,93.72643820141111
28,301.7099914550781,384.3599853515625,1.273938537792144,107.63370280460636
29,313.260009765625,427.1400146484375,1.3635318946967259,83.75073801623178
30,319.0,457.1300048828125,1.433009419695337,63.15198533843269
31,323.0,429.4800109863281,1.329659476737858,97.3464067848699
32,237.75999450683594,405.6000061035156,1.7059220031730529,-18.23534840921472
33,237.08999633789062,410.1700134277344,1.7300182199301966,-23.901544352249385
34,224.91000366210938,402.1000061035156,1.787826239634967,-35.75930693443204
35,220.17999267578125,403.5299987792969,1.8327278236106657,-44.92810316283957
36,232.0,412.8900146484375,1.7796983390018857,-34.949323638665
37,228.07000732421875,406.2699890136719,1.7813389571918958,-34.75918608852326
38,219.5500030517578,391.30999755859375,1.7823274521492236,-33.73883230504729
39,217.6999969482422,396.57000732421875,1.821635337085019,-42.02564979852938
40,221.0,407.4599914550781,1.8437103685750142,-47.51647620767577
41,216.5399932861328,398.0799865722656,1.8383670403381258,-45.43351902766492
42,207.7100067138672,386.6700134277344,1.861585869381802,-48.47034773044576
43,206.16000366210938,391.2900085449219,1.8979918587226818,-55.62631351624194
44,202.0800018310547,377.3800048828125,1.8674782336864495,-48.391628950885526
45,198.4499969482422,367.4599914550781,1.8516502751618358,-44.410691513536484
46,207.60000610351562,390.0299987792969,1.8787571643173082,-52.01030583823232
47,210.47999572753906,390.79998779296875,1.8567084555572173,-48.06832399214492
48,211.02999877929688,394.5199890136719,1.8694971866358951,-50.88846143172757
49,203.49000549316406,386.239990234375,1.8980784304286145,-54.94469759948735
50,208.11000061035156,380.0299987792969,1.826101569673408,-41.17590031301692
51,202.97000122070312,368.07000732421875,1.8134207277458265,-37.62549726102768
52,200.05999755859375,361.7300109863281,1.8081076447098543,-36.04657795733008
53,187.47000122070312,350.260009765625,1.8683523096224541,-45.17515645850094
54,190.2899932861328,341.760009765625,1.7959957003715465,-32.06134801758939
55,198.5,358.7900085449219,1.8075063402766844,-35.65889826600384
56,195.2100067138672,356.7699890136719,1.8276214166449691,-39.02165940998564
57,187.61000061035156,340.32000732421875,1.8139758340016832,-35.006100051446744
58,186.6300048828125,331.010009765625,1.7736162519712233,-27.299480252388644
59,192.02999877929688,343.75,1.790084893949707,-31.204503280331362
60,203.6300048828125,357.5299987792969,1.7557824986796648,-26.005652178761277
61,207.83999633789062,371.3999938964844,1.786951503274135,-32.98765128002899
62,216.49000549316406,380.6000061035156,1.7580488542023411,-28.035323931281464
63,211.49000549316406,374.5899963378906,1.771194792228602,-30.205848603097404
64,216.64999389648438,382.9200134277344,1.7674591470826166,-30.093573126909615
65,213.4600067138672,374.489990234375,1.7543801108202939,-26.882709934029247
66,219.57000732421875,375.7099914550781,1.7111170875915758,-18.10609707357916
67,221.82000732421875,373.8500061035156,1.685375501575407,-12.564871225168229
68,223.58999633789062,378.510009765625,1.692875423610716,-14.3289836712306
69,229.86000061035156,391.82000732421875,1.7046028290429467,-17.380584055070624
70,227.85000610351562,381.4700012207031,1.6742154531582312,-10.31914380800269
71,222.36000061035156,374.5899963378906,1.684610520370957,-12.421374724903938
72,224.85000610351562,373.4700012207031,1.6609739429972101,-7.227464470467265
73,233.88999938964844,391.5,1.6738637864878592,-10.467067971475256
74,231.83999633789062,380.1499938964844,1.6397084191738955,-2.4710859803123912
75,223.3000030517578,368.3500061035156,1.6495745681568006,-4.643440021888448
76,222.9499969482422,362.1499938964844,1.6243552314582783,0.9839247885179998
77,222.3300018310547,355.8800048828125,1.6006836771999873,6.239535520750355
78,216.4600067138672,348.0,1.6076872826674726,4.515600962810328
