,pfe,bmy,Ratio,Spread
0,59.70500183105469,61.849998474121094,1.0359265819827965,23.46274330171978
1,58.91999816894531,61.77669906616211,1.0484844023420636,22.39524017787134
2,59.64500045776367,61.81999969482422,1.0364657426501442,23.405545394088616
3,59.790000915527344,61.9900016784668,1.036795462941164,23.446264579421918
4,60.03499984741211,61.9900016784668,1.032564368052363,23.80230801625535
5,59.720001220703125,61.70500183105469,1.0332384556225265,23.62953773059591
6,59.470001220703125,61.56999969482422,1.0353118955946823,23.401228653493302
7,60.16999816894531,61.18000030517578,1.016785809655413,24.808495005522996
8,60.680599212646484,61.63990020751953,1.0158090231032708,25.090623442044045
9,60.85499954223633,61.595001220703125,1.0121600802568933,25.38896881025634
10,61.25360107421875,61.685001373291016,1.0070428561179539,25.878234282552253
11,61.22999954223633,61.970001220703125,1.012085606467404,25.55893563025594
12,60.90959930419922,61.849998474121094,1.0154392604887328,25.213318379904106
13,61.040000915527344,61.720001220703125,1.011140240743391,25.532821103850917
14,57.53499984741211,61.57500076293945,1.0702181441946952,20.584196798452066
15,58.31800079345703,61.58000183105469,1.0559347198672084,21.71708782533089
16,58.630001068115234,61.64500045776367,1.0514241742234607,22.105501992007188
17,58.71500015258789,61.53499984741211,1.0480286074682046,22.33902708440659
18,58.80500030517578,61.334999084472656,1.043023531437244,22.669820105893518
19,59.20000076293945,61.380001068115234,1.0368243290047474,23.198850504559882
20,58.959999084472656,61.459999084472656,1.0424016288809337,22.77007128417949
21,59.060001373291016,61.71500015258789,1.0449542620650456,22.660398027610977
22,59.14500045776367,61.8650016784668,1.0459886921912447,22.633920983779912
23,60.125,62.08000183105469,1.0325156229697245,23.84310012221493
24,60.14500045776367,62.276798248291016,1.0354443058326084,23.675369267287945
25,59.74150085449219,62.04999923706055,1.0386414527514298,23.315784556742525
26,59.239601135253906,61.84000015258789,1.043896295172495,22.79640045734325
27,59.54999923706055,62.099998474121094,1.0428211464270443,22.98748657974465
28,58.974998474121094,62.33000183105469,1.0568885704745852,21.92186632340717
29,58.724998474121094,62.42499923706055,1.0630055488987364,21.463557704068247
30,58.519100189208984,62.31999969482422,1.0649514345457438,21.26933662344612
31,58.339900970458984,62.345699310302734,1.0686630980376899,20.983216665598004
32,58.74129867553711,62.41999816894531,1.062625436896243,21.492246955999587
33,58.79010009765625,62.38999938964844,1.0612330866253399,21.593166150826402
34,58.70000076293945,62.040000915527344,1.0568994907866613,21.812228230481647
35,59.060001373291016,62.150001525878906,1.0523196762739206,22.22539665431996
36,58.81999969482422,62.05500030517578,1.0549983105599408,21.971616671000117
37,59.09000015258789,62.064998626708984,1.0503469024613092,22.353995125109318
38,59.284698486328125,62.154998779296875,1.0484155332869016,22.546939323981785
39,59.18050003051758,62.209999084472656,1.051190832324716,22.340513149174168
40,59.04999923706055,62.2599983215332,1.0543606964597219,22.100864305666416
41,59.220001220703125,62.290000915527344,1.0518405881719395,22.317916219457114
42,57.95000076293945,62.32500076293945,1.075496116348594,20.43729474307035
43,57.63999938964844,62.439998626708984,1.083275490768353,19.871788979039717
44,57.39500045776367,62.349998474121094,1.0863315267329556,19.605745694794162
45,57.595001220703125,62.31999969482422,1.082038343154382,19.926394553495324
46,57.69499969482422,62.345001220703125,1.0805962657158321,20.046715295473984
47,57.91999816894531,62.30500030517578,1.075707912204002,20.413694085525417
48,58.02000045776367,62.36000061035156,1.0748017945251007,20.504021591896358
49,57.54999923706055,62.28499984741211,1.0822762931906758,19.89599549978912
50,57.63999938964844,62.349998474121094,1.0817140724210093,19.961789131627608
51,57.78499984741211,62.32229995727539,1.078520379369119,20.20020881744919
52,57.91999816894531,62.36000061035156,1.0766575031382999,20.358693780349636
53,57.77000045776367,62.41999816894531,1.0804915643817816,20.080712819969545
54,57.58000183105469,62.400001525878906,1.083709613434306,19.824594936630927
55,57.57500076293945,62.29999923706055,1.0820668417109693,19.917329448949655
56,58.27000045776367,62.744998931884766,1.076797639247742,20.482334483696217
57,57.935001373291016,62.880001068115234,1.0853542690533868,19.860496652084844
58,58.19499969482422,62.72999954223633,1.0779276548018515,20.388339400606906
59,58.08000183105469,62.682498931884766,1.0792440935903893,20.268719957291193
60,58.21009826660156,62.64500045776367,1.076187849243104,20.495280406807648
61,58.584999084472656,62.65999984741211,1.069557067963145,21.025103701240436
62,58.400001525878906,62.52000045776367,1.0705479250725545,20.89625634098348
63,59.22999954223633,62.83000183105469,1.0607800492426347,21.792445313239863
64,59.39500045776367,62.720001220703125,1.0559811556075984,22.142232654876647
65,59.540199279785156,62.619998931884766,1.051726391402006,22.453244384507638
66,59.275001525878906,62.650001525878906,1.056937999377807,22.03784451953396
67,59.314998626708984,62.665000915527344,1.0564781651585486,22.08097071081505
68,59.22999954223633,62.59000015258789,1.0567280201978657,22.03244699170666
69,59.04999923706055,62.36000061035156,1.0560542153438948,22.000862016848057
70,57.369998931884766,62.15999984741211,1.0834931323811683,19.759410982694174
71,57.03499984741211,61.869998931884766,1.0847724922838242,19.562576202840614
72,57.23500061035156,61.665000915527344,1.0774001966966795,20.058224298602322
73,56.875,61.640098571777344,1.083781952910371,19.559957608162446
74,56.89179992675781,61.65999984741211,1.083811725535013,19.564470739624834
75,56.76499938964844,61.880001068115234,1.0901083719451172,19.16019729096774
76,56.59000015258789,61.8650016784668,1.093214375537295,18.920879940020864
77,54.4921989440918,61.20000076293945,1.123096552329073,16.537262045987074
78,54.904998779296875,61.63999938964844,1.1226664376667128,16.69716265524627
79,55.040000915527344,61.819000244140625,1.1231649566833648,16.71435296041987
