,cb,gs,Ratio,Spread
0,193.64999389648438,382.20001220703125,1.9736639517341596,-62.705616862293205
1,193.72999572753906,382.79998779296875,1.975945884659683,-63.17291589775534
2,193.5,381.260009765625,1.9703359677810077,-62.01436713711298
3,194.05999755859375,382.8599853515625,1.9728949302700223,-62.68563217518733
4,193.97000122070312,383.489990234375,1.977058245197576,-63.46488868773543
5,193.75,383.5899963378906,1.9798193359375,-63.92974897869221
6,193.33999633789062,382.4800109863281,1.9782767054463317,-63.499721458766835
7,193.52999877929688,395.6300048828125,2.0442825782993572,-76.33461171105523
8,191.5399932861328,394.7449951171875,2.060901164006496,-78.74986471166108
9,191.85000610351562,396.8800048828125,2.068699464459072,-80.37074335464473
10,191.4949951171875,398.5,2.0809943348970217,-82.57949540934135
11,191.83999633789062,396.2200012207031,2.0653670182668007,-79.72734007726012
12,191.23500061035156,395.8299865722656,2.069861611676327,-80.3406617915536
13,191.5500030517578,395.29998779296875,2.063690845706521,-79.28825700271756
14,193.50999450683594,407.989990234375,2.108366502072131,-88.72777252660273
15,195.41000366210938,404.8599853515625,2.071848819222279,-82.44675650729505
16,194.2050018310547,408.54010009765625,2.103653851578234,-88.12526909195287
17,194.47999572753906,406.9100036621094,2.092297473269069,-86.03911757483678
18,194.80999755859375,407.1199951171875,2.089831118624887,-85.70182774875315
19,194.94000244140625,408.010009765625,2.0930029991574557,-86.3762398394851
20,195.5500030517578,407.4700012207031,2.083712579195689,-84.82459473946989
21,196.47999572753906,409.6600036621094,2.0849959923156214,-85.47227972934576
22,195.8300018310547,406.4100036621094,2.0753204302817965,-83.30024190694456
23,196.36000061035156,409.7099914550781,2.086524700456124,-85.72126969529535
24,196.44000244140625,407.1083984375,2.072431243014933,-82.9870001272418
25,195.94000244140625,403.8800048828125,2.0612432369627456,-80.58781603392708
26,194.52000427246094,399.3999938964844,2.0532592284804365,-78.46275688124183
27,194.02999877929688,398.70001220703125,2.0548369567354388,-78.57540957390125
28,195.89500427246094,389.37469482421875,1.9876703659203898,-66.1571317902011
29,196.74000549316406,391.8699951171875,1.9918165303233328,-67.25106606901278
30,197.5749969482422,395.2900085449219,2.000708665826143,-69.28631386731473
31,197.85499572753906,395.4200134277344,1.9985343911773494,-68.95196347619566
32,197.10000610351562,397.072998046875,2.0145762848852216,-71.85703717429328
33,197.43499755859375,397.5400085449219,2.0135235062716883,-71.76849150428058
34,198.0399932861328,396.95001220703125,2.0043931815000042,-70.17515880365897
35,199.5800018310547,398.1099853515625,1.9947388601016462,-68.78115263610198
36,199.67999267578125,397.739990234375,1.9918870433863753,-68.24533080991864
37,200.2899932861328,399.875,1.9964801707728927,-69.36870402045031
38,200.15499877929688,399.32000732421875,1.9950538820393557,-69.03758878927243
39,200.43499755859375,398.5299987792969,1.988325410400414,-67.78322497041898
40,201.25,397.06500244140625,1.972993800951087,-64.96661316161646
41,201.1699981689453,397.510009765625,1.9759905223630347,-65.54429703631058
42,199.41000366210938,396.5,1.9883656422365354,-67.45309546475045
43,198.3300018310547,398.3999938964844,2.0087732073731193,-71.14418483445576
44,196.91000366210938,396.0899963378906,2.0115280532804576,-71.18913910950488
45,197.89999389648438,396.5,2.0035372017616,-69.95732423359351
46,198.02999877929688,398.29998779296875,2.01131136821786,-71.54170946885665
47,197.4600067138672,397.1600036621094,2.011344019843071,-71.34701096512072
48,198.80999755859375,399.1199951171875,2.007544892200695,-71.0681520577711
49,195.67999267578125,398.56500244140625,2.0368204076018217,-75.70401870793194
50,195.3699951171875,399.05999755859375,2.042585901275312,-76.71311964229625
51,197.9199981689453,397.86138916015625,2.010213181290251,-71.28553792976476
52,199.0,399.5299987792969,2.0076884360768688,-71.1630520756845
53,199.6999969482422,401.8599853515625,2.012318435116029,-72.33215046312114
54,199.56500244140625,402.81500244140625,2.0184651492672203,-73.51104499756832
55,199.49000549316406,403.1000061035156,2.0206526392487802,-73.9204250177907
56,198.80999755859375,395.5199890136719,1.9894371202187822,-67.46814595425548
57,197.89999389648438,394.0799865722656,1.9913087353524488,-67.53731080585914
58,198.1300048828125,393.0,1.983546107680393,-66.07586966142759
59,198.0,392.2221984863281,1.9809201943753945,-65.51367070546127
60,197.89999389648438,390.3500061035156,1.9724609304823737,-63.80733033710914
61,197.7899932861328,389.92999267578125,1.9714343794515892,-63.569744003095316
62,197.8800048828125,390.3999938964844,1.9729127969634177,-63.890468288598306
63,198.89999389648438,394.4800109863281,1.9833083111688357,-66.27891629717612
64,199.75,395.25,1.9787234042553192,-65.63923910432845
65,199.14999389648438,392.8500061035156,1.9726337843008623,-64.23430668367723
66,198.91000366210938,394.8800048828125,1.9852194339787934,-66.66230980893573
67,198.48269653320312,393.19500732421875,1.9810039574832319,-65.68596647874415
68,197.92999267578125,391.3900146484375,1.9774164054537857,-64.79758833878577
69,197.67999267578125,391.2300109863281,1.9791077776292312,-65.05218940736279
70,195.77999877929688,382.7300109863281,1.9548984236013829,-59.70317523839345
71,194.27999877929688,380.9800109863281,1.9609842154627737,-60.440803622511744
72,194.85000610351562,380.05999755859375,1.9505259720478727,-58.575479262189454
73,194.6428985595703,375.5,1.9291739014309761,-54.35895277351796
74,194.64500427246094,377.3999938964844,1.938914360053166,-56.25545451589864
75,195.33999633789062,380.0249938964844,1.945454085292055,-57.72786652343206
76,196.22000122070312,380.95001220703125,1.9414433280863588,-57.19346808421427
77,193.2899932861328,351.739990234375,1.8197527158774538,-32.842626714043895
78,194.57000732421875,349.8999938964844,1.7983244113951946,-28.879830874011652
