,amd,amat,Ratio,Spread
0,128.49989318847656,146.43719482421875,1.1395900120277356,12.463626546040846
1,128.10000610351562,146.1699981689453,1.1410616019083373,12.232451126902252
2,125.91000366210938,143.5399932861328,1.1400205631899993,12.133095395836396
3,127.34829711914062,144.85000610351562,1.1374318257903464,12.615601818888454
4,130.8800048828125,146.83999633789062,1.1219436954435356,15.027115385442958
5,130.47999572753906,147.74000549316406,1.1322808884947113,13.628582021724785
6,132.0,149.57000732421875,1.1331061160925664,13.6929341492519
7,135.9582061767578,161.0749969482422,1.1847390567865415,7.12098561970129
8,133.42999267578125,157.22999572753906,1.1783707139187884,7.815119872141995
9,134.23980712890625,156.7899932861328,1.1679843456238903,9.264379486562891
10,133.08900451660156,155.22999572753906,1.1663622873381372,9.390152468513751
11,132.5399932861328,154.8699951171875,1.168477463122001,9.06593026674091
12,132.6898956298828,153.57000732421875,1.1573602239659428,10.552738651880592
13,131.92999267578125,152.42999267578125,1.1553854402946786,10.74569992992878
14,132.04820251464844,152.13999938964844,1.1521550198517179,11.183016009989533
15,128.85000610351562,146.41000366210938,1.1362824736266322,12.927157130723717
16,130.8699951171875,147.74929809570312,1.1289776389416157,14.105338636948037
17,130.6300048828125,145.6750030517578,1.1151726066491545,15.880538172580575
18,129.63999938964844,144.3000030517578,1.1130824107615658,16.021712150528234
19,129.27999877929688,144.05999755859375,1.1143254866866827,15.813055364469083
20,128.27000427246094,143.0399932861328,1.115147645760568,15.574321667021
21,126.31999969482422,145.47999572753906,1.151678246350565,10.704063628426159
22,127.29000091552734,145.77000427246094,1.1451803222878234,11.622950140945878
23,126.75,144.15359497070312,1.1373064691968688,12.566366023868884
24,123.55999755859375,141.36000061035156,1.1440595937477,11.384317774361396
25,121.88999938964844,139.14999389648438,1.1416030403910375,11.513035836951307
26,120.0801010131836,137.4949951171875,1.1450273105790603,10.912390855105347
27,124.26000213623047,140.8300018310547,1.1333494238689772,12.786719655870971
28,121.7699966430664,138.44320678710938,1.13692379571066,12.070265683792886
29,121.37999725341797,138.75999450683594,1.143186667051342,11.26742874630401
30,120.66000366210938,137.2100067138672,1.1371622952880365,11.920101489203379
31,119.91999816894531,135.77999877929688,1.1322548436667563,12.427853900716517
32,118.70999908447266,135.0399932861328,1.1375620784062168,11.659859319749192
33,111.93000030517578,133.60000610351562,1.1936031960980689,4.650056090957609
34,112.22000122070312,134.1699981689453,1.1955979033102406,4.441486945367561
35,113.83000183105469,137.6199951171875,1.2089958086923487,2.998004771324449
36,113.22989654541016,137.24000549316406,1.2120474334101754,2.630093982156271
37,114.36000061035156,139.51499938964844,1.2199632620238017,1.7635284353929452
38,115.51000213623047,139.52999877929688,1.2079473309569992,3.1817552427977236
39,114.97000122070312,140.25999450683594,1.2199703663356902,1.7787660964238543
40,110.62999725341797,134.93299865722656,1.2196782247778437,1.6968931391209625
41,110.70999908447266,135.30999755859375,1.222202137815493,1.419599079442722
42,107.7699966430664,130.9600067138672,1.2151805770914696,2.1055178133054
43,106.37999725341797,130.5500030517578,1.2272044220941476,0.7831902616717659
44,104.58999633789062,130.3800048828125,1.2465819815272212,-1.2776574831936185
45,103.1500015258789,129.77999877929688,1.2581676864710165,-2.472290988193802
46,103.45339965820312,129.9600067138672,1.2562178443940801,-2.274179292834273
47,102.48999786376953,130.72000122070312,1.2754415449833176,-4.234844110968279
48,102.56999969482422,130.10000610351562,1.2684021301608779,-3.5151441520918323
49,101.37999725341797,126.30000305175781,1.2458079155008035,-1.198219718231695
50,103.7605972290039,129.10000610351562,1.2442103221378593,-1.031323880784694
51,103.43319702148438,129.4199981689453,1.2512423660467844,-1.759348930326294
52,102.9104995727539,130.1699981689453,1.264885494768393,-3.1607773500241163
53,100.84989929199219,127.72000122070312,1.2664365767080594,-3.27886943260803
54,103.11109924316406,130.37899780273438,1.264451632847645,-3.1197732261813624
55,105.23999786376953,132.41000366210938,1.2581718581324062,-2.497571063427611
56,110.15499877929688,135.1999969482422,1.227361431133277,0.8379128016898991
57,111.1729965209961,134.59010314941406,1.2106366416416185,2.71651885794677
58,111.76000213623047,135.78500366210938,1.2149695872105792,2.2531928750576387
59,111.30000305175781,135.50999450683594,1.217520132895412,1.954913453185188
60,112.49150085449219,136.72000122070312,1.2153807192736321,2.229848999116402
61,112.48999786376953,135.55999755859375,1.2050848976169688,3.3879795109480173
62,114.20999908447266,138.17999267578125,1.2098764887790583,2.9115909481876403
63,115.22000122070312,135.39999389648438,1.175143138881995,6.950337205770584
64,115.44000244140625,137.6699981689453,1.1925675264847844,4.954516493765713
65,115.04000091552734,137.89500427246094,1.198670055415905,4.2309956901824
66,115.16000366210938,138.1208038330078,1.199381724910913,4.154753392168946
67,113.5199966430664,137.0500030517578,1.207276313464625,3.18164295230375
68,115.4541015625,137.47999572753906,1.1907761947557622,5.162090415950278
69,116.81999969482422,138.61000061035156,1.1865262880709695,5.734379783797099
70,124.86000061035156,138.3699951171875,1.1082011408040622,15.994493665651166
71,122.16999816894531,137.77000427246094,1.1276909743580648,13.241982898509011
72,122.41000366210938,138.22999572753906,1.1292377386826808,13.081105968497727
73,124.2571029663086,138.57000732421875,1.1151878163600113,15.043100979429997
74,122.30000305175781,139.125,1.1375715169943355,12.049009915808742
75,122.80000305175781,140.38999938964844,1.1432410089637928,11.407151524150667
76,122.80000305175781,140.83999633789062,1.146905479135284,10.95715457590848
77,124.62000274658203,140.75,1.1294334528801024,13.315383766148873
78,123.35140228271484,137.94000244140625,1.1182686202890106,14.544347406532186
