,ibm,avgo,Ratio,Spread
0,134.41000366210938,627.5800170898438,4.669146640807366,-87.23681290613325
1,134.17999267578125,624.52001953125,4.654345309440253,-85.1084162015863
2,134.77499389648438,626.3049926757812,4.647041521343511,-84.48348860957134
3,134.55999755859375,624.364990234375,4.640049060364297,-83.4142740170119
4,134.5850067138672,622.0800170898438,4.622208909291132,-81.02800766564889
5,134.97999572753906,621.5599975585938,4.604830472903779,-78.90818584516893
6,134.80999755859375,618.8800048828125,4.5907574815719645,-76.9167274081388
7,133.91000366210938,608.9000244140625,4.54708392026095,-70.58194274497345
8,134.5749969482422,611.0700073242188,4.54073952206172,-70.0585399034905
9,135.59500122070312,604.1099853515625,4.45525262666781,-58.96725069649295
10,135.60899353027344,610.6400146484375,4.502946292512066,-65.44060771108315
11,135.6909942626953,612.97998046875,4.51746988663103,-67.4484504725097
12,135.00999450683594,613.2899780273438,4.542552425600545,-70.51666390718839
13,135.0,621.6799926757812,4.605036982783565,-78.94715875725791
14,129.5,619.3200073242188,4.782393878951496,-98.86352106653027
15,130.61000061035156,625.1699829101562,4.786539927943374,-100.21772219793496
16,131.07000732421875,624.0,4.7608145657339795,-97.18459938151994
17,131.49819946289062,624.8541259765625,4.751807466024651,-96.30444227686581
18,131.8300018310547,623.6900024414062,4.731017171953691,-93.79643784936212
19,132.59500122070312,623.9149780273438,4.705418547331533,-90.9229784600023
20,132.8300018310547,622.0399780273438,4.682978012892832,-88.09616840605696
21,131.8800048828125,629.25,4.771382898864361,-99.15391079612681
22,132.07000732421875,622.97998046875,4.717043582343385,-92.11433482102717
23,132.83999633789062,624.510009765625,4.701219715311697,-90.52571994270619
24,133.35000610351562,623.030029296875,4.672140988229392,-86.98007495586825
25,133.16419982910156,622.030029296875,4.67115058022477,-86.73263589521599
26,133.27999877929688,621.0800170898438,4.659964156499674,-85.31360956576458
27,133.61000061035156,621.969970703125,4.65511539452038,-84.86697490317562
28,134.6699981689453,621.47998046875,4.614836184144705,-80.08373482609687
29,135.19000244140625,618.5700073242188,4.575560294055901,-75.06761696184577
30,134.69000244140625,609.739990234375,4.5269877435753125,-68.26272238662335
31,134.94000244140625,606.2899780273438,4.493033696887678,-63.80014892228137
32,135.47999572753906,602.4400024414062,4.4467081594316,-57.76306821336009
33,134.80999755859375,598.489990234375,4.4395074628960485,-56.52671275970129
34,134.77000427246094,596.780029296875,4.428136902707079,-54.97873443056374
35,134.2261962890625,597.4400024414062,4.45099406046485,-57.84126315671704
36,134.61000061035156,595.6099853515625,4.42470828802418,-54.45674452237045
37,133.9600067138672,595.9600219726562,4.448790624843736,-57.43941569173813
38,134.0,593.6799926757812,4.430447706535681,-54.99740378650056
39,133.67999267578125,594.6300048828125,4.448160064797351,-57.24352406777012
40,133.92999267578125,596.760009765625,4.455760788476008,-58.360967693271895
41,134.2100067138672,596.469970703125,4.444303262533814,-56.936803164896155
42,132.6699981689453,585.8400268554688,4.415768711396568,-52.54427127130105
43,133.6699981689453,583.8300170898438,4.36769675385154,-46.48401647643339
44,133.07000732421875,580.010009765625,4.358683233198133,-45.094119088659504
45,133.27000427246094,578.7100219726562,4.3423876597882085,-42.984094650209094
46,133.35499572753906,578.1300048828125,4.3352706940503705,-42.05984134190708
47,133.00999450683594,580.22998046875,4.362303619514318,-45.557156407080065
48,132.97000122070312,578.2000122070312,4.348349303594703,-43.68917075372388
49,132.35000610351562,579.8200073242188,4.380959430184847,-47.820298012454764
50,133.69500732421875,569.3400268554688,4.2584987895231095,-31.892733035226506
51,133.17999267578125,572.75,4.300570892764093,-37.38864169957895
52,133.0399932861328,573.5399780273438,4.311034327804086,-38.74565155894327
53,132.31500244140625,568.9600219726562,4.300041654192705,-37.102086069356055
54,132.31500244140625,568.7100219726562,4.298152223701927,-36.852086069356055
55,131.61000061035156,563.6799926757812,4.2829571465821115,-34.677486934317294
56,131.60000610351562,567.5,4.312309830393234,-38.537974460168066
57,132.52499389648438,568.1199951171875,4.286889426766905,-35.411542366773624
58,132.50999450683594,568.3699951171875,4.2892613287963455,-35.722293570138895
59,132.27999877929688,565.8599853515625,4.277744107751875,-34.143822856726096
60,131.89999389648438,561.0499877929688,4.253601317322903,-30.87293818583162
61,131.77999877929688,554.5399780273438,4.208073935074767,-24.848938047128676
62,130.77999877929688,547.719970703125,4.1881019713683605,-22.079175752152587
63,130.36000061035156,545.6799926757812,4.185946533606032,-21.740293220870676
64,131.5500030517578,553.3200073242188,4.206157312717942,-24.560506396215878
65,130.5399932861328,545.9550170898438,4.182281639107762,-21.286303194550037
66,130.27049255371094,542.9700927734375,4.168020571117202,-19.392922880012797
67,130.19000244140625,540.6199951171875,4.1525461631395295,-17.368829901028043
68,129.3800048828125,535.9299926757812,4.142293804681846,-15.959516045014817
69,129.3800048828125,533.0700073242188,4.120188492859104,-13.099530693452317
70,126.52079772949219,526.1300048828125,4.158446787600129,-17.740017812356932
71,126.21499633789062,526.719970703125,4.17319641869688,-19.568554198939175
72,124.87000274658203,515.6300048828125,4.1293344561644645,-13.926141986187583
73,125.48999786376953,526.1699829101562,4.192923674135051,-21.95498787198789
74,125.83499908447266,530.1400146484375,4.212977458620682,-24.527680131033655
75,126.9800033569336,538.8699951171875,4.243739020879174,-28.620112736787114
76,129.05999755859375,542.0900268554688,4.200294724237522,-23.41565829894062
77,132.39999389648438,533.1199951171875,4.026586251461628,-0.9178229954290433
78,131.8074951171875,536.0,4.066536576872603,-6.197593113921068
79,133.28500366210938,536.4152221679688,4.024572963420808,-0.6285436421563251
