,amzn,nflx,Ratio,Spread
0,170.0175018310547,586.72998046875,3.450997539369681,-201.1167466903575
1,167.07899475097656,593.739990234375,3.553648327363453,-214.8309569402748
2,170.41700744628906,604.9199829101562,3.5496456132807697,-218.39527753542495
3,171.03700256347656,614.239990234375,3.591269614342157,-226.30076672113478
4,171.06849670410156,614.0900268554688,3.589731824893889,-226.07894949703552
5,169.66949462890625,613.1199951171875,3.6136136107328953,-228.30073936559586
6,170.66099548339844,610.7100219726562,3.5784979470137035,-223.62865817513608
7,169.2010040283203,610.5399780273438,3.608370893148799,-226.78958303590764
8,168.64450073242188,612.0900268554688,3.629469233785662,-229.60929348614223
9,166.7169952392578,602.4400024414062,3.6135488261219946,-224.35687061211172
10,170.4044952392578,597.3699951171875,3.5055999800852984,-210.8738363282402
11,167.52200317382812,591.1500244140625,3.5287903273258947,-211.23026791865965
12,164.35699462890625,567.52001953125,3.4529715076174647,-194.82122634864965
13,163.25399780273438,553.2899780273438,3.389135858687539,-183.10767082033533
14,162.5540008544922,541.0599975585938,3.3284938833521274,-172.47473257456465
15,161.48599243164062,539.8499755859375,3.3430142605988804,-173.70137057603353
16,165.36199951171875,540.8400268554688,3.270642762257727,-165.84831620203875
17,165.20700073242188,537.219970703125,3.2517990661499585,-162.5818895843222
18,161.21400451660156,519.2000122070312,3.2205639563625184,-153.67194730883534
19,162.13800048828125,525.6900024414062,3.2422380987694566,-158.05384180887762
20,158.91749572753906,510.79998779296875,3.2142463953039213,-150.5114050250677
21,156.2989959716797,515.8599853515625,3.3004689642730196,-161.54550673007202
22,151.66749572753906,508.25,3.351080582968407,-164.50228379683995
23,142.64300537109375,397.5,2.7866771242367023,-74.34164804521983
24,144.54400634765625,387.1499938964844,2.6784230192521017,-59.654510425461076
25,139.98599243164062,366.4200134277344,2.6175477064726196,-49.323633402924436
26,138.87249755859375,359.70001220703125,2.5901457706214646,-45.1440694395443
27,139.6374969482422,386.70001220703125,2.769313548712241,-70.39872422212598
28,143.97799682617188,384.3599853515625,2.66957447543606,-58.15585194526279
29,149.57350158691406,427.1400146484375,2.8557198308300302,-88.16974364078472
30,151.19349670410156,457.1300048828125,3.0234766365477643,-114.46371690013486
31,150.6125030517578,429.4800109863281,2.85155616090344,-88.13925934549589
32,138.8455047607422,405.6000061035156,2.921232536857735,-91.10564737292135
33,157.63949584960938,410.1700134277344,2.601949538198493,-52.79718589439751
34,157.9355010986328,402.1000061035156,2.5459760681190917,-44.05184293892916
35,161.4134979248047,403.5299987792969,2.4999767923205742,-37.54678990239291
36,161.1894989013672,412.8900146484375,2.5615193139913375,-47.41785928288693
37,159.0034942626953,406.2699890136719,2.5551010114435524,-45.785200687869754
38,153.2935028076172,391.30999755859375,2.5526848195887757,-43.85254809406866
39,155.16700744628906,396.57000732421875,2.5557624256012743,-44.83815920635647
40,156.510498046875,407.4599914550781,2.603403583400799,-52.66297109510885
41,158.10049438476562,398.0799865722656,2.5178921047739884,-39.655391417334165
