,lly,tmo,Ratio,Spread
0,258.2149963378906,611.47998046875,2.3681040572430185,-143.26754298510315
1,259.0450134277344,610.4149780273438,2.3564050508064724,-140.69164759296746
2,258.9700012207031,610.5599975585938,2.357647583428992,-140.97321300527096
3,259.9949951171875,612.385009765625,2.3553723004921876,-140.93241296374896
4,259.7799987792969,607.8516235351562,2.3398707613805674,-136.79038789358208
5,259.3349914550781,608.614990234375,2.3468294302267303,-138.36380831026304
6,259.5,606.72998046875,2.3380731424614645,-136.1784309372921
7,257.6300048828125,611.0900268554688,2.371967609647928,-143.94245836853247
8,257.4200134277344,614.6978149414062,2.387917733187325,-147.93249714915225
9,256.42999267578125,615.0,2.398315398220905,-150.03683230020187
10,256.8699951171875,620.3699951171875,2.4151127298233743,-154.60588416554668
11,258.8900146484375,622.72998046875,2.405384314703651,-153.2887967104806
12,258.77801513671875,622.4099731445312,2.4051887592371277,-153.17266383030835
13,260.1499938964844,625.0599975585938,2.402690802319641,-153.32525408061082
14,259.0849914550781,616.5150146484375,2.3795859852242076,-146.71891159234434
15,259.510009765625,620.635009765625,2.3915648198932598,-150.06523930292803
16,258.54998779296875,616.5499877929688,2.384645201711109,-147.72776018063018
17,259.7900085449219,615.969970703125,2.3710302569108,-144.89051413031177
18,260.80999755859375,613.1099853515625,2.350791729959741,-140.17382699581555
19,261.3599853515625,618.5499877929688,2.3666591003245587,-144.61267814822827
20,262.32000732421875,620.5,2.3654314679592194,-144.81514750490112
21,252.0399932861328,630.010009765625,2.499643019155278,-173.03802587720497
22,251.28500366210938,625.989990234375,2.4911553857631437,-170.39232563982108
23,252.25,626.0499877929688,2.481863182529113,-168.69572543405656
24,253.58999633789062,625.4199829101562,2.466264410828054,-165.62650448485755
25,254.59979248046875,625.3599853515625,2.4562470348420886,-163.72835938428693
26,255.09500122070312,624.5650024414062,2.448362372656001,-162.03194034237515
27,255.92999267578125,625.219970703125,2.4429335701000463,-161.16696073936453
28,252.74000549316406,609.9000244140625,2.4131518998109645,-151.65379747454188
29,251.50999450683594,612.9199829101562,2.436960742303612,-156.9127639998713
30,250.0,606.8599853515625,2.42743994140625,-153.6014328048197
31,250.97999572753906,607.8049926757812,2.4217268428660237,-152.7625387436314
32,250.7949981689453,606.010009765625,2.416356044538787,-151.3043097516795
33,250.64999389648438,604.3599853515625,2.4111709557876804,-149.91823885829467
34,249.69000244140625,600.9299926757812,2.406704260483153,-148.23573348125217
35,246.7949981689453,597.8400268554688,2.4224154917686502,-150.41558872982438
36,244.38999938964844,593.1400146484375,2.4270224482580076,-150.09343301106935
37,245.26499938964844,594.7249755859375,2.4248261148795542,-150.08561791050352
38,243.39999389648438,589.5499877929688,2.422144628498629,-148.30552847224664
39,243.74000549316406,590.5900268554688,2.423032795377665,-148.72663916462562
40,243.81500244140625,593.1950073242188,2.4329717260396055,-151.19510152813194
41,244.1199951171875,594.8400268554688,2.4366706486698124,-152.2849381727877
42,246.4499969482422,592.130126953125,2.402637996694641,-145.33369988741134
43,245.23500061035156,589.1500244140625,2.4023896382969814,-144.56527398072598
44,246.24000549316406,587.8300170898438,2.387223862802272,-141.41584071881243
45,246.718994140625,589.0,2.3873313931568703,-141.7139131830471
46,247.36500549316406,591.510009765625,2.3912436950665255,-143.047978488509
47,247.6699981689453,591.7877197265625,2.389420293542705,-142.77050556285224
48,247.07000732421875,589.969970703125,2.3878655976600762,-142.044929157174
49,248.0,595.1699829101562,2.3998789633474042,-145.55206130756397
50,249.69000244140625,595.4849853515625,2.3848971906326226,-142.79072615703342
51,248.31500244140625,599.989990234375,2.41624543155,-149.79866481394947
52,247.59869384765625,596.7050170898438,2.409968355717528,-147.8175992854018
53,246.5800018310547,595.0999755859375,2.4134154074411627,-148.06689862059494
54,246.0800018310547,597.47998046875,2.4279907998332497,-151.35706123944504
55,245.05999755859375,593.3699951171875,2.421325393897929,-149.1038054466261
56,245.0399932861328,598.2581787109375,2.4414715764881385,-154.02840312704433
57,247.1999969482422,600.27001953125,2.4282768080168395,-152.10835586147988
58,246.41000366210938,599.52001953125,2.4330181836016043,-152.79639286306303
59,247.22999572753906,596.780029296875,2.4138657914088997,-148.56375838500742
60,246.66229248046875,595.3250122070312,2.413522578665608,-148.14214029935317
61,244.5500030517578,592.5700073242188,2.4231036594949633,-149.23216854512418
62,243.11000061035156,587.8400268554688,2.418000186662986,-147.1234468002922
63,245.4199981689453,582.02001953125,2.3715264602462907,-137.09851517970912
64,244.22500610351562,583.6900024414062,2.389968217234918,-140.94376063557422
65,243.0,583.6799926757812,2.4019752785011574,-143.16364843356536
66,242.57000732421875,582.6900024414062,2.402151893669952,-142.95638051979398
67,242.42430114746094,582.4500122070312,2.402605718362949,-142.9816214933482
68,242.52000427246094,579.4299926757812,2.3892049417285026,-139.78739208293473
69,242.89999389648438,580.1900024414062,2.388596200165667,-139.8557008567218
70,238.0050048828125,560.5001220703125,2.3549930067491154,-129.07624472285346
71,235.44000244140625,555.8150024414062,2.3607500708369704,-129.06023872394985
