,t,googl,Ratio,Spread
0,18.450830459594727,144.7935028076172,7.847533102897396,-35.370009948630866
1,18.587614059448242,145.60874938964844,7.83364389447468,-35.327570170322275
2,18.598941802978516,145.74549865722656,7.836225318683789,-35.39329008109338
3,18.602718353271484,145.58274841308594,7.82588574682601,-35.20685939807788
4,18.655590057373047,145.60899353027344,7.805113270739243,-34.90157837101711
5,18.704002380371094,145.9947509765625,7.805535307767958,-34.98377172663844
6,18.712236404418945,146.42149353027344,7.824906139797144,-35.35888374771157
7,18.83308219909668,147.3574981689453,7.824396273065343,-35.53713826202262
8,18.83685874938965,147.6167449951172,7.83659032320876,-35.77270464931962
9,18.8034725189209,148.0540008544922,7.873758461662526,-36.41930515620261
10,18.787763595581055,147.74000549316406,7.863629151045578,-36.20381085273989
11,18.80453109741211,147.10150146484375,7.82266256482662,-35.46016806777864
12,18.825529098510742,147.1280059814453,7.815345067410847,-35.355006952272376
13,18.783912658691406,146.9095001220703,7.821027641655616,-35.39745235340794
14,18.82930564880371,148.19949340820312,7.870682869159264,-36.40281394015531
15,18.876434326171875,148.08950805664062,7.84520558797044,-35.99731345517901
16,18.81110191345215,147.5574951171875,7.844170734712066,-35.874960148443634
17,18.757553100585938,147.97337341308594,7.888735413387348,-36.62661032384317
18,18.795316696166992,147.73049926757812,7.859963290626831,-36.1469437494042
19,18.72356414794922,147.7584991455078,7.891579721571959,-36.62486000613893
20,18.723037719726562,147.85350036621094,7.896875634151649,-36.723162136503404
21,18.920089721679688,147.10549926757812,7.77509522584433,-34.739568360577024
22,18.867597579956055,147.12649536132812,7.797839377156718,-35.0897105948702
23,18.795316696166992,146.5814971923828,7.798830930168673,-34.99794167420889
24,18.78255271911621,146.4405059814453,7.796624248651963,-34.93698556274143
25,18.744335174560547,146.5135040283203,7.8164150749483845,-35.2496224751396
26,18.71978759765625,146.4300079345703,7.822204561386348,-35.32004923407631
27,18.761329650878906,146.75949096679688,7.822446153752311,-35.38904743867923
28,18.69713020324707,146.75,7.848798099213878,-35.78211197293764
29,18.651813507080078,146.302001953125,7.843848636894742,-35.61826723274355
30,18.667221069335938,145.80300903320312,7.810643506692552,-35.02266290613922
31,18.61284065246582,145.79200744628906,7.8328724867138755,-35.35264767920576
32,18.621601104736328,146.11700439453125,7.8466402310254075,-35.62271318514881
33,18.651208877563477,146.69549560546875,7.865200404352154,-36.015552147270796
34,18.613595962524414,146.65499877929688,7.8789181346024675,-36.2109029244386
35,18.738670349121094,147.20375061035156,7.855613438295845,-35.975389715483175
36,18.70090675354004,146.93199157714844,7.856944773511292,-35.9404231112112
37,18.674470901489258,146.75,7.858321704220114,-35.9241946061869
38,18.704153060913086,146.83175659179688,7.850222146579726,-35.81983251628134
39,18.71978759765625,146.70199584960938,7.836733995207121,-35.59203714911537
40,18.718730926513672,146.66799926757812,7.8353601984755255,-35.56466630604204
41,18.72635841369629,146.20150756835938,7.8072577881147955,-35.0503472961866
42,18.56117820739746,146.00790405273438,7.866305814279811,-35.89248790553235
43,18.625377655029297,145.7727508544922,7.826566180532187,-35.25477920623487
44,18.610271453857422,145.4552459716797,7.8158583732818485,-35.03199607892188
45,18.61782455444336,145.80569458007812,7.83151082736355,-35.33508380957056
46,18.66314125061035,145.28050231933594,7.784354218215261,-34.52573824214747
47,18.648263931274414,145.35174560546875,7.794384836097474,-34.69026810566615
48,18.580060958862305,144.8520050048828,7.796099556702014,-34.6181866633064
49,19.131420135498047,144.70050048828125,7.563500224418352,-31.009445709331377
50,19.104984283447266,144.63101196289062,7.570328759087244,-31.105720256064888
51,19.142749786376953,144.78700256347656,7.563542551578199,-31.02490646790206
52,19.219560623168945,145.51800537109375,7.57134922198344,-31.274275460402993
53,19.214502334594727,144.95550537109375,7.544067644682569,-30.743492896714205
54,19.271148681640625,145.08248901367188,7.528481639077908,-30.515281915986794
55,19.20694923400879,144.97500610351562,7.548049632307852,-30.810354506885833
56,19.44486427307129,145.59024047851562,7.487336421274997,-29.933769072039045
57,19.452417373657227,144.2969970703125,7.417946792860912,-28.593164786086167
58,19.4675235748291,144.66000366210938,7.430837471754765,-28.861449622383535
59,19.463747024536133,144.02149963378906,7.3994744923592854,-28.2466260329381
60,19.52794647216797,143.85150146484375,7.366442839745941,-27.674072362937498
61,19.45158576965332,144.7989959716797,7.444071536706407,-29.100378167932877
62,19.365558624267578,144.3800048828125,7.455504263217352,-29.22081073289073
63,19.924470901489258,142.59469604492188,7.156761991319107,-23.93090457987687
64,20.135196685791016,141.67750549316406,7.036310978434241,-21.69238141835378
65,20.231494903564453,140.75888061523438,6.957413739626082,-20.16992926874997
66,20.151058197021484,140.85044860839844,6.9897296326213505,-20.765866690313675
67,20.094409942626953,139.97299194335938,6.9657677106721065,-20.243616608397762
68,19.9433536529541,138.79100036621094,6.959260853585303,-20.00880670679155
69,19.796072006225586,137.7310028076172,6.957491504592564,-19.87232234468276
70,19.743202209472656,138.9532470703125,7.038029879653649,-21.426080791808733
71,19.833837509155273,139.17098999023438,7.016846332737839,-21.075505138551183
72,19.8187313079834,138.86500549316406,7.006755545307097,-20.864242396980377
73,19.822507858276367,138.10150146484375,6.9669036053469435,-20.077057929785187
74,19.7620849609375,137.5904998779297,6.962347350995423,-19.944931405051538
75,19.76593589782715,138.114501953125,6.987501258076416,-20.44478660848505
76,19.72809600830078,137.79251098632812,6.984582340249695,-20.360066463323864
77,19.966917037963867,137.156494140625,6.869187360264185,-18.226548894407518
78,19.966012954711914,136.927001953125,6.8580042627294135,-18.002725660456353
