,tjx,hd,Ratio,Spread
0,75.66999816894531,412.3399963378906,5.449187343936178,-59.57957199229609
1,75.8499984741211,413.8280029296875,5.455873582790902,-60.21721048990228
2,75.66500091552734,413.989990234375,5.471353799315416,-61.25317420911674
3,75.83000183105469,416.25048828125,5.489258581433698,-62.73416516604724
4,76.19000244140625,415.83990478515625,5.457932687493441,-60.62284548157218
5,76.20999908447266,416.3299865722656,5.462931263268975,-61.01845794409915
6,75.93000030517578,415.0799865722656,5.466613787751712,-61.09124474767632
7,76.48999786376953,409.0,5.347104345962181,-52.36568456825629
8,75.77999877929688,404.489990234375,5.337688001452988,-51.20989449548407
9,75.7249984741211,405.6300048828125,5.356619518737078,-52.609744840569796
10,75.58000183105469,404.760009765625,5.355385021958483,-52.42475144550716
11,75.72000122070312,407.9649963378906,5.387810218713336,-54.9683446159842
12,75.88999938964844,407.54998779296875,5.370272645549124,-53.75022066078149
13,75.55999755859375,408.55999755859375,5.407093842767423,-56.31924460629555
14,76.19999694824219,411.9200134277344,5.405774670929783,-56.65573748347769
15,76.88469696044922,412.125,5.360299465210925,-53.626023737295476
16,77.19000244140625,411.95001220703125,5.336831185097269,-52.008693723107434
17,77.15499877929688,412.3399963378906,5.344306951742633,-52.564044226032514
18,77.13500213623047,412.04998779296875,5.341932668456206,-52.3685050056931
19,76.95999908447266,413.30999755859375,5.370452215116809,-54.455274545172394
20,76.72000122070312,412.8500061035156,5.381256511139195,-55.12909520126946
21,77.08999633789062,411.0400085449219,5.331950033352006,-51.57114481362172
22,77.17500305175781,410.56201171875,5.3198833234046585,-50.69155423907231
23,77.02999877929688,410.4949951171875,5.329027672625577,-51.30957540287185
24,76.70999908447266,410.9700012207031,5.357450216733089,-53.29634300236675
25,76.22440338134766,410.5538024902344,5.386120248606605,-55.17422423031983
26,75.68000030517578,409.2099914550781,5.40710874478012,-56.40231442557374
27,75.1500015258789,407.3800048828125,5.420891505138902,-57.07617945197027
28,75.58000183105469,403.6000061035156,5.3400369982219615,-51.26474778339779
29,75.52999877929688,404.07000732421875,5.349794966963196,-51.9709763804128
30,75.83290100097656,405.8797912597656,5.35229149751951,-52.34977171444408
31,75.70999908447266,405.8699951171875,5.360850614518463,-52.92059607919092
32,75.80000305175781,405.4700927734375,5.349209451833057,-52.09549166672699
33,75.73999786376953,405.7749938964844,5.357473004241899,-52.683872849995545
34,75.46499633789062,405.70001220703125,5.3760025428283384,-53.90806964378326
35,75.18499755859375,400.2900085449219,5.324067587193373,-49.82085278525111
36,74.5698013305664,395.4700012207031,5.303353289994601,-47.907191889000934
37,74.5999984741211,395.6499938964844,5.303619329613475,-47.944525432123875
38,74.56999969482422,395.55999755859375,5.30454605306977,-47.9962511027255
39,74.30500030517578,394.4949951171875,5.3091311957064695,-48.183174460650356
40,74.66000366210938,394.4800109863281,5.283685931380824,-46.491062461746004
41,74.37999725341797,393.54998779296875,5.29107290031372,-46.88386211520098
42,70.56999969482422,383.05999755859375,5.428085577655009,-54.393287824084645
43,71.19999694824219,384.4150085449219,5.399087430079061,-52.77202850236407
44,71.2750015258789,384.1600036621094,5.389828066473299,-52.162682555083826
45,71.8550033569336,385.3598937988281,5.363021025614399,-50.62249371682859
46,72.44000244140625,385.42498779296875,5.320609812302577,-47.9239004156589
47,72.52999877929688,385.0299987792969,5.308562046869918,-47.10374537651027
48,72.4800033569336,387.44000244140625,5.345474399793097,-49.74994037169436
49,72.94999694824219,387.3399963378906,5.309664325451682,-47.4295627297382
50,73.70999908447266,390.489990234375,5.297652897632901,-46.989109557057965
51,73.87999725341797,388.7799987792969,5.262317450361173,-44.476002691699
52,74.05999755859375,389.4700012207031,5.258844370236006,-44.315637038914566
53,74.30999755859375,387.6300048828125,5.216391032406704,-41.29457590593902
54,74.5999984741211,387.05499267578125,5.188404833681752,-39.34952421142075
55,74.2300033569336,386.70001220703125,5.209483964962138,-40.742496571724736
