,crm,aapl,Ratio,Spread
0,248.77499389648438,167.94500732421875,0.6750879768651543,49.68929999040268
1,247.85000610351562,168.72999572753906,0.6807746280912669,48.091844297984814
2,248.6300048828125,170.10499572753906,0.6841692168558463,47.401959819002435
3,246.91000366210938,169.42160034179688,0.686167420634955,46.574584209006396
4,247.24000549316406,169.59840393066406,0.6859666727169413,46.68763924866628
5,247.5500030517578,169.77999877929688,0.6858412308070109,46.77833218369077
6,247.32000732421875,169.91000366210938,0.687004684741779,46.4463094940725
7,245.5500030517578,169.57290649414062,0.6905840129775829,45.22871525544236
8,248.4199981689453,170.29910278320312,0.6855289591757674,47.023392398774725
9,249.38999938964844,171.48500061035156,0.6876177915314975,46.68949961233776
10,250.7100067138672,170.96119689941406,0.6819081501383004,48.37273783738363
11,252.27999877929688,172.0800018310547,0.6820992653547463,48.6329426688993
12,251.44000244140625,172.57699584960938,0.6863545743475145,47.398133997345276
13,252.47999572753906,172.97999572753906,0.6851235688161548,47.90861701322985
14,250.57000732421875,173.625,0.692920121821852,45.58596562796448
15,253.05999755859375,173.85960388183594,0.6870291850120654,47.53845613913567
16,252.1699981689453,174.3699951171875,0.6914779568676744,46.24632983992411
17,251.72999572753906,174.2100067138672,0.6920510454480128,46.019840071874974
18,251.10000610351562,173.71029663085938,0.6917972616824531,45.96619586644713
19,252.2100067138672,174.9250030517578,0.6935688449911926,45.726463595093385
20,252.8000030517578,175.6300048828125,0.6947389349787877,45.53968776536244
21,250.6199951171875,176.44129943847656,0.7040192437797085,42.813573197720906
22,251.8925018310547,175.71609497070312,0.697583666418767,44.65648979967924
23,252.22000122070312,175.9822998046875,0.6977333238956556,44.67794556328477
24,252.7480926513672,176.19000244140625,0.6970972583537445,44.93409446744983
25,253.74290466308594,176.05999755859375,0.6938519041246186,45.9378970635583
26,253.60499572753906,176.21499633789062,0.6948403986773489,45.661765335418416
27,253.14999389648438,176.2899932861328,0.6963855324374196,45.187115432811346
28,256.8500061035156,177.6199951171875,0.691531987138062,47.107036368657454
29,255.96279907226562,178.72500610351562,0.6982460214972741,45.22274299933219
30,256.8399963378906,179.32220458984375,0.6981864473862284,45.396034772252484
31,257.5799865722656,179.60009765625,0.6972595194458638,45.76811553712427
32,257.9800109863281,180.125,0.6982130100364476,45.59457648025947
33,258.1400146484375,179.91000366210938,0.6969473675250617,45.95011277185311
34,258.3800048828125,180.3300018310547,0.6979255299296199,45.74091113083464
35,257.3800048828125,179.2097930908203,0.6962848305656696,45.98276526436667
36,256.0450134277344,179.97999572753906,0.7029232607114853,44.03996673317179
37,256.010009765625,179.75999450683594,0.7021600236311256,44.22922232600968
38,255.39999389648438,179.94769287109375,0.7045720327778393,43.50571371293069
39,255.77999877929688,179.38999938964844,0.7013449067393164,44.39718623376374
40,255.77999877929688,179.30499267578125,0.7010125636543494,44.48219294763093
41,255.52000427246094,179.38999938964844,0.702058533148602,44.1688188609671
42,254.19000244140625,179.19219970703125,0.704953766812041,43.19840530835484
43,254.45399475097656,179.27000427246094,0.7045281582154171,43.35247960417022
44,254.56500244140625,178.87350463867188,0.7026633784030999,43.846483354227594
45,254.4600067138672,179.09779357910156,0.7038347435889671,43.52997093282992
46,254.63499450683594,179.4174041748047,0.7046062326283595,43.36406167119757
47,254.55499267578125,179.47140502929688,0.7050398153372069,43.239790839853875
48,254.5500030517578,179.3800048828125,0.7046945697594003,43.326808327091534
49,256.760009765625,180.3175048828125,0.7022803319232207,44.33047790505987
50,257.1499938964844,180.0157928466797,0.7000419876313315,44.97473429907385
51,257.2699890136719,179.7158966064453,0.6985497892523128,45.38002880327165
52,257.64898681640625,179.35150146484375,0.6961079245098868,46.07731841083501
53,256.9599914550781,178.97500610351562,0.6965092312232743,45.84863152254403
54,256.239990234375,178.9600067138672,0.6984077955598494,45.23121452315656
55,255.27000427246094,178.25,0.6982802405947622,45.089229598939944
56,255.21499633789062,178.26019287109375,0.6984706832630128,45.03072025511117
57,255.82000732421875,178.36000061035156,0.6972089574851092,45.462326702800205
58,255.86000061035156,177.50999450683594,0.6937778241358069,46.34746109342775
59,256.135009765625,177.6300048828125,0.6935014664545542,46.46900627587093
60,255.02499389648438,177.39999389648438,0.6956180693743755,45.72402971002669
61,255.39999389648438,177.84500122070312,0.6963390973798734,45.60840536332132
62,254.11000061035156,177.61000061035156,0.6989492746595836,44.710334428183025
63,251.4600067138672,180.83999633789062,0.7191600712222438,39.15270435393382
64,251.91639709472656,181.74989318847656,0.7214690876994969,38.643680096830344
65,252.4600067138672,181.60000610351562,0.7193218778186012,39.271049195011166
66,253.3000030517578,182.22970581054688,0.719422438274946,39.37916414097925
67,254.8800048828125,181.86500549316406,0.7135318660119341,41.13166634526707
68,256.29998779296875,182.14500427246094,0.7106711390856252,42.09891609654452
69,255.4600067138672,182.0,0.7124402850417699,41.5061191186338
70,249.7899932861328,182.25,0.7296128944254137,36.27583670431918
71,247.25999450683594,179.94000244140625,0.7277360124523965,36.36359818016624
72,246.1300048828125,180.02999877929688,0.7314427140446075,35.281070250488774
73,244.5399932861328,179.5,0.7340312624854356,34.41447501913189
74,245.4600067138672,179.4969940185547,0.7312677793079114,35.225579033055716
75,247.67999267578125,180.11000061035156,0.7271883314617166,36.56250733772058
76,248.1699981689453,179.66000366210938,0.7239392552995194,37.44290286819288
77,233.57000732421875,178.92999267578125,0.7660657921177711,25.348944638243413
78,236.97000122070312,179.30499267578125,0.756656925991171,27.960344939980306
79,233.6199951171875,179.1300048828125,0.7667580199758075,25.192839439445155
