,nue,ecl,Ratio,Spread
0,116.00883483886719,223.2146759033203,1.924117901997368,-69.22913671694091
1,109.25474548339844,221.7988739013672,2.0301074605044973,-76.85639729858822
2,110.62129211425781,223.25428771972656,2.018185499850545,-76.48213933502727
3,111.722412109375,224.5810089111328,2.010169711438655,-76.33456895227245
4,112.37126922607422,225.97702026367188,2.010985742352343,-76.86182432523974
5,114.6816177368164,229.37301635742188,2.0000852872847634,-77.16449057495193
6,112.51872253417969,231.80862426757812,2.060178244533143,-82.49600282539883
7,112.95130920410156,233.30364990234375,2.065524087735602,-83.41183737709606
8,112.41810607910156,231.68980407714844,2.0609651964259466,-82.51189819058656
9,112.71432495117188,232.26405334472656,2.060643608923213,-82.68953946890163
10,111.61829376220703,227.55126953125,2.0386556886098615,-79.44423381772712
11,115.59760284423828,231.19476318359375,1.9999961720237105,-77.75982326649957
12,121.17654418945312,230.91754150390625,1.9056290394193687,-70.01294682215247
13,115.1335220336914,228.17501831054688,1.9818295686618208,-75.36143703897095
14,113.00068664550781,227.59085083007812,2.014066087439352,-77.6329267582763
15,110.45313262939453,223.600830078125,2.0243955490911882,-77.053830735082
16,109.44595336914062,224.37307739257812,2.0500810718493163,-79.17459220207677
17,113.27716064453125,224.24436950683594,1.97960796537375,-73.9162738923845
18,111.30231475830078,221.06619262695312,1.9861778535964032,-73.38222177932728
19,109.42620849609375,213.88807678222656,1.9546329871226584,-68.71602803833862
20,105.35802459716797,211.28414916992188,2.0053920902347784,-71.55899928439648
21,102.93883514404297,212.67027282714844,2.0659867826322063,-76.18418012236377
22,99.07801055908203,211.0564422607422,2.1302046848718805,-79.73961464982771
23,91.87970733642578,193.1556854248047,2.102267094926063,-71.47667915623094
24,94.11127471923828,190.70028686523438,2.0263277427082955,-66.03343094880914
25,93.00537109375,187.0171661376953,2.010821137944612,-63.83100660687882
26,91.86983489990234,183.41326904296875,1.9964471389636047,-61.74748099770172
27,95.5232925415039,181.70040893554688,1.902158144900626,-55.14299977591228
28,98.5349349975586,184.24493408203125,1.8698437674576667,-53.655231333109306
29,100.12468719482422,187.57162475585938,1.8733803821117514,-54.85339988416613
30,106.10846710205078,189.7597198486328,1.7883560570725208,-49.02980112161226
31,110.57162475585938,190.5715789794922,1.7235125141759615,-43.86593031173778
32,110.83822631835938,187.36370849609375,1.6904249979418753,-40.30110650899645
33,109.86067962646484,185.62115478515625,1.6896050107853249,-39.86739185065989
34,109.72244262695312,184.8389892578125,1.6846051257375774,-39.270312094640936
35,114.11647033691406,184.73008728027344,1.6187854981395924,-33.278238384545865
36,118.56974792480469,189.44287109375,1.5977336075125341,-32.028520695605586
37,120.06075286865234,185.492431640625,1.5449880765245205,-26.081771997807245
38,116.9207534790039,182.5915069580078,1.561668921256112,-27.38499823748524
39,115.87408447265625,181.09646606445312,1.5628728968053933,-27.291344389699027
40,120.0508804321289,181.43309020996094,1.5113016210866912,-22.035648790449905
41,121.11730194091797,180.99745178222656,1.4943979834567205,-20.17217665532332
42,119.41893005371094,176.6113739013672,1.4789227622616687,-18.060051998639928
43,121.38390350341797,176.86880493164062,1.4571026291526397,-15.686576485394491
44,117.21697235107422,174.95794677734375,1.4925990943814065,-19.35483006755812
45,116.49616241455078,171.3441162109375,1.4708133955624276,-16.706093242706352
46,119.37943267822266,174.19557189941406,1.4591757389980546,-15.69713310492393
47,128.4143524169922,178.51234436035156,1.3901276687568316,-7.9170350130096185
48,129.964599609375,174.51239013671875,1.342768651319188,-1.841451989852922
49,129.35240173339844,168.81939697265625,1.3051121951380633,3.0318683190494853
50,136.27423095703125,171.13621520996094,1.2558222784168347,9.982699881435925
51,135.80027770996094,169.42335510253906,1.247592110705322,11.060983120032821
52,136.97531127929688,166.44320678710938,1.2151328968161756,15.614386029249081
53,130.24107360839844,156.95819091796875,1.2051358804819272,16.082918771546694
54,124.37579345703125,155.17604064941406,1.2476385986074012,10.01203472449574
55,128.37484741210938,163.3838348388672,1.272709086962899,7.158581185227339
56,131.8802032470703,160.8690185546875,1.2198117275669362,14.366724804153355
57,133.5489501953125,157.27500915527344,1.1776581465092917,20.19502254281297
58,130.3892059326172,163.92002868652344,1.2571594980893923,9.319415642654368
59,133.81556701660156,166.69126892089844,1.245679203378619,11.135736526551446
60,133.4107208251953,169.61148071289062,1.2713482069790196,7.673475428881252
61,133.2329864501953,170.51536560058594,1.279828442968419,6.531621661623992
62,134.447509765625,169.98892211914062,1.2643515853545597,8.68419263008274
63,140.95462036132812,169.57174682617188,1.2030236851511897,17.81375019375789
64,142.18890380859375,175.1638946533203,1.2319097338925655,13.874186730256886
65,145.2894287109375,172.57144165039062,1.1877769992043428,20.617938192275453
66,151.58917236328125,175.07449340820312,1.154927431021522,26.54962472566674
67,155.63758850097656,176.3955535888672,1.1333737260248051,30.648996311720957
68,151.91500854492188,177.10076904296875,1.165788494101288,24.959611750084285
69,148.60714721679688,181.47117614746094,1.2211470278930803,16.16030306704169
70,148.0820770263672,179.1866455078125,1.2100495151476496,17.741816268966424
71,147.26968383789062,175.37246704101562,1.1908253108905942,20.468280010766982
72,147.8740234375,179.15684509277344,1.211550486881121,17.493053353577345
73,148.13160705566406,178.85887145996094,1.207432195026078,18.135906163577765
74,147.41830444335938,178.97805786132812,1.2140830037160992,17.061677590774984
75,145.12974548339844,180.05081176757812,1.2406196342993956,12.924767909856532
76,149.50869750976562,182.38497924804688,1.2198954461236868,16.45358730162382
77,149.36007690429688,181.719482421875,1.2166536479377454,16.920095727475193
78,151.3811492919922,179.32569885253906,1.184597287649375,22.0198968109438
