,amat,ma,Ratio,Spread
0,144.80728149414062,347.2752990722656,2.3981894797625736,103.3977256472217
1,143.67776489257812,335.0569152832031,2.3320025581808794,112.07635360467293
2,150.02886962890625,348.69696044921875,2.324199077895571,118.33983176579761
3,150.9206085205078,355.39776611328125,2.3548657111662,114.43361799835236
4,154.06149291992188,358.4796142578125,2.3268605766668973,121.19488668261573
5,161.2250518798828,358.21124267578125,2.2218088225064347,143.91290581169085
6,158.17335510253906,358.6784973144531,2.2676290648442814,133.88203657101252
7,159.50103759765625,359.185546875,2.251932352823001,137.5357685767729
8,156.5286102294922,358.88726806640625,2.292790228829278,128.51885264104442
9,155.914306640625,357.2270202636719,2.2911753767860636,128.2539541395418
10,158.460693359375,368.7892761230469,2.327323377833928,124.67173790487351
11,156.90512084960938,373.2033996582031,2.378529124080734,115.38265559946109
12,152.32757568359375,371.7220458984375,2.4402807189064544,102.518587456217
13,154.90367126464844,368.3275146484375,2.377784281298024,113.98626198114727
14,149.4244842529297,367.97906494140625,2.4626423626701692,97.16366333847702
15,148.2156982421875,362.2650146484375,2.4441743954576864,99.08953794215023
16,151.04942321777344,364.63427734375,2.4140064197268964,105.60079501399917
17,158.08416748046875,365.649658203125,2.313006191769969,126.63137345555248
18,155.7359619140625,367.84967041015625,2.362008529623629,117.07239517753987
19,165.4657440185547,370.4578552246094,2.2388794576300195,144.95606227304512
20,150.96023559570312,364.64422607421875,2.41549852274209,105.31134405674226
21,141.75559997558594,359.09942626953125,2.5332292080974415,82.01003166697899
22,137.87159729003906,362.3546142578125,2.6282034978932667,66.58289229955051
23,133.8191680908203,353.47491455078125,2.641437094504168,62.76281418102082
24,138.0102996826172,347.8405456542969,2.5203955534784512,81.53163588022687
25,131.76820373535156,337.228759765625,2.5592574703600612,72.58151758772505
26,134.33441162109375,343.1020812988281,2.5540892847812406,74.750352598407
27,128.95428466796875,348.94549560546875,2.705962787540817,52.04633108086882
28,131.23316955566406,380.7809753417969,2.901560456331768,27.352575565000457
29,136.91050720214844,384.63348388671875,2.809378854457147,41.29209328544665
30,137.33656311035156,390.28778076171875,2.8418344825486703,36.972999349091545
31,139.466796875,394.9565734863281,2.8319039537440305,38.98007786061846
32,135.255859375,388.3067626953125,2.8709052937863713,32.43336674876344
33,134.3245086669922,380.4723815917969,2.832486679962754,37.34901775536378
34,134.8793487548828,374.4297790527344,2.776034897181986,45.13041584112802
35,137.47528076171875,372.677734375,2.710870873004069,55.017768532000396
36,142.87521362304688,379.6460876464844,2.657186491759999,64.9720915715626
37,138.48590087890625,372.6976623535156,2.6912318148502856,58.16499050808432
38,131.27279663085938,368.0985107421875,2.8040730462784667,40.159226183937285
39,130.64857482910156,372.4687194824219,2.8509206470077437,33.83278877036202
40,138.5552520751953,379.81536865234375,2.741255657679538,51.26462169783657
